parameter_set,model_type,condition,reference_condition,feature_id,Q_Ah,tau_factor_set,omega_tau_set,period_s,phase_norm,cycle_count,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_amp,window_valid
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,2.4084033050653098e-05,0.7883451398765211,0.7878463893609547,0.0004987505155663596,0.007138145274963925,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_avg_surface_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,-0.008256455377479766,0.7685721270888082,0.7673679219792896,0.0012042051095185746,0.028501954171021637,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_mean,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,-13.624262812513052,984.7837791180689,983.0856317695058,1.6981473485631113,38.84955593052632,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,elyte_c_range,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,268.8537558544535,342.4159698810153,352.6188115425244,-10.20284166150907,743.854644088124,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_n_mean,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,-0.055484626748076554,-0.027178359226564475,-0.047090219235945543,0.01991186000938107,0.1591046000253263,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,eta_p_mean,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.008932658463726761,0.0034263162382058877,0.004272871575596667,-0.0008465553373907791,0.01952729361657468,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_n_mean_signed,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,-1.019141333245551,-0.3770718471442096,-0.44647414960540494,0.06940230246119533,2.083151403436923,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,j_p_mean_signed,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,1.1538908243773025,0.42692849361104157,0.5055063587455014,-0.07857786513445986,2.3585828697224693,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,cell_temperature_K,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.0,298.15000000000003,298.1500000000001,-5.684341886080802e-14,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,total_heating_mean,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.0,0.0,0.0,0.0,0.0,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_minus_avg_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.005712364917235863,0.004513976817874853,0.0049497316577364996,-0.0004357548398616464,0.012519417725850565,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,pos_surface_minus_avg_sto,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,-0.008280539410530481,-0.019773012787712884,-0.020478467381665214,0.0007054545939523295,0.02236056659935881,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_surface_sto_range,0.3199309585092226,0.5,2.0,114.09175086262731,0.28315988986386825,6.283159889863868,0.0035892261488670255,0.00661248080311054,0.005110327047892886,0.001502153755217654,0.006288862614168861,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,-2.233895068859404e-05,0.13238612706492928,0.1322826519441306,0.00010347512079866839,0.010710660896067536,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_avg_surface_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.004675625410537537,0.13691194459460299,0.13723238457651277,-0.0003204399819097814,0.021102771045565877,True
Chen2020,DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,Chen2020_DFN_hier_DC03,neg_max_surface_sto,0.3599079446789635,0.5,2.0,114.09175086262731,0.23528720350522656,7.2352872035052265,0.006741400253221785,0.14195410119637134,0.14087817561684762,0.0010759255795237122,0.026141050066533805,True
