param_set,arm,t_s,V_V,I_A,Q_Ah,stage,Vmax_cutoff_V,I_cutoff_A,termination_method,initial_soc
Chen2020,DC_reference,980.0,3.3767793133509243,-1.0,0.2722222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,990.0,3.3786108772965115,-1.0,0.275,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1000.0,3.380439052951497,-1.0,0.2777777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1010.0,3.3822637067865133,-1.0,0.28055555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1020.0,3.3840842549690526,-1.0,0.2833333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1030.0,3.3859003613572405,-1.0,0.2861111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1040.0,3.387711534318672,-1.0,0.28888888888888886,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1050.0,3.389517525453636,-1.0,0.2916666666666667,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1060.0,3.3913177728949,-1.0,0.29444444444444445,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1070.0,3.393111895688856,-1.0,0.2972222222222222,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1080.0,3.394899548018108,-1.0,0.3,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1090.0,3.3966802258659836,-1.0,0.30277777777777776,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1100.0,3.3984534281657117,-1.0,0.3055555555555556,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1110.0,3.400218865691677,-1.0,0.30833333333333335,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1120.0,3.4019761622933657,-1.0,0.3111111111111111,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1130.0,3.4037248900918247,-1.0,0.3138888888888889,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1140.0,3.405464621173433,-1.0,0.31666666666666665,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1150.0,3.407194988539545,-1.0,0.3194444444444444,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1160.0,3.408915583432239,-1.0,0.32222222222222224,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1170.0,3.4106260349622755,-1.0,0.325,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1180.0,3.4123259756901416,-1.0,0.3277777777777778,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1190.0,3.4140150288491453,-1.0,0.33055555555555555,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
Chen2020,DC_reference,1200.0,3.4156928286817596,-1.0,0.3333333333333333,CC_until_Vmax,4.2,0.0735294117647058,CustomTermination,0.05
