DC_base,Condition,f_Hz,DC_C,AC_C,I_DC_A,A_A,kappa,tau_ref_s,Pi,log10Π,Delta_t_Q80_min,Regime,total_time_min,baseline_total_min,Delta_T_total_min,kappa_old,Pi_old,Pi_diff,log10Π_old,log10Π_diff,kappa_recomputed,Unnamed: 22,T_max,T_avg,U00_12h(V),CC_min,CV_min
0.3C,0.3+0.4C 0.1τ,0.143,0.3,0.4,1.02,1.36,1.3333333333333337,20.28928496777354,2.901367750391616,0.4626027794209223,0.01,Misleading,220.88333333333333,223.7,2.816666666666663,1.3333333333333333,2.901367755,-4.61e-09,0.4626027801107335,-6.9e-10,1.3333333333333337,,25.458,24.479,4.1717,158.38333333333333,62.5
0.3C,0.3+0.4C 1τ,0.0143,0.3,0.4,1.02,1.36,1.3333333333333337,20.28928496777354,0.2901367750391616,-0.537397221,0.09,Misleading,220.61666666666667,223.7,3.0833333333333144,1.3333333333333333,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,1.3333333333333337,,25.555,24.159,4.1721,157.7,62.9
0.3C,0.3+0.4C 10τ,0.00143,0.3,0.4,1.02,1.36,1.3333333333333337,20.28928496777354,0.0290136775039161,-1.537397221,0.94,Transitional,217.11666666666667,223.7,6.583333333333314,1.3333333333333333,0.029013678,-4.61e-11,-1.53739722,-6.9e-10,1.3333333333333337,,27.35,26.038,4.1727,153.7,63.4
0.4C,0.4+0.6C 0.5τ,0.0286,0.4,0.6,1.36,2.04,1.4999999999999998,20.28928496777354,0.5802735500783233,-0.236367225,1.31,Misleading,176.16666666666666,180.15,3.983333333333349,1.5,0.580273551,-9.22e-10,-0.236367224,-6.9e-10,1.4999999999999998,,28.171,26.163,4.1725,113.11666666666666,62.983333333333334
0.4C,0.4+0.5C 1.67τ,0.0086,0.4,0.5,1.36,1.7,1.25,20.28928496777354,0.1744878507228524,-0.758234807,1.46,Misleading,177.15,180.15,3.0,1.25,0.174487851,-2.77e-10,-0.758234806,-6.9e-10,1.25,,26.776,24.508,4.1748,113.05,64.05
0.4C,0.4+0.6C 1.67τ,0.0086,0.4,0.6,1.36,2.04,1.4999999999999998,20.28928496777354,0.1744878507228524,-0.758234807,1.51,Misleading,175.73333333333332,180.15,4.416666666666686,1.5,0.174487851,-2.77e-10,-0.758234806,-6.9e-10,1.4999999999999998,,28.125,24.248,4.1757,112.95,62.833333333333336
0.4C,0.4+0.6C 5τ,0.00286,0.4,0.6,1.36,2.04,1.4999999999999998,20.28928496777354,0.058027355,-1.236367225,5.12,Effective,174.28333333333333,180.15,5.866666666666674,1.5,0.058027355,-9.22e-11,-1.236367224,-6.9e-10,1.4999999999999998,,27.606,25.145,4.1726,106.5,67.78333333333333
0.4C,0.4+0.6C 10τ,0.00143,0.4,0.6,1.36,2.04,1.4999999999999998,20.28928496777354,0.0290136775039161,-1.537397221,4.72,Effective,181.2,180.15,-1.05,1.5,0.029013678,-4.61e-11,-1.53739722,-6.9e-10,1.4999999999999998,,28.534,25.855,4.1733,107.05,74.13333333333334
0.5C,0.5+0.5C 1τ,0.0143,0.5,0.5,1.7,1.7,1.0,20.28928496777354,0.2901367750391616,-0.537397221,1.27,Transitional,157.88333333333333,158.96666666666667,1.0833333333333428,1.0,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,1.0,,27.594,25.146,4.1713,88.91666666666667,68.96666666666667
0.9C,0.9+0.1C 16.7τ,0.00086,0.9,0.1,3.06,0.34,0.1111111111111111,20.28928496777354,0.0174487850722852,-1.758234807,0.61,Boundary,115.06666666666666,114.85,-0.216666667,0.1111111111111111,0.017448785,-2.77e-11,-1.758234806,-6.9e-10,0.1111111111111111,,33.91,,4.1731,48.46666666666667,66.6
0.9C,0.9+0.1C 1.67τ,0.0086,0.9,0.1,3.06,0.34,0.1111111111111111,20.28928496777354,0.1744878507228524,-0.758234807,0.02,Boundary,115.05,114.85,-0.2,0.1111111111111111,0.174487851,-2.77e-10,-0.758234806,-6.9e-10,0.1111111111111111,,34.525,,,48.78333333333333,66.26666666666667
0.9C,0.9+0.1C 10τ,0.00143,0.9,0.1,3.06,0.34,0.1111111111111111,20.28928496777354,0.0290136775039161,-1.537397221,0.04,Boundary,115.85,114.85,-1.0,0.1111111111111111,0.029013678,-4.61e-11,-1.53739722,-6.9e-10,0.1111111111111111,,33.069,,,48.266666666666666,67.58333333333333
0.9C,0.9+0.1C 1τ,0.0143,0.9,0.1,3.06,0.34,0.1111111111111111,20.28928496777354,0.2901367750391616,-0.537397221,-0.05,Boundary,115.41666666666669,114.85,-0.566666667,0.1111111111111111,0.290136776,-4.61e-10,-0.53739722,-6.9e-10,0.1111111111111111,,33.585,,,49.083333333333336,66.33333333333333
0.1C,0.1C_DC,0.0,0.1,0.0,0.34,,,,,,,,,,,,,,,,,,23.431,21.097,4.1723,568.65,24.433333333333334
0.2C,0.2C_DC,0.0,0.2,0.0,0.68,,,,,,,,,,,,,,,,,,22.769,22.301,4.1712,275.93333333333334,40.833333333333336
0.3C,0.3C_DC,0.0,0.3,0.0,1.02,,,,,,,,,,,,,,,,,,23.553,22.61,4.1784,174.3,49.4
0.4C,0.4C_DC,0.0,0.4,0.0,1.36,,,,,,,,,,,,,,,,,,25.867,22.517,4.1809,127.2,53.61666666666667
0.5C,0.5C_DC,0.0,0.5,0.0,1.7,,,,,,,,,,,,,,,,,,27.109,25.331,4.1711,95.8,63.166666666666664
0.9C,0.9C_DC,0.0,0.9,0.0,3.06,,,,,,,,,,,,,,,,,,34.17,,,49.483333333333334,65.36666666666666
