condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
DC03_AC07_10tau,2.894415711605194,6526.035502814033,0.5672394437759899,0.5820437235106403,0.6794335676001246,0.5165179853775718,0.493002958092657,0.4448098399943593,952.8899486470293,1057.4919869170142,-0.08332577151415772,0.009394343226778961,-1.2606643161453401,1.4273476500950828,298.15,0.0,0.014804279734650441,-0.04819311809829767,0.1629155822225529
DC03_AC07_10tau,2.9334652146719358,6562.760934719463,0.573939691810616,0.5867799991968434,0.6836647004621675,0.5217003552825824,0.4885314690696093,0.4420764185388658,958.2413016782298,928.2219843502861,-0.07110940724655716,0.007610859223532126,-1.0053829435149715,1.1383135271156943,298.15,0.0,0.012840307386227422,-0.046455050530743495,0.1619643451795851
DC03_AC07_10tau,2.9725147177386777,6616.855241780167,0.5806399029588941,0.5891136522838378,0.6835270049325598,0.5255645919283384,0.4840600046630987,0.44494219217608594,970.8967478550904,632.6270726853684,-0.04172930643049799,0.004145075297888554,-0.5286385522925964,0.5985344280085694,298.15,0.0,0.008473749324943708,-0.039117812487012786,0.15796241300422137
DC03_AC07_10tau,3.0115642208054196,7093.107222994946,0.5873455534354992,0.6001593285111952,0.670219686741502,0.5466906693643687,0.47958491025710703,0.44685852532665554,957.5620619976896,917.3718328113816,-0.08551207992147117,0.010263926749506876,-1.3603052956048967,1.5401630253612755,298.15,0.0,0.012813775075695977,-0.032726384930451484,0.12352901737713329
DC03_AC07_10tau,3.0506137238721616,7122.662808669741,0.5940463661441805,0.6085278504585413,0.6821986967768334,0.5546011263840048,0.47511304439221314,0.4364219973303018,953.2219118342025,1032.3885222918393,-0.09050813790004776,0.010901371586892854,-1.4596957270661308,1.6526947254865176,298.15,0.0,0.01448148431436076,-0.038691047061911385,0.1275975703928286
DC03_AC07_10tau,3.0896632269389035,7150.946050818702,0.600747081713312,0.6161969083386248,0.6937905049931433,0.5619309041823112,0.4706412433545363,0.42736311702107127,950.9616099113441,1099.370770554492,-0.09237912949304415,0.011067543912016739,-1.4880282206642665,1.6847733031408754,298.15,0.0,0.015449826625312855,-0.04327812633346497,0.13185960081083214
DC03_AC07_10tau,3.1287127300056454,7179.333658798922,0.6074475780442369,0.6231870174935515,0.704439041390985,0.568827764120705,0.4661695886280448,0.4196947885696282,950.532816126849,1119.6901803341982,-0.09138105601542582,0.010787806408416766,-1.4487920793467104,1.640349412112303,298.15,0.0,0.015739439449314614,-0.04647480005841658,0.13561127727028
DC03_AC07_10tau,3.1677622330723874,7209.251536416018,0.6141478603409277,0.6294331523957998,0.7135499615383312,0.5753458345641398,0.4616980767398068,0.41360661448174335,952.0174716487182,1088.6880058524546,-0.08713563984982323,0.010018144451371313,-1.3369783280592018,1.513751797630448,298.15,0.0,0.015285292054872128,-0.048091462258063475,0.13820412697419143
DC03_AC07_10tau,3.2068117361391293,7242.9410933556355,0.6208480635091881,0.6347330171001189,0.7204252824011644,0.5814075540992563,0.4572266176588536,0.4096011700323105,955.9766194155295,992.6192775543651,-0.0782018771332155,0.00861163509589293,-1.134738336715321,1.2847719076695017,298.15,0.0,0.013884953590930735,-0.04762544762654307,0.1390177283019082
DC03_AC07_10tau,3.245861239205871,7286.218684531126,0.6275482977421962,0.6384620039170276,0.723876889821572,0.5865893066832479,0.4527551378464777,0.40918608749513746,964.3765213323634,789.6092171813032,-0.059482920131896405,0.006109675161633157,-0.7858490852385026,0.8897529903792545,298.15,0.0,0.010913706174831344,-0.04356905035134024,0.137287583138324
DC03_AC07_10tau,3.284910742272613,7776.605350439278,0.6342536870314147,0.6460799076617145,0.7192262321321444,0.6102023116103628,0.44828021774694926,0.4186659685507709,961.568784195059,826.702442586345,-0.08249983176727221,0.009910616209782489,-1.2904724136183787,1.4610965859736758,298.15,0.0,0.011826220630299807,-0.0296142491961784,0.1090239205217816
DC03_AC07_f000412,0.2,269.4608190971624,0.10488368979253766,0.11647852078241051,0.12313064525733027,0.11296027718820141,0.8015614872688457,0.7671242321892302,962.8296176822921,799.6142448166221,-0.0945826162455175,0.010035490768422117,-1.1156452130074368,1.2631543169381887,298.15,0.0,0.011594830989872853,-0.034437255079615495,0.010170368069128858
DC03_AC07_f000412,0.23904950306674194,305.7768594606096,0.11158446868996097,0.12403250238816965,0.13160852770386683,0.12004474833577046,0.7970896439682899,0.7589859986598405,960.3590952258401,858.9512492019159,-0.09709552419378926,0.010480878721696427,-1.1876383127710441,1.344666247156169,298.15,0.0,0.01244803369820868,-0.03810364530844939,0.011563779368096366
