param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,Q_nom_Ah,Q_low_Ah,Q_hi_Ah,n_rows,n_finite_core,n_nonfinite_core,Q_min_Ah,Q_max_Ah,Q_span_Ah,Q_grid_unique,Q_sorted_if_sorted,Q_inside_window_all,Q_window_valid_all,Q_low_Ah_unique,Q_hi_Ah_unique,Q_nom_Ah_unique,Q_hi_gt_Q_low,Q_hi_le_Q_nom,dtQ_sign_err_max_abs_s,dtQ_sign_err_median_s,dtQ_internal_sign_ok,t_DC_median_s,t_protocol_median_s,dtQ_median_s,provenance_confirms_shared_window,notebook_window_cells_found,window_compatibility
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,0.43,0.0215,0.4402956474175573,100,100,0,0.0215,0.4402956474175573,0.41879564741755726,100,True,True,True,1,1,1,True,False,3.637978807091713e-12,0.0,True,9665.490294786076,9684.845364330109,-21.779217974085896,True,6,needs_review_Q_hi_exceeds_Q_nom
NCA_Kim2011,graphite/NCA,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,0.43,0.0215,0.436004902349297,100,100,0,0.0215,0.436004902349297,0.414504902349297,100,True,True,True,1,1,1,True,False,3.637978807091713e-12,0.0,True,9575.684002659702,9694.014762891016,-253.3225465107173,True,6,needs_review_Q_hi_exceeds_Q_nom
OKane2022,LG M50 lineage,DC_0p2C,DC_sanity,0.2,0.0,0.0,5.0,0.25,4.457025794657849,100,100,0,0.25,4.457025794657849,4.207025794657849,100,True,True,True,1,1,1,True,True,0.0,0.0,True,8472.646430384128,8472.646430384128,0.0,True,6,compatible
OKane2022,LG M50 lineage,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,5.0,0.25,3.8548900172390193,100,100,0,0.25,3.8548900172390193,3.6048900172390193,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,7388.802031030234,7416.983562709738,-26.64594020471486,True,6,compatible
OKane2022,LG M50 lineage,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,5.0,0.25,3.645604319250589,100,100,0,0.25,3.645604319250589,3.395604319250589,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,7012.0877746510605,7203.430549768804,-186.76798661461476,True,6,compatible
OKane2022,LG M50 lineage,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,5.0,0.25,3.5817399844344284,100,100,0,0.25,3.5817399844344284,3.3317399844344284,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,6897.131971981972,6928.758687765369,-28.251596885730578,True,6,compatible
ORegan2022,LG M50 lineage,DC_0p2C,DC_sanity,0.2,0.0,0.0,5.0,0.25,4.606684496171922,100,100,0,0.25,4.606684496171922,4.356684496171922,100,True,True,True,1,1,1,True,True,0.0,0.0,True,8742.03209310946,8742.03209310946,0.0,True,6,compatible
ORegan2022,LG M50 lineage,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,5.0,0.25,3.936192623629394,100,100,0,0.25,3.936192623629394,3.686192623629394,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,7535.146722532911,7556.69672650784,-19.725357609576008,True,6,compatible
ORegan2022,LG M50 lineage,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,5.0,0.25,4.606684496171922,100,100,0,0.25,4.606684496171922,4.356684496171922,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8742.03209310946,8929.404348287851,-186.55190900221316,True,6,compatible
ORegan2022,LG M50 lineage,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,5.0,0.25,4.572345746969874,100,100,0,0.25,4.572345746969874,4.322345746969874,100,True,True,True,1,1,1,True,True,3.637978807091713e-12,0.0,True,8680.222344545775,8707.57154648392,-27.886581835723973,True,6,compatible
