condition,DC,AC,f_Hz,ablation,Q_CC_end_mAh
0.4+0.5C 1.67τ,0.4,0.5,0.0086,B_Dsn_down,3848.7754028010454
0.4+0.6C 1.67τ,0.4,0.6,0.0086,B_Dsn_down,3783.735242817312
0.4+0.6C 5τ,0.4,0.6,0.00286,B_Dsn_down,3762.8729469740624
0.4+0.6C 10τ,0.4,0.6,0.00143,B_Dsn_down,3662.30771558936
0.5+0.5C 1τ,0.5,0.5,0.0143,B_Dsn_down,3768.187383695517
0.9+0.1C 16.7τ,0.9,0.1,0.00086,B_Dsn_down,3608.1352151060455
0.9+0.1C 1.67τ,0.9,0.1,0.0086,B_Dsn_down,3574.0382778453027
0.9+0.1C 10τ,0.9,0.1,0.00143,B_Dsn_down,3707.4824599122517
0.9+0.1C 1τ,0.9,0.1,0.0143,B_Dsn_down,3555.4531197588058
DC_0.1C,0.1,0.0,0.0,C_alpha_up,4919.020761621486
DC_0.2C,0.2,0.0,0.0,C_alpha_up,4780.174923075847
DC_0.3C,0.3,0.0,0.0,C_alpha_up,4642.914307917309
DC_0.4C,0.4,0.0,0.0,C_alpha_up,4496.585384983202
DC_0.5C,0.5,0.0,0.0,C_alpha_up,4313.089524582575
DC_0.9C,0.9,0.0,0.0,C_alpha_up,3636.513843670099
0.1+0.9C 1τ,0.1,0.9,0.0143,C_alpha_up,4056.8283228950454
0.1+0.2C 1τ,0.1,0.2,0.0143,C_alpha_up,4771.798243177504
0.2+0.3C 1τ,0.2,0.3,0.0143,C_alpha_up,4533.268051884155
0.2+0.3C 10τ,0.2,0.3,0.00143,C_alpha_up,4365.138355818448
0.2+0.3C 34.8τ,0.2,0.3,0.00041,C_alpha_up,4342.206844719742
0.2+0.8C 0.1τ,0.2,0.8,0.143,C_alpha_up,4054.749596677138
0.2+0.8C 1τ,0.2,0.8,0.0143,C_alpha_up,3981.6604069677123
0.2+0.8C 10τ,0.2,0.8,0.00143,C_alpha_up,3710.1933462328984
0.3+0.7C 0.1τ,0.3,0.7,0.143,C_alpha_up,3970.149927167423
0.3+0.7C 1τ,0.3,0.7,0.0143,C_alpha_up,3912.4312421035734
0.3+0.7C 10τ,0.3,0.7,0.00143,C_alpha_up,3649.446939262072
0.3+0.4C 0.1τ,0.3,0.4,0.143,C_alpha_up,4156.462329781138
0.3+0.4C 1τ,0.3,0.4,0.0143,C_alpha_up,4120.813526025977
0.3+0.4C 10τ,0.3,0.4,0.00143,C_alpha_up,3944.740136384566
0.4+0.6C 0.5τ,0.4,0.6,0.0286,C_alpha_up,3872.4425690527455
0.4+0.5C 1.67τ,0.4,0.5,0.0086,C_alpha_up,3850.936390456859
0.4+0.6C 1.67τ,0.4,0.6,0.0086,C_alpha_up,3837.6973910774773
0.4+0.6C 5τ,0.4,0.6,0.00286,C_alpha_up,3764.4516437310976
0.4+0.6C 10τ,0.4,0.6,0.00143,C_alpha_up,3665.195109646213
0.5+0.5C 1τ,0.5,0.5,0.0143,C_alpha_up,3770.5366434219595
0.9+0.1C 16.7τ,0.9,0.1,0.00086,C_alpha_up,3630.475150379469
0.9+0.1C 1.67τ,0.9,0.1,0.0086,C_alpha_up,3585.9303629759615
0.9+0.1C 10τ,0.9,0.1,0.00143,C_alpha_up,3739.6220303939554
0.9+0.1C 1τ,0.9,0.1,0.0143,C_alpha_up,3629.8938224226777
DC_0.1C,0.1,0.0,0.0,C_alpha_down,4919.020761621486
DC_0.2C,0.2,0.0,0.0,C_alpha_down,4780.174923075847
DC_0.3C,0.3,0.0,0.0,C_alpha_down,4642.914307917309
DC_0.4C,0.4,0.0,0.0,C_alpha_down,4496.585384983202
DC_0.5C,0.5,0.0,0.0,C_alpha_down,4313.089524582575
DC_0.9C,0.9,0.0,0.0,C_alpha_down,3636.513843670099
0.1+0.9C 1τ,0.1,0.9,0.0143,C_alpha_down,4056.8283228950454
0.1+0.2C 1τ,0.1,0.2,0.0143,C_alpha_down,4771.798243177504
0.2+0.3C 1τ,0.2,0.3,0.0143,C_alpha_down,4533.268051884155
0.2+0.3C 10τ,0.2,0.3,0.00143,C_alpha_down,4365.138355818448
0.2+0.3C 34.8τ,0.2,0.3,0.00041,C_alpha_down,4342.206844719742
0.2+0.8C 0.1τ,0.2,0.8,0.143,C_alpha_down,4054.749596677138
0.2+0.8C 1τ,0.2,0.8,0.0143,C_alpha_down,3981.6604069677123
0.2+0.8C 10τ,0.2,0.8,0.00143,C_alpha_down,3710.1933462328984
0.3+0.7C 0.1τ,0.3,0.7,0.143,C_alpha_down,3970.149927167423
0.3+0.7C 1τ,0.3,0.7,0.0143,C_alpha_down,3912.4312421035734
0.3+0.7C 10τ,0.3,0.7,0.00143,C_alpha_down,3649.446939262072
0.3+0.4C 0.1τ,0.3,0.4,0.143,C_alpha_down,4156.462329781138
0.3+0.4C 1τ,0.3,0.4,0.0143,C_alpha_down,4120.813526025977
0.3+0.4C 10τ,0.3,0.4,0.00143,C_alpha_down,3944.740136384566
0.4+0.6C 0.5τ,0.4,0.6,0.0286,C_alpha_down,3872.4425690527455
0.4+0.5C 1.67τ,0.4,0.5,0.0086,C_alpha_down,3850.936390456859
0.4+0.6C 1.67τ,0.4,0.6,0.0086,C_alpha_down,3837.6973910774773
0.4+0.6C 5τ,0.4,0.6,0.00286,C_alpha_down,3764.4516437310976
0.4+0.6C 10τ,0.4,0.6,0.00143,C_alpha_down,3665.195109646213
0.5+0.5C 1τ,0.5,0.5,0.0143,C_alpha_down,3770.5366434219595
0.9+0.1C 16.7τ,0.9,0.1,0.00086,C_alpha_down,3630.475150379469
0.9+0.1C 1.67τ,0.9,0.1,0.0086,C_alpha_down,3585.9303629759615
0.9+0.1C 10τ,0.9,0.1,0.00143,C_alpha_down,3739.6220303939554
0.9+0.1C 1τ,0.9,0.1,0.0143,C_alpha_down,3629.8938224226777
