parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_model_s,t_DCAC_model_s,delta_t_model_s,delta_t_model_min,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.6967816662702719,0.1393563332540544,0.18935633325405438,1672.2759990486527,1521.4155571384083,150.8604419102444,2.514340698504073,1672.2759990486527,1521.415399233908,150.86059981474477,2.514343330245746,-0.00015790450038366544,-2.6317416730610906e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7318864701685232,0.14637729403370464,0.19637729403370463,1756.5275284044556,1547.6221555102643,208.90537289419126,3.4817562149031875,1756.5275284044556,1547.6208135282088,208.90671487624672,3.481778581270779,-0.0013419820554645412,-2.2366367591075687e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7669912740667745,0.1533982548133549,0.20339825481335488,1840.7790577602586,1572.9943761443974,267.78468161586125,4.46307802693102,1840.7790577602589,1572.9920948113643,267.7869629488946,4.463116049148243,-0.0022813330333519843,-3.8022217222533075e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.8020960779650258,0.16041921559300515,0.21041921559300514,1925.030587116062,1598.5072344381263,326.5233526779357,5.442055877965595,1925.0305871160617,1598.5038742845409,326.52671283152085,5.4421118805253474,-0.0033601535851630615,-5.600255975271769e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.837200881863277,0.1674401763726554,0.2174401763726554,2009.2821164718648,1625.185460200451,384.09665627141385,6.401610937856898,2009.2821164718648,1625.1804584465604,384.10165802530446,6.401694300421741,-0.005001753890610416,-8.336256484350693e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.8723056857615283,0.17446113715230566,0.22446113715230565,2093.533645827668,1654.5298835820604,439.0037622456075,7.316729370760125,2093.533645827668,1654.5233306788484,439.0103151488195,7.316838585813658,-0.006552903211968442,-0.00010921505353280735,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9074104896597797,0.18148209793195594,0.23148209793195595,2177.7851751834714,1689.7121520287033,488.0730231547682,8.134550385912803,2177.7851751834714,1689.703682879254,488.08149230421736,8.134691538403622,-0.008469149449183533,-0.00014115249081972554,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9425152935580309,0.18850305871160616,0.23850305871160615,2262.036704539274,1744.0541499539827,517.9825545852914,8.633042576421524,2262.036704539274,1744.0389673321588,517.9977372071153,8.633295620118588,-0.015182621823896625,-0.00025304369706494374,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9776200974562822,0.19552401949125645,0.24552401949125646,2346.288233895077,2211.257286116626,135.03094777845126,2.250515796307521,2346.288233895077,2211.2576300530654,135.03060384201171,2.2505100640335285,0.00034393643954899744,5.7322739924832906e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.0127249013545336,0.20254498027090673,0.2525449802709067,2430.5397632508807,2237.900235999217,192.63952725166382,3.21065878752773,2430.5397632508807,2237.898782578118,192.6409806727629,3.210683011212715,-0.001453421099085972,-2.42236849847662e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.047829705252785,0.20956594105055698,0.25956594105055697,2514.791292606684,2263.4003861488786,251.39090645780516,4.189848440963419,2514.791292606684,2263.3984278256753,251.39286478100848,4.189881079683475,-0.0019583232033255626,-3.2638720055426046e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.082934509151036,0.2165869018302072,0.2665869018302072,2599.0428219624864,2288.7796202682302,310.26320169425617,5.171053361570936,2599.0428219624864,2288.7764642131924,310.266357749294,5.171105962488233,-0.0031560550378344487,-5.2600917297240815e-05,0.1,4.2774716638919035,0.1,0.25
