case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,round,tau_Chen_s,f_Hz_v01,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
DC0.30C+AC0.40C_f0.00666Hz,0.3,0.4,0.0066609315988250106,1.3333333333333335,1.981168270111084,10018.631990930122,4257.266335783079,14275.8983267132,166.97719984883537,70.95443892971798,237.93163877855335,5126.174370572669,23.76781582821883,760.0,21.56640181611805,ok,0.3+0.4C 1τ,1τ,R1,23.83,0.0143,,,
DC0.30C+AC0.40C_f0.00067Hz,0.3,0.4,0.0006660931598825011,1.3333333333333335,1.1637189388275146,10064.671643099386,4436.16354048995,14500.835183589335,167.74452738498977,73.93605900816583,241.68058639315558,5126.201346840832,24.44796857714732,89.0,18.126272912423627,ok,0.3+0.4C 10τ,10τ,R1,23.83,0.00143,,,
DC0.40C+AC0.60C_f0.01332Hz,0.4,0.6,0.013321863197650021,1.4999999999999998,2.722114086151123,7110.886899022766,4507.809401469838,11618.696300492604,118.51478165037943,75.13015669116398,193.6449383415434,5123.869830987614,25.51463587290948,1523.0,27.206145051804217,ok,0.4+0.6C 0.5τ,0.5τ,R1,23.83,0.0286,,,
DC0.40C+AC0.50C_f0.00401Hz,0.4,0.5,0.004005874947545111,1.25,1.4822068214416504,7163.411856317189,4516.755201551861,11680.16705786905,119.39019760528647,75.27925335919768,194.66945096448416,5124.967573003081,25.203599734240868,310.0,18.708509354254677,ok,0.4+0.5C 1.67τ,1.67τ,R1,23.83,0.0086,,,
DC0.40C+AC0.60C_f0.00401Hz,0.4,0.6,0.004005874947545111,1.4999999999999998,1.3755369186401367,6927.001366505245,4639.493038365012,11566.494404870256,115.45002277508742,77.3248839727502,192.7749067478376,5125.9526210669965,26.11427828607401,425.0,25.088547815820544,ok,0.4+0.6C 1.67τ,1.67τ,R1,23.83,0.0086,,,
DC0.40C+AC0.60C_f0.00133Hz,0.4,0.6,0.0013321863197650022,1.4999999999999998,1.1954460144042969,7248.180565378938,4593.100964011646,11841.281529390584,120.8030094229823,76.55168273352744,197.35469215650974,5125.789653394957,26.591235026889933,158.0,21.703296703296704,ok,0.4+0.6C 5τ,5τ,R1,23.83,0.00286,,,
DC0.40C+AC0.60C_f0.00067Hz,0.4,0.6,0.0006660931598825011,1.4999999999999998,1.0791568756103516,7077.462200493681,4758.688342170897,11836.150542664578,117.95770334156136,79.31147236951496,197.26917571107631,5124.627173838214,27.79727772969636,89.0,18.31275720164609,ok,0.4+0.6C 10τ,10τ,R1,23.83,0.00143,,,
DC0.50C+AC0.50C_f0.00666Hz,0.5,0.5,0.0066609315988250106,1.0,1.6123371124267578,5516.91990325058,4649.085111078481,10166.005014329061,91.94866505417635,77.484751851308,169.43341690548434,5125.8622097766,26.36207330179883,0.0,0.0,ok,0.5+0.5C 1τ,1τ,R1,23.83,0.0143,,,
DC0.90C+AC0.10C_f0.00040Hz,0.9,0.1,0.0004005874947545111,0.11111111111111112,0.9878411293029785,3112.884249466566,4664.980503471219,7777.864752937785,51.881404157776096,77.74967505785365,129.63107921562974,5124.318927295025,32.08537020039489,0.0,0.0,ok,0.9+0.1C 16.7τ,16.7τ,R1,23.83,0.00086,,,
DC0.90C+AC0.10C_f0.00401Hz,0.9,0.1,0.004005874947545111,0.11111111111111112,1.1208868026733398,2926.153520712178,4820.898992284228,7747.052512996406,48.76922534520296,80.34831653807048,129.11754188327345,5124.985458141654,31.534362957215876,0.0,0.0,ok,0.9+0.1C 1.67τ,1.67τ,R1,23.83,0.0086,,,
