protocol_pair,protocol_label_DCAC,file_name_DCAC,kappa,Q_label,Q_Ah,is_anchor,generalized_region,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,dt_geom_fit_s,dt_resid_fit_s,boundary_ordering_by_Q,boundary_ordering_by_time,protocol_mode_status_DCAC,geometry_phase_reference_status,geometry_phase_offset_rad,fit_status,I0_fit_A,A_fit_A,A_fit_ratio_to_expected,fit_rmse_A,continued_AC_after_Vmax_caveat,not_same_protocol_family_as_Day21A_Day22A
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.25,False,G0_shared_pre_boundary,662.0051928731551,651.8756680371974,10.129524835957682,661.7647058823472,657.4700110691715,4.294694813175738,5.834830022781944,6.344336414388067,3.7851884215696145,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.26,False,G0_shared_pre_boundary,688.4786370448588,675.8322815326306,12.646355512228183,688.235294117643,676.0338090444878,12.20148507315514,0.4448704390730427,14.555812536227222,-1.909457023999039,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.27,False,G0_shared_pre_boundary,714.9518441345848,711.9338400438814,3.018004090703357,714.7058823529388,717.0991079402384,-2.3932255872995256,5.411229678002883,1.1434221010591727,1.8745819896441844,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.28,False,G0_shared_pre_boundary,741.4249636915151,727.6791246039817,13.745839087533454,741.1764705882346,732.8708980912598,8.305572496974719,5.4402665905587355,10.355166323600656,3.3906727639327983,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.29,False,G0_shared_pre_boundary,767.897867826572,768.6012775073383,-0.7034096807662991,767.6470588235302,768.4626467282491,-0.8155879047188819,0.11217822395258281,11.190499528443866,-11.893909209210165,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.3,False,G0_shared_pre_boundary,794.3707402016129,787.4389705397447,6.931769661868202,794.1176470588259,792.8489989826844,1.2686480761415169,5.663121585726685,4.2129185877277,2.7188510741405025,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.31,False,G0_shared_pre_boundary,820.843705522221,805.0287948287591,15.814910693461798,820.5882352941217,809.0919817288396,11.496253565282018,4.31865712817978,13.910907022247102,1.9040036712146957,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.32,False,G0_shared_pre_boundary,847.3166851058679,846.8857628166576,0.4309222892103435,847.0588235294174,851.2093256635635,-4.150502134146109,4.581424423356452,1.8097753550014204,-1.378853065791077,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.33,False,G0_shared_pre_boundary,873.7895740211628,862.8621098942193,10.927464126943505,873.5294117647132,868.1533781103223,5.376033654390994,5.551430472552511,8.110216402939841,2.817247724003664,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
0.4C DC vs 0.4C+0.3C 1tau,0.4C+0.3C 1tau,DC0.4C+AC0.3C f=0.0143Hz.csv,0.7499999999999999,G0_grid,0.33999999999999997,False,G0_shared_pre_boundary,900.2625035021497,891.7399095813842,8.52259392076553,900.0000000000089,888.4615137944721,11.538486205536742,-3.015892284771212,15.846857069676844,-7.324263148911314,DCAC_first,DCAC_first_by_time,possible_full_DCAC_after_Vmax,estimated_from_current_waveform,-1.0733026641093348,ok,1.3682764294001724,0.8695413317573739,0.8524915017229155,0.37550721449508984,True,True
