parameter_set,condition,ac_c,peak_c,tau_factor_set,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,delta_t_geom_mean_s,delta_t_geom_min_s,delta_t_geom_max_s,delta_t_resid_mean_s,delta_t_resid_min_s,delta_t_resid_max_s,resid_abs_mean_s,resid_max_abs_s,resid_over_raw_mean,dt_resid_class,min_U_NE_vs_Li_mV,fraction_time_below_50mV,fraction_time_below_0mV,margin_class,dc_margin_class,estimated_AC_C_at_0mV,estimated_peak_C_at_0mV,transfer_class,gain_margin_class
Ecker2015,Ecker2015_DFN_DC03_AC0p36_1p5tauSet,0.36,0.6599999999999999,1.5,29.610275074978702,0.3268695059505262,59.2929447692477,30.349553736234757,0.003999903445219388,59.462498670185596,0.025631256693010245,0.007502657987060957,0.11070267479226459,0.025631256693010245,0.11070267479226459,0.0008656203506420374,geometry_dominated,63.6825301620645,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
Ecker2015,Ecker2015_DFN_DC03_AC0p38_1p5tauSet,0.38,0.6799999999999999,1.5,31.010485786483656,0.3281666891252826,62.71547149083381,32.5687312240575,0.004226836548696156,62.76280628107634,0.011846904587735864,-0.0031920103101583663,0.03752448369777994,0.012377120533768137,0.03752448369777994,0.00038202899075187976,geometry_dominated,63.04906612248901,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
Ecker2015,Ecker2015_DFN_DC03_AC0p3_1p5tauSet,0.3,0.6,1.5,24.534450141529824,0.2942132991138351,49.571451711692134,25.04700315797032,0.003322145090351114,49.547583565194145,0.06371955550708835,0.0153666992628132,0.5589756921963271,0.06371955550708835,0.5589756921963271,0.0025971462632956802,geometry_dominated,65.61323289972694,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
Ecker2015,Ecker2015_DFN_DC03_AC0p4_1p5tauSet,0.4,0.7,1.5,35.13892477578347,0.4377443952453177,65.96565772143185,34.32067394438414,0.004454280033314717,66.06070129728687,-0.005638721615277494,-0.051377948047957034,0.009826203220654861,0.008045952479446178,0.051377948047957034,-0.0001604693840593411,geometry_dominated,62.74711052201496,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
Ecker2015,Ecker2015_DFN_DC03_AC0p5_1p5tauSet,0.5,0.8,1.5,48.824510075492675,5.932681274452989,82.43095582303067,46.69278324145405,3.326077198586063,82.58542467934058,-0.11578479901709215,-0.8454657999209303,-0.05081012684604502,0.11578479901709215,0.8454657999209303,-0.002371448250849116,geometry_dominated,60.48346029703214,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
Ecker2015,Ecker2015_DFN_DC03_AC0p7_1p5tauSet,0.7,1.0,1.5,70.91347756079826,22.532068394561065,115.45457153007192,72.88380161695812,21.441231727230843,115.62337725056022,-0.06424093958521553,-0.168805720488308,-0.04379103701285203,0.06424093958521553,0.168805720488308,-0.0009059059264176971,geometry_dominated,55.59511938544273,0.0,0.0,safe_margin,safe_margin,,,all_scanned_amplitudes_admissible,geometry_gain__safe_margin
ORegan2022,ORegan2022_DFN_DC03_AC0p1_1p5tauSet,0.1,0.4,1.5,26.69114912123364,0.009590027793365152,53.573914017471,26.692860617340894,0.007496721137613349,53.57542619035712,-0.0017114961072530832,-0.005760792646469781,0.0026415819617682246,0.001890745350926295,0.005760792646469781,-6.41222339090502e-05,geometry_dominated,-91.82468450455202,0.0545370309087299,0.0019855715136673506,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
ORegan2022,ORegan2022_DFN_DC03_AC0p2_1p5tauSet,0.2,0.5,1.5,53.240862670563864,0.016638763840546744,107.13787554716919,53.24174133467311,0.015113812560230144,107.14215561882565,-0.0008786641092444824,-0.009038023293214792,0.00656034332132549,0.001986041587521186,0.009038023293214792,-1.6503566343042817e-05,geometry_dominated,-99.28182117130216,0.056705133306804614,0.0031834460803820135,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
ORegan2022,ORegan2022_DFN_DC03_AC0p36_1p5tauSet,0.36,0.6599999999999999,1.5,101.33440699021183,0.032858384809060226,192.84119404783542,101.33739409633797,0.027560777874441555,192.847727806482,-0.002987106126146841,-0.028894482857083403,0.006101422235815335,0.0037474987199487943,0.028894482857083403,-2.9477708656600455e-05,geometry_dominated,-76.57898447066972,0.10276880187543559,0.0076031172780840145,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
ORegan2022,ORegan2022_DFN_DC03_AC0p38_1p5tauSet,0.38,0.6799999999999999,1.5,107.24462452789008,0.03097365942721808,203.5808540720068,107.2477668562329,0.02913976547188213,203.5866128907894,-0.0031423283428074454,-0.04514145290613669,0.006219305928198082,0.0038255978736918906,0.04514145290613669,-2.930056733976676e-05,geometry_dominated,-73.75838479529367,0.10832705350414469,0.008477769404672193,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
ORegan2022,ORegan2022_DFN_DC03_AC0p3_1p5tauSet,0.3,0.6,1.5,80.40247115311566,0.029028528143953736,160.66112661370153,80.40570141521835,0.022854954253489268,160.67301141084772,-0.003230262102688357,-0.03222201584412687,0.006173573890464468,0.003718321627152363,0.03222201584412687,-4.017615449327122e-05,geometry_dominated,-84.49177497324652,0.07269664377348711,0.007580666061941169,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
ORegan2022,ORegan2022_DFN_DC03_AC0p4_1p5tauSet,0.4,0.7,1.5,112.94267225423742,0.029389628355602326,214.23320037127542,112.94592245293823,0.030723996925189567,214.24155084055337,-0.00325019870081519,-0.035210949374686606,0.007143484162270397,0.0038999528431315866,0.035210949374686606,-2.8777419871019987e-05,geometry_dominated,-71.18575387910582,0.1158905305155539,0.009164017205909855,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
ORegan2022,ORegan2022_DFN_DC03_AC0p5_1p5tauSet,0.5,0.8,1.5,153.31856227675868,11.529673757288947,267.8488296757714,153.32447315301675,11.531783692688805,267.8595541623972,-0.005910876258072903,-0.04126324395019765,0.003136749367513403,0.0060728078535601075,0.04126324395019765,-3.855290690375149e-05,geometry_dominated,-58.36729594933244,0.13912832341872042,0.008316134514993323,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
ORegan2022,ORegan2022_DFN_DC03_AC0p7_1p5tauSet,0.7,1.0,1.5,235.87326595337368,68.89608654580798,374.9798445703145,235.87621701716182,68.89577803835573,374.99155958022675,-0.0029510637881747927,-0.01963145568095115,0.002901425097434185,0.0031989244972140795,0.01963145568095115,-1.2511226213987918e-05,geometry_dominated,-295.65247937657074,0.12861503856041132,0.01695051413881748,risk_flag,risk_flag,,,baseline_risk_not_admissible_reference,geometry_gain__risk
