t_s,V_terminal_V,I_py_A,I_charge_A,Q_net_Ah,t_rel_s,V_fit_V,qfrac_target
10097.221447330992,4.037304675575529,0.0,-0.0,3.8314589937762205,601.7482816118536,4.037269744068577,0.85
10098.103159178263,4.037301009273123,0.0,-0.0,3.8314589937762205,602.6299934591243,4.037266202157044,0.85
10098.400529339724,4.037299776128643,0.0,-0.0,3.8314589937762205,602.9273636205853,4.0372650100987615,0.85
10098.697899501185,4.037298544103518,0.0,-0.0,3.8314589937762205,603.2247337820463,4.037263819300789,0.85
10099.292639824105,4.037296082766889,0.0,-0.0,3.8314589937762205,603.8194741049665,4.037261441480449,0.85
10100.182669713513,4.037292406568826,0.0,-0.0,3.8314589937762205,604.7095039943742,4.037257892452298,0.85
10100.477960364438,4.037291189794134,0.0,-0.0,3.8314589937762205,605.0047946452996,4.037256717449786,0.85
10100.773251015364,4.03728997411549,0.0,-0.0,3.8314589937762205,605.300085296225,4.03725554368087,0.85
10101.363832317214,4.037287545415476,0.0,-0.0,3.8314589937762205,605.8906665980758,4.037253199838646,0.85
10102.262180248765,4.037283858276355,0.0,-0.0,3.8314589937762205,606.789014529626,4.0372496439901875,0.85
10102.555391389154,4.03728265770963,0.0,-0.0,3.8314589937762205,607.0822256700158,4.037248485856854,0.85
10102.848602529544,4.0372814582166185,0.0,-0.0,3.8314589937762205,607.3754368104055,4.037247328930849,0.85
10103.435024810324,4.037279061832995,0.0,-0.0,3.8314589937762205,607.961859091185,4.037245018695785,0.85
10104.341690784015,4.037275365012283,0.0,-0.0,3.8314589937762205,608.8685250648759,4.037241456319354,0.85
10104.632822413869,4.037274180492975,0.0,-0.0,3.8314589937762205,609.1596566947301,4.03724031487043,0.85
10104.923954043723,4.037272997025397,0.0,-0.0,3.8314589937762205,609.4507883245842,4.0372391746030045,0.85
10105.506217303433,4.037270632638695,0.0,-0.0,3.8314589937762205,610.0330515842943,4.0372368976077615,0.85
10106.421201319266,4.037266925464138,0.0,-0.0,3.8314589937762205,610.9480356001277,4.037233328991763,0.85
10106.710253438585,4.037265756834714,0.0,-0.0,3.8314589937762205,611.2370877194462,4.037232204044285,0.85
10106.999305557903,4.03726458923503,0.0,-0.0,3.8314589937762205,611.5261398387647,4.037231080252914,0.85
10107.577409796542,4.0372622565303535,0.0,-0.0,3.8314589937762205,612.1042440774036,4.037228836133737,0.85
10108.500711854516,4.037258539270477,0.0,-0.0,3.8314589937762205,613.0275461353776,4.037225261562685,0.85
10108.787684463301,4.037257386374268,0.0,-0.0,3.8314589937762205,613.3145187441623,4.037224152935481,0.85
10109.074657072086,4.037256234486099,0.0,-0.0,3.8314589937762205,613.601491352947,4.037223045439419,0.85
10109.648602289653,4.037253933152607,0.0,-0.0,3.8314589937762205,614.1754365705146,4.037220833836104,0.85
10110.580222389768,4.037250206072077,0.0,-0.0,3.8314589937762205,615.1070566706294,4.037217253590665,0.85
10110.865115488017,4.037249068754001,0.0,-0.0,3.8314589937762205,615.3919497688785,4.037216161104337,0.85
