branch_id,branch_type,transport_branch_id,transport_modification,surface_form,protocol_id,condition,case_role,min_U_NE_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,Q_end_Ah,Q_at_min_U_NE_Ah,t_at_min_U_NE_s,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,distance_to_4p2V_at_min_U_NE_mV,c_e_range_at_min_U_NE_molm3,max_c_e_range_molm3,neg_avg_sto_at_min_U_NE,neg_surface_sto_xavg_at_min_U_NE,neg_surface_sto_range_at_min_U_NE,eta_n_at_min_U_NE_V,delta_t_raw_mean_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,resid_positive_fraction,dt_resid_class
transport_flattened,transport_parameterization,transport_flattened,flattened,false,fixed_AC0p7,Chen2020_DFN_Day37_transport_flattened_fixed_AC0p7,high_amplitude_stress_control,-28.479797140760976,risk_flag,0.2288081171333162,0.04835602363216029,3.633142000959676,3.526167187233897,8310.906639420671,4.932251734141709,4.9999617591338135,4.196486912825771,3.51308717422949,974.7356781287392,1069.6128003697256,0.6759129609325032,0.6899961208867827,0.16854566555154127,-0.09192339101746212,158.09926879066123,158.12037901988467,-0.021110229223435226,0.021110229223435226,0.06753577862991733,0.0,geometry_dominated
transport_flattened,transport_parameterization,transport_flattened,flattened,false,sched_v2_conservative,Chen2020_DFN_Day37_transport_flattened_sched_v2_conservative,day35_primary_candidate,21.281118114046887,near_boundary,0.23826899686319697,0.0,4.490834229066104,3.0710835271014862,7285.8903018750325,3.349840366215049,3.399993218749366,4.045267552408312,154.73244759168824,759.1651260342944,772.7225927986266,0.597475633055428,0.6074162511560178,0.10945190840730457,-0.06941268735997361,65.40462258489835,65.41902957129075,-0.014406986392403382,0.014489288661418982,0.045908537751529366,0.01,geometry_dominated
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,false,DC03,Chen2020_DFN_Day37_transport_nonlinearity_amplified_DC03,dc_reference,35.62190120213421,near_boundary,0.22429829615606223,0.0,4.488631658916867,4.488631658916867,10772.715981400432,1.5,1.5,4.200000000000001,-8.881784197001252e-13,369.62923208001814,402.3720481971054,0.8407941570966861,0.8457438899116919,0.13732534486798842,-0.04570356323018783,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,false,fixed_AC0p38,Chen2020_DFN_Day37_transport_nonlinearity_amplified_fixed_AC0p38,near_boundary_baseline,-4.104669177037486,risk_flag,0.17307562798841672,0.007946663074954542,3.9024927161653915,3.780606674854008,8993.46893511923,3.375499608697458,3.3999971246826424,4.190860730155404,9.139269844595788,711.8468528397326,815.4348812613541,0.7191686731417292,0.7290307485251177,0.15859559769531628,-0.07268475275178511,68.99375095900523,69.00732401624656,-0.013573057241323454,0.013573057241323454,0.042323971894802526,0.0,geometry_dominated
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,false,fixed_AC0p7,Chen2020_DFN_Day37_transport_nonlinearity_amplified_fixed_AC0p7,high_amplitude_stress_control,-34.20465132060971,risk_flag,0.23873220875065893,0.061412756984712706,3.5251991818755064,3.5251991818755064,8310.200981977428,4.940793672701482,4.99992339249502,4.200000000000001,-8.881784197001252e-13,1053.1401022153618,1158.7710743850453,0.6758701351690657,0.6899245945253778,0.23701717855517956,-0.092640294702034,160.20815294619837,160.230817407396,-0.022664461197617242,0.022664461197617242,0.14668724187959015,0.0,geometry_dominated
transport_nonlinearity_amplified,transport_parameterization,transport_nonlinearity_amplified,nonlinearity_amplified,false,sched_v2_conservative,Chen2020_DFN_Day37_transport_nonlinearity_amplified_sched_v2_conservative,day35_primary_candidate,16.743399776952458,near_boundary,0.2520402958428972,0.0,4.488138318407606,3.0707543995696156,7285.537009444945,3.3525661482063067,3.3999971246826424,4.048568005665396,151.43199433460452,794.1765647790872,815.4348812613541,0.5973598988200938,0.6072952913438886,0.13216436888310212,-0.06975922855161593,66.4397258301521,66.4540514493808,-0.014325619228688424,0.014325619228688424,0.04697937514356454,0.0,geometry_dominated
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,differential,DC03,Chen2020_DFN_Day37_combined_sensitivity_DC03,dc_reference,35.63246264023545,near_boundary,0.22224942866470782,0.0,4.48836331588205,4.48836331588205,10772.07195811689,1.5,1.5,4.2,0.0,369.6623632572763,402.44076605891723,0.8407329437613463,0.8456826591138435,0.1372811984463258,-0.045694604353510776,0.0,0.0,0.0,0.0,0.0,0.0,dc_reference
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,differential,fixed_AC0p38,Chen2020_DFN_Day37_combined_sensitivity_fixed_AC0p38,near_boundary_baseline,-4.090364430967108,risk_flag,0.17570066865841513,0.008393797126191493,3.902199210062352,3.7805617789350197,8993.410610471163,3.37582586358368,3.399987576252425,4.191051252759694,8.948747240306254,711.5341634276642,815.723357222357,0.719199988409003,0.7290584681567972,0.15857218544485308,-0.07268568196905119,69.64972734780905,69.6590658420282,-0.009338494219142035,0.009455484014061426,0.1586425442021664,0.03,geometry_dominated
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,differential,fixed_AC0p7,Chen2020_DFN_Day37_combined_sensitivity_fixed_AC0p7,high_amplitude_stress_control,-34.1504168831368,risk_flag,0.24376925231027724,0.06300756090730887,3.524100054715679,3.524100054715679,8309.390948438118,4.949892408017596,4.999962588851281,4.2000000000000055,-5.329070518200751e-12,1049.4826020449473,1158.6891355156151,0.6758721781759354,0.6898923587714688,0.23664035115005422,-0.09268564953801832,159.47777971676157,159.49620125082305,-0.018421534061480428,0.018421534061480428,0.09596037777919264,0.0,geometry_dominated
combined_sensitivity,combined,transport_nonlinearity_amplified,nonlinearity_amplified,differential,sched_v2_conservative,Chen2020_DFN_Day37_combined_sensitivity_sched_v2_conservative,day35_primary_candidate,16.76112053290352,near_boundary,0.260531044120583,0.0,4.487498054796523,3.0706397115077757,7285.406126779771,3.3535759564595247,3.399987576252425,4.048750328364928,151.24967163507196,793.9692485784132,815.723357222357,0.5973677178348124,0.6073004297079906,0.13205682542722497,-0.0697602474269494,67.16133006187587,67.17103996960077,-0.00970990772488733,0.009826897519806721,0.1586425442021664,0.03,geometry_dominated
