policy_id,condition,case_role,Q_Ah,t_DC_s,t_protocol_s,delta_t_raw_s,t_DC_geom_s,t_protocol_geom_s,delta_t_geom_s,delta_t_resid_s
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.2657019683194486,637.6847239666753,501.3770994503488,136.30762451632648,637.6847239666766,501.36817462014085,136.3165493465358,-0.008924830209309675
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.29855295247917285,716.5270859500133,709.4479904213734,7.0790955286398685,716.5270859500148,709.4444091032327,7.082676846782078,-0.003581318142209966
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.3314039366388971,795.3694479333518,750.5881811799699,44.78126675338194,795.3694479333531,750.5849444280153,44.78450350533774,-0.003236751955796535
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.3642549207986214,874.2118099166894,785.7263229716175,88.4854869450719,874.2118099166912,785.7207610979239,88.49104881876735,-0.005561873695455688
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.39710590495834563,953.0541719000283,825.4379418313865,127.61623006864181,953.0541719000295,825.4305251373517,127.62364676267782,-0.007416694036010085
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.42995688911806995,1031.8965338833668,1031.622726376857,0.27380750650991104,1031.896533883368,1031.6260983325783,0.27043555078967074,0.003371955720240294
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.4628078732777942,1110.7388958667048,1080.1961355228589,30.542760343845885,1110.7388958667061,1080.192356559297,30.546539307409148,-0.00377896356326346
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.4956588574375185,1189.5812578500427,1116.0124409154698,73.56881693457285,1189.5812578500443,1116.0081170746143,73.57314077542992,-0.004323840857068717
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.5285098415972427,1268.4236198333801,1152.8117343273998,115.61188550598035,1268.4236198333824,1152.8061687680984,115.61745106528406,-0.005565559303704504
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.5613608257569671,1347.2659818167197,1211.3573020166846,135.9086798000351,1347.265981816721,1211.3391130545747,135.92686876214634,-0.018188962111253204
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.5942118099166913,1426.1083438000578,1408.6849376935963,17.42340610646147,1426.1083438000592,1408.6809707560212,17.42737304403795,-0.003966937576478813
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.6270627940764155,1504.9507057833966,1446.3983193516692,58.55238643172743,1504.9507057833973,1446.3935363569697,58.55716942642766,-0.004782994700235577
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.65991377823614,1583.7930677667357,1481.8222809403085,101.97078682642723,1583.793067766736,1481.8158865113667,101.97718125536926,-0.006394428942030572
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.6927647623958642,1662.6354297500739,1526.7541638300493,135.8812659200246,1662.635429750074,1526.744721957085,135.89070779298913,-0.009441872964544018
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.7256157465555884,1741.477791733412,1735.0626564095714,6.415135323840559,1741.477791733412,1735.0587756653151,6.41901606809688,-0.0038807442563211225
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.7584667307153128,1820.3201537167517,1776.5568350851277,43.76331863162409,1820.3201537167506,1776.5515472758996,43.768606440851045,-0.005287809226956597
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.791317714875037,1899.162515700091,1811.7065203117934,87.45599538829765,1899.1625157000888,1811.7010462471164,87.46146945297232,-0.005474064674672263
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.8241686990347612,1978.0048776834292,1851.147819602352,126.85705808107718,1978.0048776834267,1851.138709184622,126.86616849880465,-0.009110417727470121
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.8570196831944854,2056.847239666766,2056.7412362569194,0.10600340984683498,2056.847239666765,2056.734503791245,0.11273587551977471,-0.006732465672939725
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.8898706673542098,2135.6896016501037,2106.10358347527,29.586018174833498,2135.6896016501037,2106.101729025766,29.587872624337706,-0.001854449504207878
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.922721651513934,2214.531963633443,2142.0117252260425,72.52023840740048,2214.5319636334416,2142.005829408944,72.52613422449758,-0.005895817097098188
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.9555726356736582,2293.374325616782,2178.6740445592045,114.70028105757729,2293.37432561678,2178.6663172660305,114.70800835074942,-0.007727293172138161
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,0.9884236198333827,2372.2166876001206,2235.5876806201964,136.62900697992427,2372.2166876001183,2235.5665003133886,136.65018728672976,-0.021180306805490545
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.0212746039931069,2451.0590495834585,2434.490157855133,16.568891728325525,2451.0590495834567,2434.4833346260707,16.575714957386026,-0.006823229060501035
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.054125588152831,2529.9014115667983,2472.391964199858,57.509447366940094,2529.9014115667946,2472.3861153486378,57.51529621815689,-0.005848851216796902
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.0869765723125555,2608.7437735501367,2507.763746874844,100.98002667529272,2608.743773550133,2507.756200310539,100.98757323959398,-0.00754656430126488
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.1198275564722797,2687.586135533475,2552.1767382111457,135.40939732232937,2687.586135533471,2552.156403989263,135.42973154420815,-0.020334221878783865
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.152678540632004,2766.428497516809,2760.658604967633,5.769892549175893,2766.4284975168093,2760.650070124307,5.778427392502181,-0.008534843326287955
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,1.1855295247917284,2845.2708595001477,2802.5190376445544,42.751821855593334,2845.270859500148,2802.515263551118,42.75559594903007,-0.0037740934367320733
