reference_protocol,protocol,Q_net_Ah,t_ref_min,t_protocol_min,Delta_t_Q_min
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4576466777009207,85.75291035213094,85.73710677339032,0.01580357874061633
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4592771549690426,85.84882993782242,85.84397583737415,0.00485410044827006
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4609076322371644,85.94474915349491,85.95288009323532,-0.008130939740411236
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4625381095052863,86.04066834851132,86.06243145074994,-0.021763102238622878
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.464168586773408,86.13658764138586,86.17133891435859,-0.034751272972727065
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.46579906404153,86.23250683153104,86.22005336402168,0.012453467509359939
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4674295413096516,86.32842639979712,86.31535644502323,0.013069954773897052
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4690600185777736,86.42434602323465,86.42231609327446,0.00202992996018736
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4706904958458953,86.52026521615338,86.5317559980943,-0.011490781940921124
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4723209731140172,86.61618510560999,86.64105652390437,-0.024871418294381442
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4739514503821392,86.71210548922069,86.74976164924591,-0.03765616002522165
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4755819276502609,86.80802557810132,86.78825469519991,0.019770882901411824
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4772124049183828,86.90394579130619,86.89215812490447,0.011787666401716024
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4788428821865045,86.9998659514862,87.00220406920806,-0.0023381177218624316
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4804733594546264,87.09578627410275,87.110609837655,-0.014823563552255337
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4821038367227481,87.19170598583518,87.2183956286953,-0.02668964286011999
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.48373431399087,87.2876259539287,87.32756878491904,-0.03994283099034135
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.485364791258992,87.38354591140546,87.36547323659778,0.018072674807683597
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4869952685271137,87.47946612304423,87.4700065279544,0.009459595089836625
0.3C dc.csv,0.3+0.7 0.1tau.csv,1.4886257457952357,87.57538645131869,87.5789467974026,-0.0035603460839013223
