protocol_pair,Q_Ah,dt_raw_s,dt_geom_prescribed_s,dt_resid_prescribed_s,dt_geom_fitted_s,dt_resid_fitted_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,phi_fit_rad,fit_rmse_A
0.3C DC vs 0.3C+0.7C 0.1tau,0.26,3.249277736856129,2.3931156044118325,0.8561621324442967,0.4639016784200294,2.7853760584361,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.27,3.5395842220182203,2.673722829453709,0.8658613925645113,0.40506165809165395,3.1345225639265664,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.28,3.8195814789452243,2.9525963781877635,0.8669851007574607,0.3654874499507059,3.4540940289945183,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.29,4.077249969844274,3.2280196456723615,0.8492303241719128,0.4090758022556429,3.6681741675886315,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.3,4.540457632448124,3.4780076647962233,1.0624499676519008,0.4714071808789413,4.069050451569183,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.31,4.740350447773608,3.739706004572099,1.0006444432015087,0.5431820651733688,4.197168382600239,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.32,4.858080706725104,3.990537045991914,0.8675436607331903,0.6263190954314268,4.231761611293678,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.33,1.0317675821145258,4.226229302554657,-3.194461720440131,0.736303225822212,0.2954643562923138,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.3399999999999999,1.3363856501105147,4.440729426545204,-3.104343776434689,0.8489605352692706,0.48742511484124407,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
0.3C DC vs 0.3C+0.7C 0.1tau,0.35,1.6512883040377346,4.625103348461153,-2.973815044423418,0.961440771555317,0.6898475324824176,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946
