file,path,file_family,size_kb,mtime,n_cols,cols_str,cols_json,has_dt_signed,signed_dt_cols,has_time_pair,time_pair_cols,has_dt_geom,dt_geom_cols,has_dt_resid,dt_resid_cols,has_Q,Q_cols,has_current,current_cols,has_voltage,voltage_cols,protocol_cols,audit_readiness,read_ok,error
day16_step3a_dtQ_curves_long.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day16_step3a_dtQ_curves_long.csv.gz,dtQ_curve_like,129.5,2026-05-03 13:25,14,param_set|chem_tag|condition|pair_role|DC_C|AC_C|tau_label|Q_Ah|t_DC_s|t_protocol_s|dtQ_s|Q_nom_Ah|Q_low_Ah|Q_hi_Ah,"[""param_set"", ""chem_tag"", ""condition"", ""pair_role"", ""DC_C"", ""AC_C"", ""tau_label"", ""Q_Ah"", ""t_DC_s"", ""t_protocol_s"", ""dtQ_s"", ""Q_nom_Ah"", ""Q_low_Ah"", ""Q_hi_Ah""]",True,"[""dtQ_s""]",True,"[""t_DC_s - t_protocol_s""]",False,[],False,[],True,"[""Q_Ah"", ""Q_Ah""]",False,[],False,[],"[""param_set"", ""condition"", ""pair_role"", ""DC_C"", ""AC_C"", ""tau_label"", ""t_protocol_s""]",sign_auditable_from_time_pairs,True,
day17_step1_relaxation_curves_long.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day17_step1_relaxation_curves_long.csv.gz,dtQ_curve_like,146.5,2026-05-04 10:37,4,param_set|chem_tag|t_relax_s|V_V,"[""param_set"", ""chem_tag"", ""t_relax_s"", ""V_V""]",False,[],False,[],False,[],False,[],False,[],False,[],True,"[""V_V""]","[""param_set""]",summary_or_auxiliary_only,True,
day18B_smoke_dtQ_resid_curves_long.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day18B_smoke_dtQ_resid_curves_long.csv.gz,dtQ_curve_like,40.8,2026-05-05 16:12,9,pair_id|param_set|protocol_label|DC_ref_protocol|n_tau|Q_Ah|dt_model_s|dt_geom_s|dt_resid_s,"[""pair_id"", ""param_set"", ""protocol_label"", ""DC_ref_protocol"", ""n_tau"", ""Q_Ah"", ""dt_model_s"", ""dt_geom_s"", ""dt_resid_s""]",True,"[""dt_model_s""]",False,[],True,"[""dt_geom_s""]",True,"[""dt_resid_s""]",True,"[""Q_Ah"", ""Q_Ah""]",False,[],False,[],"[""pair_id"", ""param_set"", ""protocol_label"", ""DC_ref_protocol"", ""n_tau"", ""dt_model_s""]",curve_dt_present_but_sign_needs_external_ground_truth,True,
day18_step2_dt_Q_curves_long_v3.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day18_step2_dt_Q_curves_long_v3.csv.gz,dtQ_curve_like,27.4,2026-05-05 12:50,12,param_set|anchor_label|Q_Ah|Q_frac_nom_added|t_DC_s|t_DCAC_s|dtQ_s|window_full|window_stable_added|protocol_DC|protocol_DCAC|status,"[""param_set"", ""anchor_label"", ""Q_Ah"", ""Q_frac_nom_added"", ""t_DC_s"", ""t_DCAC_s"", ""dtQ_s"", ""window_full"", ""window_stable_added"", ""protocol_DC"", ""protocol_DCAC"", ""status""]",True,"[""dtQ_s""]",True,"[""t_DC_s - t_DCAC_s"", ""t_DC_s - t_DCAC_s""]",False,[],False,[],True,"[""Q_Ah"", ""Q_Ah""]",False,[],False,[],"[""param_set"", ""protocol_DC"", ""protocol_DCAC""]",sign_auditable_from_time_pairs,True,
day18_step2_dt_Q_curves_long_v4_charge_first.csv.gz,/Users/louislu/pybamm-dcac-superimposed/data/day18_step2_dt_Q_curves_long_v4_charge_first.csv.gz,dtQ_curve_like,16.1,2026-05-05 14:37,15,param_set|anchor_label|phase_label|Q_Ah|Q_frac_nom_added|t_DC_s|t_DCAC_s|dtQ_s|dtQ_geom_s|dtQ_resid_s|window_full|window_stable_added|protocol_DC|protocol_DCAC|status,"[""param_set"", ""anchor_label"", ""phase_label"", ""Q_Ah"", ""Q_frac_nom_added"", ""t_DC_s"", ""t_DCAC_s"", ""dtQ_s"", ""dtQ_geom_s"", ""dtQ_resid_s"", ""window_full"", ""window_stable_added"", ""protocol_DC"", ""protocol_DCAC"", ""status""]",True,"[""dtQ_s""]",True,"[""t_DC_s - t_DCAC_s"", ""t_DC_s - t_DCAC_s""]",True,"[""dtQ_geom_s""]",True,"[""dtQ_resid_s""]",True,"[""Q_Ah"", ""Q_Ah""]",False,[],False,[],"[""param_set"", ""protocol_DC"", ""protocol_DCAC""]",sign_auditable_from_time_pairs,True,
results_day13_delta_tQ_curves.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day13_delta_tQ_curves.csv,dtQ_curve_like,1196.4,2026-05-01 11:52,9,condition|ablation|Q_mAh|delta_t_min|t_DC_min|t_DCAC_min|Q_window_lo|Q_window_hi|status,"[""condition"", ""ablation"", ""Q_mAh"", ""delta_t_min"", ""t_DC_min"", ""t_DCAC_min"", ""Q_window_lo"", ""Q_window_hi"", ""status""]",True,"[""delta_t_min""]",True,"[""t_DC_min - t_DCAC_min""]",False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],"[""condition"", ""ablation""]",sign_auditable_from_time_pairs,True,
results_day8_stage2_hppc_chen2020.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day8_stage2_hppc_chen2020.csv,legacy_day8_9_10_result_summary,12.0,2026-04-27 11:37,39,target_soc|pulse_direction|status|tau2_secondary_60s|fit_R2_60s|tau2_biexp|fit_R2_primary|fit_RMSE_primary|tau1_secondary_60s|tau1_primary|tau_tail|tail_R2|tau_FG_eff|R0|R0_CD|R0_EF|Uinf|Uf|wall_clock_s|cell|SOC|mode|primary_window_s|eff_window_s|t95|t99|Uc|Ud|Ue|Ug|I0|Ip|ton_ms|toff_ms|C_ms|D_ms|E_ms|F_ms|G_ms,"[""target_soc"", ""pulse_direction"", ""status"", ""tau2_secondary_60s"", ""fit_R2_60s"", ""tau2_biexp"", ""fit_R2_primary"", ""fit_RMSE_primary"", ""tau1_secondary_60s"", ""tau1_primary"", ""tau_tail"", ""tail_R2"", ""tau_FG_eff"", ""R0"", ""R0_CD"", ""R0_EF"", ""Uinf"", ""Uf"", ""wall_clock_s"", ""cell"", ""SOC"", ""mode"", ""primary_window_s"", ""eff_window_s"", ""t95"", ""t99"", ""Uc"", ""Ud"", ""Ue"", ""Ug"", ""I0"", ""Ip"", ""ton_ms"", ""toff_ms"", ""C_ms"", ""D_ms"", ""E_ms"", ""F_ms"", ""G_ms""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""tau2_secondary_60s"", ""tau2_biexp"", ""tau1_secondary_60s"", ""tau1_primary"", ""tau_tail"", ""tau_FG_eff""]",legacy_summary_needs_json_schema,True,
results_day8_x2_dfn_mj1freq.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day8_x2_dfn_mj1freq.csv,legacy_day8_9_10_result_summary,7.7,2026-04-27 12:17,21,condition|case_id|I_DC_Crate|A_Crate|f_Hz|kappa|status|CC_time_min|CV_time_min|total_time_min|Q_net_final_mAh|T_max_charging_C|pct_AC_reversals|wall_clock_s|CC_time_s|CV_time_s|total_time_s|n_AC_reversals_steps|CC_time_s_partial|T_max_charging_C_partial|V_min_phase2,"[""condition"", ""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""status"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""T_max_charging_C"", ""pct_AC_reversals"", ""wall_clock_s"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""n_AC_reversals_steps"", ""CC_time_s_partial"", ""T_max_charging_C_partial"", ""V_min_phase2""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""case_id"", ""I_DC_Crate"", ""f_Hz""]",legacy_summary_needs_json_schema,True,
results_day8_x2_dfn_mj1freq_v2.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day8_x2_dfn_mj1freq_v2.csv,legacy_day8_9_10_result_summary,8.0,2026-04-27 12:31,22,case_id|I_DC_Crate|A_Crate|f_Hz|kappa|wall_clock_s|CC_time_s|CV_time_s|total_time_s|CC_time_min|CV_time_min|total_time_min|Q_net_final_mAh|T_max_charging_C|n_AC_reversals_steps|pct_AC_reversals|status|condition|tau_label|CC_time_s_partial|T_max_charging_C_partial|V_min_phase2,"[""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""wall_clock_s"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""T_max_charging_C"", ""n_AC_reversals_steps"", ""pct_AC_reversals"", ""status"", ""condition"", ""tau_label"", ""CC_time_s_partial"", ""T_max_charging_C_partial"", ""V_min_phase2""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""case_id"", ""I_DC_Crate"", ""f_Hz"", ""condition"", ""tau_label""]",legacy_summary_needs_json_schema,True,
results_day8_x2_three_way_dt_Q80.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day8_x2_three_way_dt_Q80.csv,legacy_day8_9_10_result_summary,2.7,2026-04-27 12:33,15,condition|DC|AC|f_Hz|kappa|tau_label|dt_x2_DFN_min|dt_v01_SPMe_min|dt_exp_MJ1_min|sign_x2|sign_v01|sign_exp|x2_vs_exp|v01_vs_exp|x2_vs_v01,"[""condition"", ""DC"", ""AC"", ""f_Hz"", ""kappa"", ""tau_label"", ""dt_x2_DFN_min"", ""dt_v01_SPMe_min"", ""dt_exp_MJ1_min"", ""sign_x2"", ""sign_v01"", ""sign_exp"", ""x2_vs_exp"", ""v01_vs_exp"", ""x2_vs_v01""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],"[""condition"", ""f_Hz"", ""tau_label""]",legacy_summary_needs_json_schema,True,
