frequency_policy_id,Q_Ah,delta_t_raw_s,delta_t_geom_s,delta_t_resid_s
seg_tau_fast_k1p5,2.992644606653602,85.79062968370454,85.83182288999888,-0.04119320629433787
seg_tau_fast_k1p5,3.0337129096926256,96.71383502675872,96.76098178907341,-0.04714676231469639
seg_tau_fast_k1p5,3.074781212731649,84.29411246551263,84.34227349140565,-0.04816102589302318
seg_tau_fast_k1p5,3.1158495157706727,93.10115920200678,93.1418719406638,-0.040712738657020964
seg_tau_fast_k1p5,3.156917818809696,90.7496697949855,90.80528016912649,-0.05561037414099701
seg_tau_fast_k1p5,3.1979861218487198,87.0767492287905,87.11695218343903,-0.04020295464852097
seg_tau_fast_k1p5,3.239054424887743,96.58739422958115,96.63622675699207,-0.04883252741092292
seg_tau_fast_k1p5,3.280122727926767,83.96162755957175,84.00794290243448,-0.04631534286272654
seg_tau_fast_k1p5,3.3211910309657906,94.46365455827163,94.50614403643613,-0.042489478164497996
seg_tau_fast_k1p5,3.362259334004814,88.55395744046564,88.60897205641322,-0.05501461594758439
seg_tau_fast_k1p5,3.4033276370438377,88.54793105784847,88.58771876262108,-0.03978770477260696
seg_tau_fast_k1p5,3.444395940082861,95.87610468760431,95.9290556564847,-0.05295096888039552
seg_tau_fast_k1p5,3.4854642431218847,84.17458998097754,84.21636319697427,-0.04177321599672723
seg_tau_fast_k1p5,3.526532546160908,85.99457593478292,86.04093232774176,-0.04635639295884175
seg_tau_fast_k1p5,3.567600849199932,85.99457593477018,86.04093232774176,-0.04635639297157468
seg_tau_fast_k1p5,3.608669152238955,85.99457593477564,86.04093232774358,-0.0463563929679367
seg_tau_fast_k1p5,3.649737455277979,85.99457593478292,86.04093232774358,-0.04635639296066074
seg_tau_fast_k1p5,3.690805758317002,85.99457593477564,86.04093232774176,-0.04635639296611771
seg_tau_fast_k1p5,3.731874061356026,85.99457593477382,86.04093232774358,-0.04635639296975569
seg_tau_fast_k1p5,3.7729423643950497,85.9945759347811,86.04093232774176,-0.04635639296066074
seg_tau_fast_k1p5,3.814010667434073,85.9945759347811,86.04093232774358,-0.04635639296247973
seg_tau_fast_k1p5,3.8550789704730968,85.99457593477746,86.04093232774176,-0.04635639296429872
seg_tau_fast_k1p5,3.89614727351212,85.99457593477382,86.04093232774176,-0.0463563929679367
seg_tau_fast_k1p5,3.937215576551144,85.99457593477018,86.04093232774358,-0.04635639297339367
seg_tau_fast_k1p5,3.978283879590167,85.99457593477018,86.04093232774358,-0.04635639297339367
seg_tau_fast_k1p5,4.0193521826291905,85.99457593476836,86.04093232774176,-0.04635639297339367
seg_tau_fast_k1p5,4.060420485668214,85.99457593476654,86.04093232774176,-0.04635639297521266
seg_tau_fast_k1p5,4.101488788707238,85.99457593476836,86.04093232774358,-0.04635639297521266
seg_tau_fast_k1p5,4.142557091746261,85.99457593478292,86.04093232774358,-0.04635639296066074
seg_tau_fast_k1p5,4.183625394785285,85.99457593477018,86.04093232774358,-0.04635639297339367
seg_tau_fast_k1p5,4.224693697824309,85.9945759347811,86.04093232774358,-0.04635639296247973
seg_tau_fast_k1p5,4.265762000863332,85.99457593478837,86.04093232774358,-0.04635639295520377
seg_tau_slow_k1p5,0.2,152.4785663430976,152.47870597303154,-0.00013962993392624412
seg_tau_slow_k1p5,0.24106830303902357,200.14636614824025,200.1463409258908,2.522234944990487e-05
seg_tau_slow_k1p5,0.28213660607804714,250.15361988996978,250.15362419963049,-4.309660710077878e-06
seg_tau_slow_k1p5,0.32320490911707067,301.91751184626423,301.91748105914917,3.078711506532272e-05
seg_tau_slow_k1p5,0.3642732121560942,354.9863334835269,354.9865072065146,-0.0001737229877107893
seg_tau_slow_k1p5,0.4053415151951178,408.9938671224161,408.9940517803492,-0.0001846579331186149
seg_tau_slow_k1p5,0.44640981823414133,463.627526830447,463.62764696211127,-0.00012013166428914701
seg_tau_slow_k1p5,0.4874781212731649,518.6078529540588,518.6080522375175,-0.0001992834587554171
seg_tau_slow_k1p5,0.5285464243121885,573.6732310198538,573.6735458618695,-0.00031484201565490366
seg_tau_slow_k1p5,0.569614727351212,628.5661792499023,628.5665790245447,-0.0003997746423465287
seg_tau_slow_k1p5,0.6106830303902355,683.02081176836,683.0210987074223,-0.000286939062334568
seg_tau_slow_k1p5,0.6517513334292591,736.7482019414159,736.7485811782195,-0.0003792368036101834
seg_tau_slow_k1p5,0.6928196364682826,789.4204038759889,789.4209224110415,-0.0005185350526062393
seg_tau_slow_k1p5,0.7338879395073061,840.6463197340569,840.646897559066,-0.0005778250091452719
seg_tau_slow_k1p5,0.7749562425463299,889.9368119639894,889.9372686177423,-0.00045665375296266575
seg_tau_slow_k1p5,0.8160245455853534,936.6474253767693,936.6480074342036,-0.0005820574342578766
seg_tau_slow_k1p5,0.857092848624377,979.8821950316594,979.8828463604059,-0.0006513287464713358
seg_tau_slow_k1p5,0.8981611516634005,1018.30405883245,1018.3048972533959,-0.0008384209459109115
seg_tau_slow_k1p5,0.939229454702424,1049.7319818295762,1049.7336045664752,-0.0016227368989802926
