param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,Q_nom_Ah,Q_to_Vmax_protocol_Ah,Q_to_Vmax_DC_ref_Ah,Q_low_Ah,Q_hi_Ah,window_width_Ah,t_charge_DC_ref_s,feasibility_verdict_protocol,feasibility_verdict_DC_ref,low_voltage_class_protocol,low_voltage_class_DC_ref,window_status,n_Q_grid,dtQ_min_s,dtQ_max_s,dtQ_mean_s,dtQ_median_s,dtQ_max_abs_s,n_pos,n_neg,n_zero,dtQ_fraction_positive,A_delta_t_area_sAh,A_delta_t_mean_s,sign_class_abs,sign_class_rel
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,0.15625,0.15630242116957008,0.16035062080073204,0.0078125,0.1531774211695701,0.1453649211695701,18472.39151624433,feasible_clean,feasible_clean,clean,clean,ok,100,-44.93480647007527,0.8408940205440558,-20.316410206010072,-19.585127843707596,44.93480647007527,2,98,0,0.02,-2.9483814066418987,-20.282619650737974,near_zero,near_zero
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,0.15625,0.15710859885556286,0.16035062080073204,0.0078125,0.15398359885556287,0.14617109885556287,18472.39151624433,feasible_clean,feasible_clean,clean,clean,ok,100,-427.77486936712194,-0.3326740140146285,-190.59463908922615,-187.86401427481223,427.77486936712194,0,100,0,0.0,-27.738210891040133,-189.76535791421597,negative_only,negative_only
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,0.15625,0.1523877781344361,0.16035062080073204,0.0078125,0.1492627781344361,0.1414502781344361,18472.39151624433,feasible_clean,feasible_clean,clean,clean,ok,100,-54.01165597919953,-0.11565292681621031,-26.403131336757742,-26.389913488400907,54.01165597919953,0,100,0,0.0,-3.754079456711166,-26.53992276454375,near_zero,near_zero
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,0.15625,0.15030449261701584,0.16035062080073204,0.0078125,0.14717949261701585,0.13936699261701585,18472.39151624433,feasible_clean,feasible_clean,clean,clean,ok,100,-509.8632994701293,-2.4363782660864217,-236.68114179632056,-230.32842309710804,509.8632994701293,0,100,0,0.0,-32.81887357750018,-235.4852677899659,negative_only,negative_only
Marquis2019,Kokam-Marquis LCO/graphite,DC_0p2C,DC_sanity,0.2,0.0,0.0,0.680616,0.8047924625811929,0.8047924625811929,0.0340308,0.7911801425811928,0.7571493425811928,21284.049047423887,feasible_clean,feasible_clean,clean,clean,ok,100,0.0,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,0.0,near_zero,near_zero
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,0.680616,0.7831879164673379,0.8047924625811929,0.0340308,0.7695755964673379,0.7355447964673378,21284.049047423887,feasible_clean,feasible_clean,clean,clean,ok,100,-59.631159887154354,-3.0283697992056204,-32.06019796565434,-31.542249046908182,59.631159887154354,0,100,0,0.0,-23.587138719495265,-32.06757607800256,near_zero,near_zero
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,0.680616,0.7751573580126656,0.8047924625811929,0.0340308,0.7615450380126656,0.7275142380126656,21284.049047423887,feasible_clean,feasible_clean,clean,clean,ok,100,-441.7714195246863,-6.168972112834126,-205.96976320488574,-197.2717510839525,441.7714195246863,0,100,0,0.0,-150.08217841651233,-206.2944896123112,negative_only,negative_only
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,0.680616,0.7684563286769249,0.8047924625811929,0.0340308,0.7548440086769249,0.7208132086769249,21284.049047423887,feasible_clean,feasible_clean,clean,clean,ok,100,-82.50587188356076,-3.061962801103391,-42.546437042608915,-42.2815768079015,82.50587188356076,0,100,0,0.0,-30.795732139411445,-42.723595750885266,negative_only,near_zero
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,0.680616,0.7567268436058963,0.8047924625811929,0.0340308,0.7431145236058962,0.7090837236058962,21284.049047423887,feasible_clean,feasible_clean,clean,clean,ok,100,-528.0109381774673,-5.0204311365655485,-246.6626359308499,-239.35143188192342,528.0109381774673,0,100,0,0.0,-173.8472907747147,-245.17174063825757,negative_only,negative_only
Mohtat2020,graphite/NMC532,DC_0p2C,DC_sanity,0.2,0.0,0.0,5.0,4.600067034976743,4.600067034976743,0.25,4.500067034976744,4.250067034976744,16560.241325916275,feasible_clean,feasible_clean,clean,clean,ok,100,0.0,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,0.0,near_zero,near_zero
