Q_Ah,t_full_s,t_even_s,t_odd_s,dt_even_minus_odd_s,dt_full_minus_even_s,dt_full_minus_odd_s
0.93,3282.7051423769904,3282.7050260859132,3283.7052052417175,-1.0001791558042896,0.00011629107711996767,-1.0000628647271697
0.9400000000000001,3318.002723995226,3318.0026068344187,3319.0027836484396,-1.0001768140209606,0.00011716080734913703,-1.0000596532136115
0.9500000000000001,3353.3004908336447,3353.300438574556,3354.300483774818,-1.0000452002618658,5.225908853390138e-05,-0.9999929411733319
0.9600000000000001,3388.598214527343,3388.5981542199456,3389.598222900946,-1.0000686810003572,6.030739723428269e-05,-1.000008373603123
0.9700000000000001,3423.8960085224294,3423.895943017717,3424.8960141229413,-1.0000711052243787,6.550471243826905e-05,-1.0000056005119404
0.9800000000000001,3459.1937350352196,3459.1936634529284,3460.1937500551544,-1.0000866022260197,7.158229118431336e-05,-1.0000150199348354
0.9900000000000001,3494.49151899151,3494.4914768468216,3495.491508112143,-1.0000312653214678,4.214468845020747e-05,-0.9999891206330176
1.0,3529.78917387494,3529.789133652284,3530.7891547328586,-1.0000210805746974,4.0222656025434844e-05,-0.999980857918672
1.01,3565.086702807491,3565.0866259764985,3566.086718357808,-1.0000923813095142,7.683099238420255e-05,-1.00001555031713
1.02,3600.3841020487293,3600.384031618689,3601.384113710982,-1.000082092293269,7.043004052320612e-05,-1.0000116622527457
1.03,3635.681626931162,3635.6815830499636,3636.68161879302,-1.0000357430562872,4.388119850773364e-05,-0.9999918618577794
1.04,3670.9791858269373,3670.9791295429586,3671.9791738446265,-1.0000443016679128,5.628397866530577e-05,-0.9999880176892475
1.05,3706.276747633721,3706.276719949712,3707.2767092214326,-0.9999892717205512,2.7684008728101617e-05,-0.9999615877118231
1.06,3741.5741882426933,3741.5741683387973,3742.5741485803273,-0.999980241530011,1.9903895918105263e-05,-0.9999603376340929
1.07,3776.8716919028307,3776.871676873562,3777.87164404105,-0.9999671674877391,1.5029268524813233e-05,-0.9999521382192142
1.08,3812.1691740366723,3812.169179172813,3813.1691057875137,-0.9999266147005983,-5.136140771355713e-06,-0.9999317508413696
1.09,3847.466661731527,3847.466676978176,3848.4665890935134,-0.999912115337338,-1.5246649127220735e-05,-0.9999273619864653
1.1,3882.76436989316,3882.764430588996,3883.7642470129385,-0.9998164239423204,-6.0695836054946994e-05,-0.9998771197783753
1.11,3918.062100860232,3918.062155791599,3919.061986656465,-0.9998308648659986,-5.4931366776145296e-05,-0.9998857962327747
1.12,3953.3598272279014,3953.359889871228,3954.359707990122,-0.999818118893927,-6.26433266006643e-05,-0.9998807622205277
