file,path,size_kb,mtime,n_cols,cols_str,cols_json,has_dt_signed,signed_dt_cols,has_time_pair,time_pair_cols,has_dt_geom,dt_geom_cols,has_dt_resid,dt_resid_cols,has_Q,Q_cols,has_current,current_cols,has_voltage,voltage_cols,read_ok,error
results_day11_metric_stability_scan.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day11_metric_stability_scan.csv,5.2,2026-04-29 13:06,16,condition|kappa|tau_label|DC|AC|f_Hz|X5A_Q80|X5A_Q40|X5A_Q90|X5A_range|X5A_stable|pl_Q80|pl_Q40|pl_Q90|pl_range|pl_stable,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""X5A_Q80"", ""X5A_Q40"", ""X5A_Q90"", ""X5A_range"", ""X5A_stable"", ""pl_Q80"", ""pl_Q40"", ""pl_Q90"", ""pl_range"", ""pl_stable""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day11_plating_dt_Q80.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day11_plating_dt_Q80.csv,4.1,2026-04-29 12:48,14,condition|kappa|tau_label|DC|AC|f_Hz|t_Q80_DCAC_min|t_Q80_DC_ref_min|dt_Q80_plating_min|dt_Q80_X5A_min|dt_Q80_exp_min|CC_time_min|plating_loss_mAh|status,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""t_Q80_DCAC_min"", ""t_Q80_DC_ref_min"", ""dt_Q80_plating_min"", ""dt_Q80_X5A_min"", ""dt_Q80_exp_min"", ""CC_time_min"", ""plating_loss_mAh"", ""status""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day12_OCP_ablations.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day12_OCP_ablations.csv,19.2,2026-04-30 10:55,21,condition|kappa|tau_label|DC|AC|f_Hz|ablation|A_dt|avg_dt|Q_window_lo|Q_window_hi|Q_CC_min_ablation|window_exceeds_ablation_CC|n_valid_points|x_n_Q20|x_n_Q80_if_in_CC|Q80_in_CC|x_n_CC_end|sign|sign_baseline|flipped_vs_baseline,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_min_ablation"", ""window_exceeds_ablation_CC"", ""n_valid_points"", ""x_n_Q20"", ""x_n_Q80_if_in_CC"", ""Q80_in_CC"", ""x_n_CC_end"", ""sign"", ""sign_baseline"", ""flipped_vs_baseline""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day12_step0_A_dt_CC_only.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day12_step0_A_dt_CC_only.csv,4.4,2026-04-30 09:53,17,condition|kappa|tau_label|DC|AC|f_Hz|Q_CC_min_mAh|Q_window_lo|Q_window_hi|avg_dt_OLD_Day11|avg_dt_CC_only_NEW|A_dt_CC_only_NEW|n_cross|range_dt|sign_OLD|sign_NEW|sign_changed,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""Q_CC_min_mAh"", ""Q_window_lo"", ""Q_window_hi"", ""avg_dt_OLD_Day11"", ""avg_dt_CC_only_NEW"", ""A_dt_CC_only_NEW"", ""n_cross"", ""range_dt"", ""sign_OLD"", ""sign_NEW"", ""sign_changed""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day13_BranchC_v2_AsymmetricBV.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day13_BranchC_v2_AsymmetricBV.csv,17.2,2026-05-01 11:21,21,condition|kappa|tau_label|DC|AC|f_Hz|ablation|alpha|A_dt|avg_dt|Q_window_lo|Q_window_hi_strict|Q_CC_end_mAh|window_margin_to_CC|x_n_Q20|x_p_Q20|x_n_CC_end|x_p_CC_end|sign|status|infeasible_reason,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""alpha"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi_strict"", ""Q_CC_end_mAh"", ""window_margin_to_CC"", ""x_n_Q20"", ""x_p_Q20"", ""x_n_CC_end"", ""x_p_CC_end"", ""sign"", ""status"", ""infeasible_reason""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day13_PE_transport_kinetics_ablations.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day13_PE_transport_kinetics_ablations.csv,45.8,2026-05-01 12:02,30,condition|kappa|tau_label|DC|AC|f_Hz|ablation|A_dt|avg_dt|Q_window_lo|Q_window_hi|Q_CC_end_mAh|window_margin_to_CC|x_n_Q20|x_p_Q20|x_n_CC_end|x_p_CC_end|sign|dtQ_min|dtQ_max|dtQ_range|dtQ_n_cross|dtQ_fraction_positive|dtQ_mean_early|dtQ_mean_mid|dtQ_mean_late|status|infeasible_reason|trajectory_class|trajectory_class_robust,"[""condition"", ""kappa"", ""tau_label"", ""DC"", ""AC"", ""f_Hz"", ""ablation"", ""A_dt"", ""avg_dt"", ""Q_window_lo"", ""Q_window_hi"", ""Q_CC_end_mAh"", ""window_margin_to_CC"", ""x_n_Q20"", ""x_p_Q20"", ""x_n_CC_end"", ""x_p_CC_end"", ""sign"", ""dtQ_min"", ""dtQ_max"", ""dtQ_range"", ""dtQ_n_cross"", ""dtQ_fraction_positive"", ""dtQ_mean_early"", ""dtQ_mean_mid"", ""dtQ_mean_late"", ""status"", ""infeasible_reason"", ""trajectory_class"", ""trajectory_class_robust""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day13_delta_tQ_curves.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day13_delta_tQ_curves.csv,1196.4,2026-05-01 11:52,9,condition|ablation|Q_mAh|delta_t_min|t_DC_min|t_DCAC_min|Q_window_lo|Q_window_hi|status,"[""condition"", ""ablation"", ""Q_mAh"", ""delta_t_min"", ""t_DC_min"", ""t_DCAC_min"", ""Q_window_lo"", ""Q_window_hi"", ""status""]",True,"[""delta_t_min""]",False,[],False,[],False,[],True,"[""Q_mAh""]",False,[],False,[],True,
results_day6_summary.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day6_summary.csv,3.4,2026-04-25 13:04,16,condition|I_DC_C|A_C|f_Hz|kappa|sim_CC_min|sim_CV_min|sim_total_min|sim_T_max_C|sim_Q_mAh|exp_T_max_C|exp_Δt_Q80|exp_total_min|AC_rev_pct|wall_s|status,"[""condition"", ""I_DC_C"", ""A_C"", ""f_Hz"", ""kappa"", ""sim_CC_min"", ""sim_CV_min"", ""sim_total_min"", ""sim_T_max_C"", ""sim_Q_mAh"", ""exp_T_max_C"", ""exp_Δt_Q80"", ""exp_total_min"", ""AC_rev_pct"", ""wall_s"", ""status""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day8_stage2_hppc_chen2020.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day8_stage2_hppc_chen2020.csv,12.0,2026-04-27 11:37,39,target_soc|pulse_direction|status|tau2_secondary_60s|fit_R2_60s|tau2_biexp|fit_R2_primary|fit_RMSE_primary|tau1_secondary_60s|tau1_primary|tau_tail|tail_R2|tau_FG_eff|R0|R0_CD|R0_EF|Uinf|Uf|wall_clock_s|cell|SOC|mode|primary_window_s|eff_window_s|t95|t99|Uc|Ud|Ue|Ug|I0|Ip|ton_ms|toff_ms|C_ms|D_ms|E_ms|F_ms|G_ms,"[""target_soc"", ""pulse_direction"", ""status"", ""tau2_secondary_60s"", ""fit_R2_60s"", ""tau2_biexp"", ""fit_R2_primary"", ""fit_RMSE_primary"", ""tau1_secondary_60s"", ""tau1_primary"", ""tau_tail"", ""tail_R2"", ""tau_FG_eff"", ""R0"", ""R0_CD"", ""R0_EF"", ""Uinf"", ""Uf"", ""wall_clock_s"", ""cell"", ""SOC"", ""mode"", ""primary_window_s"", ""eff_window_s"", ""t95"", ""t99"", ""Uc"", ""Ud"", ""Ue"", ""Ug"", ""I0"", ""Ip"", ""ton_ms"", ""toff_ms"", ""C_ms"", ""D_ms"", ""E_ms"", ""F_ms"", ""G_ms""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
results_day8_x2_dfn_mj1freq.csv,/Users/louislu/pybamm-dcac-superimposed/data/results_day8_x2_dfn_mj1freq.csv,7.7,2026-04-27 12:17,21,condition|case_id|I_DC_Crate|A_Crate|f_Hz|kappa|status|CC_time_min|CV_time_min|total_time_min|Q_net_final_mAh|T_max_charging_C|pct_AC_reversals|wall_clock_s|CC_time_s|CV_time_s|total_time_s|n_AC_reversals_steps|CC_time_s_partial|T_max_charging_C_partial|V_min_phase2,"[""condition"", ""case_id"", ""I_DC_Crate"", ""A_Crate"", ""f_Hz"", ""kappa"", ""status"", ""CC_time_min"", ""CV_time_min"", ""total_time_min"", ""Q_net_final_mAh"", ""T_max_charging_C"", ""pct_AC_reversals"", ""wall_clock_s"", ""CC_time_s"", ""CV_time_s"", ""total_time_s"", ""n_AC_reversals_steps"", ""CC_time_s_partial"", ""T_max_charging_C_partial"", ""V_min_phase2""]",False,[],False,[],False,[],False,[],False,[],False,[],False,[],True,
