branch_id,search_term,variable_key
baseline_false,overpotential,X-averaged electrolyte overpotential [V]
baseline_false,overpotential,X-averaged negative electrode SEI film overpotential [V]
baseline_false,overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
baseline_false,overpotential,X-averaged negative electrode reaction overpotential [V]
baseline_false,overpotential,X-averaged positive electrode SEI film overpotential [V]
baseline_false,overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
baseline_false,overpotential,X-averaged positive electrode reaction overpotential [V]
baseline_false,overpotential,X-averaged reaction overpotential [V]
double_layer_differential,plating,Loss of capacity to negative lithium plating [A.h]
double_layer_differential,plating,Loss of capacity to positive lithium plating [A.h]
double_layer_differential,plating,Loss of lithium to negative lithium plating [mol]
double_layer_differential,plating,Loss of lithium to positive lithium plating [mol]
double_layer_differential,plating,Negative electrode lithium plating interfacial current density [A.m-2]
double_layer_differential,plating,Negative electrode lithium plating reaction overpotential [V]
double_layer_differential,plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
double_layer_differential,plating,Negative lithium plating concentration [mol.m-3]
double_layer_differential,plating,Negative lithium plating thickness [m]
double_layer_differential,plating,Positive electrode lithium plating interfacial current density [A.m-2]
double_layer_differential,plating,Positive electrode lithium plating reaction overpotential [V]
double_layer_differential,plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
double_layer_differential,plating,Positive lithium plating concentration [mol.m-3]
double_layer_differential,plating,Positive lithium plating thickness [m]
double_layer_differential,plating,Volume-averaged negative lithium plating concentration [mol.m-3]
double_layer_differential,plating,Volume-averaged negative lithium plating thickness [m]
double_layer_differential,plating,Volume-averaged positive lithium plating concentration [mol.m-3]
double_layer_differential,plating,Volume-averaged positive lithium plating thickness [m]
double_layer_differential,plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
double_layer_differential,plating,X-averaged negative electrode lithium plating reaction overpotential [V]
double_layer_differential,plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
double_layer_differential,plating,X-averaged negative lithium plating concentration [mol.m-3]
double_layer_differential,plating,X-averaged negative lithium plating thickness [m]
double_layer_differential,plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
double_layer_differential,plating,X-averaged positive electrode lithium plating reaction overpotential [V]
double_layer_differential,plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
double_layer_differential,plating,X-averaged positive lithium plating concentration [mol.m-3]
double_layer_differential,plating,X-averaged positive lithium plating thickness [m]
double_layer_differential,sei,Loss of capacity to negative SEI [A.h]
double_layer_differential,sei,Loss of capacity to negative SEI on cracks [A.h]
double_layer_differential,sei,Loss of capacity to positive SEI [A.h]
