path,name,suffix,size_kb,read_ok,n_rows,n_cols,columns,freq_like_cols,tau_like_cols,protocol_like_cols,param_like_cols,error
data/day18_step0b_descriptor_decision.json,day18_step0b_descriptor_decision.json,.json,3.54,True,1.0,13.0,"[""tau_FG_eff_verdict"", ""tau_FG_eff_rejection_reasons"", ""candidates"", ""thresholds"", ""within_family_consistency"", ""cross_family_consistency"", ""t99_role_classification"", ""t99_t95_spread_max_min"", ""t99_t95_median_ratio"", ""frequency_collisions"", ""outlier_structure"", ""outlier_structure_role"", ""route_decision""]","[""frequency_collisions""]","[""tau_FG_eff_verdict"", ""tau_FG_eff_rejection_reasons""]",[],[],
data/day18_step0b_descriptor_decision_v3.json,day18_step0b_descriptor_decision_v3.json,.json,5.13,True,1.0,23.0,"[""version"", ""supersedes"", ""conversion_factors"", ""tau_FG_eff_verdict"", ""tau_FG_eff_rejection_reasons"", ""candidates"", ""thresholds"", ""within_family_consistency"", ""cross_family_consistency"", ""tau99_role_classification"", ""tau99_tau95_spread_max_min"", ""tau99_tau95_median_ratio"", ""frequency_collisions"", ""outlier_structure"", ""outlier_structure_role"", ""route_decision"", ""execution_mode"", ""main_descriptor"", ""sensitivity_descriptor"", ""bi_exp_audit_descriptor"", ""rejected_descriptor"", ""rationale"", ""physical_findings""]","[""frequency_collisions""]","[""tau_FG_eff_verdict"", ""tau_FG_eff_rejection_reasons"", ""tau99_role_classification"", ""tau99_tau95_spread_max_min"", ""tau99_tau95_median_ratio""]",[],[],
data/day18_step0b_descriptor_eligibility.csv,day18_step0b_descriptor_eligibility.csv,.csv,0.83,True,1.0,11.0,"[""descriptor"", ""family"", ""rejected"", ""unique"", ""tie_fraction"", ""tau_min_s"", ""tau_max_s"", ""tau_max_min"", ""f_ratio_min"", ""f_ratio_max"", ""f_ratio_span""]",[],"[""tau_min_s"", ""tau_max_s"", ""tau_max_min""]",[],[],
data/day18_step0b_descriptor_eligibility_v3.csv,day18_step0b_descriptor_eligibility_v3.csv,.csv,0.95,True,1.0,11.0,"[""descriptor"", ""family"", ""rejected"", ""unique"", ""tie_fraction"", ""tau_min_s"", ""tau_max_s"", ""tau_max_min"", ""f_ratio_min"", ""f_ratio_max"", ""f_ratio_span""]",[],"[""tau_min_s"", ""tau_max_s"", ""tau_max_min""]",[],[],
data/day18_step0c_frequency_design_audit_tau2biexp.csv,day18_step0c_frequency_design_audit_tau2biexp.csv,.csv,2.26,True,1.0,14.0,"[""param_set"", ""chem_tag"", ""tau_descriptor"", ""tau2_biexp_s"", ""ratio_native_over_label"", ""f_label_0p1tau_Hz"", ""f_native_0p1tau_Hz"", ""T_native_0p1tau_s"", ""f_label_1tau_Hz"", ""f_native_1tau_Hz"", ""T_native_1tau_s"", ""f_label_10tau_Hz"", ""f_native_10tau_Hz"", ""T_native_10tau_s""]",[],"[""tau_descriptor"", ""tau2_biexp_s"", ""f_label_0p1tau_Hz"", ""f_native_0p1tau_Hz"", ""T_native_0p1tau_s"", ""f_label_1tau_Hz"", ""f_native_1tau_Hz"", ""T_native_1tau_s"", ""f_label_10tau_Hz"", ""f_native_10tau_Hz"", ""T_native_10tau_s""]","[""ratio_native_over_label"", ""f_label_0p1tau_Hz"", ""f_label_1tau_Hz"", ""f_label_10tau_Hz""]","[""param_set"", ""chem_tag""]",
data/day18_step0c_frequency_design_main_vs_audit_compare.csv,day18_step0c_frequency_design_main_vs_audit_compare.csv,.csv,1.07,True,1.0,7.0,"[""param_set"", ""chem_tag"", ""tau95_eq_s"", ""tau2_biexp_s"", ""f_main_over_f_audit"", ""ratio_main_over_label"", ""ratio_audit_over_label""]",[],"[""tau95_eq_s"", ""tau2_biexp_s""]","[""ratio_main_over_label"", ""ratio_audit_over_label""]","[""param_set"", ""chem_tag""]",
data/day18_step0c_frequency_design_route2_tau95eq.csv,day18_step0c_frequency_design_route2_tau95eq.csv,.csv,2.24,True,1.0,14.0,"[""param_set"", ""chem_tag"", ""tau_descriptor"", ""tau95_eq_s"", ""ratio_native_over_label"", ""f_label_0p1tau_Hz"", ""f_native_0p1tau_Hz"", ""T_native_0p1tau_s"", ""f_label_1tau_Hz"", ""f_native_1tau_Hz"", ""T_native_1tau_s"", ""f_label_10tau_Hz"", ""f_native_10tau_Hz"", ""T_native_10tau_s""]",[],"[""tau_descriptor"", ""tau95_eq_s"", ""f_label_0p1tau_Hz"", ""f_native_0p1tau_Hz"", ""T_native_0p1tau_s"", ""f_label_1tau_Hz"", ""f_native_1tau_Hz"", ""T_native_1tau_s"", ""f_label_10tau_Hz"", ""f_native_10tau_Hz"", ""T_native_10tau_s""]","[""ratio_native_over_label"", ""f_label_0p1tau_Hz"", ""f_label_1tau_Hz"", ""f_label_10tau_Hz""]","[""param_set"", ""chem_tag""]",
data/day18_step1_anchor_feasibility_matrix.csv,day18_step1_anchor_feasibility_matrix.csv,.csv,5.32,True,1.0,26.0,"[""param_set"", ""protocol"", ""tau95_eq_s"", ""f_anchor_Hz"", ""T_anchor_s"", ""Q_nom_Ah"", ""V_min_cutoff"", ""V_max_cutoff"", ""I_dc_A"", ""I_ac_A"", ""termination"", ""termination_class"", ""feasibility_verdict"", ""t_end_s"", ""t_max_s"", ""V_init_charge"", ""V_min_obs"", ""V_max_obs"", ""V_below_Vmin_fraction"", ""V_above_Vmax_fraction"", ""Q_net_end_Ah"", ""t_to_Vmax_s"", ""Q_to_Vmax_Ah"", ""n_t_eval"", ""dt_eval_s"", ""wall_s""]",[],"[""tau95_eq_s""]","[""protocol"", ""f_anchor_Hz"", ""T_anchor_s""]","[""param_set""]",
data/day18_step1_anchor_feasibility_matrix_v3.csv,day18_step1_anchor_feasibility_matrix_v3.csv,.csv,6.37,True,1.0,31.0,"[""param_set"", ""protocol"", ""tau95_eq_s"", ""f_anchor_Hz"", ""T_anchor_s"", ""Q_nom_Ah"", ""V_min_cutoff"", ""V_max_cutoff"", ""V_init_charge"", ""V_headroom_init_V"", ""I_dc_A"", ""I_ac_A"", ""I_charge_peak_C"", ""I_discharge_peak_C"", ""lobe_duration_s_pred"", ""lobe_Qfrac_pred"", ""termination"", ""termination_class"", ""feasibility_verdict"", ""t_end_s"", ""t_max_s"", ""V_min_obs"", ""V_max_obs"", ""V_below_Vmin_fraction"", ""V_above_Vmax_fraction"", ""Q_net_end_Ah"", ""t_to_Vmax_s"", ""Q_to_Vmax_Ah"", ""n_t_eval"", ""dt_eval_s"", ""wall_s""]",[],"[""tau95_eq_s""]","[""protocol"", ""f_anchor_Hz"", ""T_anchor_s""]","[""param_set""]",
data/day18_step1_anchor_trajectories.npz,day18_step1_anchor_trajectories.npz,.npz,2052.66,False,,,,,,,,
