case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,soc_init,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,batch,tau_Chen_s,f_Hz_v01,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
DC0.30C+AC0.70C_f0.00067Hz_X5,0.3,0.7,0.0006660931598825011,2.3333333333333335,0.6648480892181396,0.01688,2.909542074950979,9985.835108494035,4584.689962970224,14570.525071464259,166.43058514156726,76.41149938283706,242.84208452440433,5044.188814770665,27.806555163470534,151.0,26.964285714285715,ok,0.3+0.7C 10τ,10τ,X5-B,23.83,0.00143,,,
DC0.30C+AC0.40C_f0.06661Hz_X5,0.3,0.4,0.0666093159882501,1.3333333333333335,7.446109056472778,0.01688,2.9095420749510748,9994.87239263156,4142.768497940524,14137.640890572084,166.58120654385934,69.04614163234207,235.6273481762014,5040.844217720517,23.505573443843502,5025.0,25.13253976192858,ok,0.3+0.4C 0.1τ,0.1τ,X5-B,23.83,0.143,,,
DC0.30C+AC0.40C_f0.00666Hz_X5,0.3,0.4,0.0066609315988250106,1.3333333333333335,1.046386957168579,0.01688,2.909542074950979,9866.298054355377,4232.208755331521,14098.506809686898,164.43830090592294,70.5368125888587,234.97511349478162,5042.628641045828,23.716033696373188,581.0,24.32998324958124,ok,0.3+0.4C 1τ,1τ,X5-B,23.83,0.0143,,,
DC0.30C+AC0.40C_f0.00067Hz_X5,0.3,0.4,0.0006660931598825011,1.3333333333333335,0.606370210647583,0.01688,2.909542074950979,10026.065142592557,4379.497859568704,14405.563002161261,167.10108570987595,72.99163099281174,240.09271670268768,5044.974384307877,24.394855699295704,73.0,17.59036144578313,ok,0.3+0.4C 10τ,10τ,X5-B,23.83,0.00143,,,
DC0.40C+AC0.60C_f0.01332Hz_X5,0.4,0.6,0.013321863197650021,1.4999999999999998,1.6932849884033203,0.01688,2.9274898704868617,6961.035611190536,4504.91719053272,11465.952801723255,116.01726018650893,75.08195317554534,191.09921336205426,5040.513483750052,25.514467036691542,1099.0,28.717010713352494,ok,0.4+0.6C 0.5τ,0.5τ,X5-B,23.83,0.0286,,,
DC0.40C+AC0.50C_f0.00401Hz_X5,0.4,0.5,0.004005874947545111,1.25,0.7948448657989502,0.01688,2.9274898704868617,6922.609038976393,4560.945628333762,11483.554667310156,115.37681731627322,76.01576047222937,191.3925777885026,5043.677666722244,25.374568347410275,250.0,20.990764063811923,ok,0.4+0.5C 1.67τ,1.67τ,X5-B,23.83,0.0086,,,
DC0.40C+AC0.60C_f0.00401Hz_X5,0.4,0.6,0.004005874947545111,1.4999999999999998,0.8426029682159424,0.01688,2.9274898704868617,6914.412943115328,4577.134208364609,11491.547151479936,115.2402157185888,76.28557013941014,191.52578585799893,5041.885208553652,25.817107279913728,368.0,27.27946627131208,ok,0.4+0.6C 1.67τ,1.67τ,X5-B,23.83,0.0086,,,
DC0.40C+AC0.60C_f0.00133Hz_X5,0.4,0.6,0.0013321863197650022,1.4999999999999998,0.6620628833770752,0.01688,2.9274898704868617,7231.648710630336,4530.098421970805,11761.74713260114,120.52747851050559,75.50164036618008,196.02911887668566,5041.070482032762,26.521138251453806,159.0,25.278219395866454,ok,0.4+0.6C 5τ,5τ,X5-B,23.83,0.00286,,,
DC0.40C+AC0.60C_f0.00067Hz_X5,0.4,0.6,0.0006660931598825011,1.4999999999999998,0.6263818740844727,0.01688,2.9274898704868617,7043.845913974569,4726.94688716497,11770.792801139538,117.39743189957615,78.78244811941616,196.1798800189923,5043.6357797372275,27.734796794307215,73.0,18.622448979591837,ok,0.4+0.6C 10τ,10τ,X5-B,23.83,0.00143,,,
DC0.50C+AC0.50C_f0.00666Hz_X5,0.5,0.5,0.0066609315988250106,1.0,1.0028729438781738,0.01688,2.942718841733334,5371.269794449226,4660.530507883323,10031.800302332547,89.52116324082043,77.67550846472204,167.19667170554246,5041.671594762683,26.433115480404126,0.0,0.0,ok,0.5+0.5C 1τ,1τ,X5-B,23.83,0.0143,,,
DC0.90C+AC0.10C_f0.00040Hz_X5,0.9,0.1,0.0004005874947545111,0.11111111111111112,0.5746099948883057,0.01688,2.9893912111993135,3033.3482825636675,4670.1750988744225,7703.52338143809,50.55580470939446,77.83625164790705,128.3920563573015,5040.592166616845,32.08958970919235,0.0,0.0,ok,0.9+0.1C 16.7τ,16.7τ,X5-B,23.83,0.00086,,,
DC0.90C+AC0.10C_f0.00401Hz_X5,0.9,0.1,0.004005874947545111,0.11111111111111112,0.5879478454589844,0.01688,2.9893912111993135,2895.56370260622,4790.607809652957,7686.171512259178,48.259395043437,79.84346349421595,128.10285853765296,5040.444657600529,31.514857155419065,0.0,0.0,ok,0.9+0.1C 1.67τ,1.67τ,X5-B,23.83,0.0086,,,
DC0.90C+AC0.10C_f0.00067Hz_X5,0.9,0.1,0.0006660931598825011,0.11111111111111112,0.5776550769805908,0.01688,2.9893912111993135,2861.171518889999,4818.490354990134,7679.661873880133,47.68619198149998,80.3081725831689,127.99436456466887,5040.255987416829,32.126209786956224,0.0,0.0,ok,0.9+0.1C 10τ,10τ,X5-B,23.83,0.00143,,,
DC0.90C+AC0.10C_f0.00666Hz_X5,0.9,0.1,0.0066609315988250106,0.11111111111111112,0.593703031539917,0.01688,2.9893912111993135,2928.717564905953,4747.194255789541,7675.911820695494,48.81195941509922,79.11990426315901,127.93186367825822,5040.077349021416,31.522788584085333,0.0,0.0,ok,0.9+0.1C 1τ,1τ,X5-B,23.83,0.0143,,,
DC0.10C_baseline_X5,0.1,0.0,0.0,0.0,0.6735968589782715,0.01688,2.858232535861652,35416.949483674696,2104.510115968762,37521.45959964346,590.2824913945783,35.07516859947937,625.3576599940576,5041.8949628575865,20.290010610080515,0.0,0.0,ok,0.1C_DC,baseline,X5-B,23.83,0.0,,,
DC0.20C_baseline_X5,0.2,0.0,0.0,0.0,0.585291862487793,0.01688,2.887334853445421,17208.62972307305,2874.4032966914638,20083.033019764513,286.8104953845508,47.9067216115244,334.7172169960752,5042.061917887016,20.969630837050488,0.0,0.0,ok,0.2C_DC,baseline,X5-B,23.83,0.0,,,
DC0.30C_baseline_X5,0.3,0.0,0.0,0.0,0.5751621723175049,0.01688,2.909542074950979,11142.994339001541,3315.197361359891,14458.191700361433,185.71657231669235,55.253289355998184,240.96986167269054,5042.078801669027,21.89969172383934,0.0,0.0,ok,0.3C_DC,baseline,X5-B,23.83,0.0,,,
DC0.40C_baseline_X5,0.4,0.0,0.0,0.0,0.5812439918518066,0.01688,2.9274898704868617,8093.853692969765,3645.306122597338,11739.159815567102,134.8975615494961,60.755102043288964,195.65266359278502,5041.417110133871,23.084300170606127,0.0,0.0,ok,0.4C_DC,baseline,X5-B,23.83,0.0,,,
DC0.50C_baseline_X5,0.5,0.0,0.0,0.0,0.5765380859375,0.01688,2.942718841733603,6210.848915398916,3961.48610906657,10172.335024465487,103.51414858998193,66.02476848444283,169.53891707442477,5041.348511612736,24.44339767492704,0.0,0.0,ok,0.5C_DC,baseline,X5-B,23.83,0.0,,,
DC0.90C_baseline_X5,0.9,0.0,0.0,0.0,0.6548953056335449,0.01688,2.989391211199341,2909.2110749360772,4763.466110029649,7672.677184965726,48.48685124893462,79.39110183382748,127.8779530827621,5040.046764765922,31.446101341096607,0.0,0.0,ok,0.9C_DC,baseline,X5-B,23.83,0.0,,,
DC0.20C+AC0.80C_f0.00067Hz_X5,0.2,0.8,0.0006660931598825011,4.0,0.44571685791015625,0.01688,,,,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,0.2+0.8C 10τ,10τ,X5-B,23.83,0.00143,353.6268553547145,21.61350521682192,1.4999999999999603
