case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch
DC0.30C+AC0.70C_f0.00143Hz_X5beta,0.3,0.7,0.00143,2.3333333333333335,1.2398250102996826,2.512422948941947,2.6757446711793644,9145.73120111846,4589.486813232714,13735.218014351174,152.42885335197434,76.4914468872119,228.92030023918625,5125.314092726659,ok,0.3+0.7C 10τ,10τ,X5beta
DC0.30C+AC0.40C_f0.14300Hz_X5beta,0.3,0.4,0.143,1.3333333333333335,26.302533864974976,2.512422948941947,2.618432761826707,10208.05703005869,4137.02766892402,14345.08469898271,170.1342838343115,68.95046114873367,239.08474498304517,5127.876286127231,ok,0.3+0.4C 0.1τ,0.1τ,X5beta
DC0.30C+AC0.40C_f0.01430Hz_X5beta,0.3,0.4,0.0143,1.3333333333333335,3.1451950073242188,2.512422948941947,2.543697676133749,10115.055856659475,4193.747187765326,14308.803044424802,168.58426427765792,69.89578646275544,238.48005074041336,5126.242039855907,ok,0.3+0.4C 1τ,1τ,X5beta
DC0.30C+AC0.40C_f0.00143Hz_X5beta,0.3,0.4,0.00143,1.3333333333333335,1.496859073638916,2.512422948941947,2.652479859957799,9838.209252941428,4316.410217430213,14154.619470371641,163.97015421569046,71.94017029050356,235.91032450619403,5127.290267030443,ok,0.3+0.4C 10τ,10τ,X5beta
DC0.40C+AC0.60C_f0.02860Hz_X5beta,0.4,0.6,0.0286,1.4999999999999998,4.969157934188843,2.512422948941947,2.4460275256976,7151.559259256477,4473.022302611966,11624.581561868443,119.19265432094129,74.55037171019943,193.74302603114072,5123.430142519449,ok,0.4+0.6C 0.5τ,0.5τ,X5beta
DC0.40C+AC0.50C_f0.00860Hz_X5beta,0.4,0.5,0.0086,1.25,2.0052311420440674,2.512422948941947,2.686951563845928,7089.50261700249,4519.100870945338,11608.603487947828,118.1583769500415,75.31834784908897,193.47672479913047,5125.535283645751,ok,0.4+0.5C 1.67τ,1.67τ,X5beta
DC0.40C+AC0.60C_f0.00860Hz_X5beta,0.4,0.6,0.0086,1.4999999999999998,2.311073064804077,2.512422948941947,2.6959528232929406,7081.106849080412,4527.466733608506,11608.573582688918,118.01844748467353,75.4577788934751,193.47622637814862,5124.412341941008,ok,0.4+0.6C 1.67τ,1.67τ,X5beta
DC0.40C+AC0.60C_f0.00286Hz_X5beta,0.4,0.6,0.00286,1.4999999999999998,1.3514299392700195,2.512422948941947,2.4397458865987813,6827.678383092438,4668.497580356563,11496.175963449,113.79463971820729,77.80829300594272,191.60293272415,5124.6501821463235,ok,0.4+0.6C 5τ,5τ,X5beta
DC0.40C+AC0.60C_f0.00143Hz_X5beta,0.4,0.6,0.00143,1.4999999999999998,1.2734062671661377,2.512422948941947,2.6797337405424706,7016.808245094404,4552.689947012977,11569.498192107381,116.94680408490673,75.87816578354962,192.82496986845635,5126.4220013477925,ok,0.4+0.6C 10τ,10τ,X5beta
DC0.50C+AC0.50C_f0.01430Hz_X5beta,0.5,0.5,0.0143,1.0,2.175173759460449,2.512422948941947,2.590607721171692,5570.737548377239,4599.346483056985,10170.084031434224,92.84562580628732,76.65577471761641,169.50140052390373,5124.748894342127,ok,0.5+0.5C 1τ,1τ,X5beta
