protocol_id,Q_Ah,t_false_s,t_differential_s,delta_t_differential_minus_false_s,neg_avg_sto_false,neg_avg_sto_differential,delta_neg_avg_sto_diff_minus_false,neg_surface_sto_xavg_false,neg_surface_sto_xavg_differential,delta_neg_surface_sto_xavg_diff_minus_false,neg_surface_sto_range_false,neg_surface_sto_range_differential,delta_neg_surface_sto_range_diff_minus_false,pos_avg_sto_false,pos_avg_sto_differential,delta_pos_avg_sto_diff_minus_false,U_NE_min_mV_false,U_NE_min_mV_differential,delta_U_NE_min_mV_diff_minus_false,eta_n_V_false,eta_n_V_differential,delta_eta_n_V_diff_minus_false,c_e_range_molm3_false,c_e_range_molm3_differential,delta_c_e_range_molm3_diff_minus_false
fixed_AC0p38,0.8738195756708322,2085.6257838323495,2085.624676793665,-0.0011070386844949098,0.2204748069130774,0.22046093320179347,-1.3873711283918233e-05,0.2262669401815648,0.2262504871723928,-1.6453009171996102e-05,0.030918134122730388,0.030910577355019193,-7.556767711195539e-06,0.724420401044093,0.7244236538445143,3.2528004213494555e-06,134.37503981774006,134.40206967858066,0.02702986084059944,-0.05987238734711959,-0.05985724873416248,1.5138612957106556e-05,380.0315732477135,380.082195475249,0.05062222753554124
fixed_AC0p38,0.9092837638640339,2127.734457992687,2127.733128553476,-0.001329439211076533,0.22656576835994605,0.2265456775218868,-2.0090838059233507e-05,0.23561809142082202,0.23559765378442749,-2.0437636394532444e-05,0.03491857033669531,0.034908235159293775,-1.033517740153811e-05,0.7203555265635175,0.7203627544875707,7.227924053165857e-06,110.21139752240364,110.232472175158,0.02107465275435061,-0.07373726169313269,-0.07372860320894979,8.65848418289683e-06,622.5990925518289,623.0838439704942,0.48475141866526883
fixed_AC0p38,0.9447479520572355,2165.9247004561034,2165.923405631482,-0.00129482462125452,0.2326512288695492,0.2326310999680363,-2.0128901512900255e-05,0.24267245228344864,0.2426521883810639,-2.026390238474285e-05,0.03793722636543026,0.03792769194781513,-9.534417615128521e-06,0.7162943231978715,0.7163016593592616,7.336161390147922e-06,107.66054060557131,107.67924460333187,0.018703997760553648,-0.07168568166182353,-0.07168072790148654,4.953760336989799e-06,709.8291608625009,710.3216986371212,0.4925377746203594
fixed_AC0p38,0.9802121402504371,2215.5280121736155,2215.5230102384958,-0.005001935119707923,0.23873598137119204,0.23871644920683607,-1.9532164355962056e-05,0.24651852063155952,0.24650036401806774,-1.8156613491776552e-05,0.03791952755507229,0.03791228211840427,-7.245436668017191e-06,0.7122335923296332,0.7122409862129008,7.3938832675368715e-06,135.84427147816507,135.84214765323168,-0.0021238249333919157,-0.047003927928209975,-0.047014025943982414,-1.0098015772438962e-05,576.3343609301699,576.8479172652225,0.5135563350526127
fixed_AC0p38,1.015676328443639,2426.823182283998,2426.822612337191,-0.0005699468069906288,0.24481445338415808,0.24479069305608436,-2.376032807371864e-05,0.2505068830791285,0.2504810095919303,-2.587348719818028e-05,0.03150078133541613,0.031492986408680784,-7.794926735346652e-06,0.7081770528190933,0.7081869298000433,9.876980950007663e-06,124.00426913287728,124.03854080483963,0.03427167196234393,-0.05793154394241206,-0.05791695373068131,1.4590211730752811e-05,378.4491763843089,378.5124099273107,0.06323354300184292
fixed_AC0p38,1.0511405166368406,2469.196476955549,2469.1950977097526,-0.0013792457962154003,0.2509067025019581,0.25088034210999977,-2.636039195835771e-05,0.25991228072885586,0.25988351562705064,-2.8765101805217075e-05,0.034809495884909974,0.03479962498364254,-9.870901267437782e-06,0.7041113189962366,0.7041227237452681,1.140474903149613e-05,97.8889254363076,97.92512006850454,0.036194632196938414,-0.0722977028999913,-0.07228596767343112,1.173522656017223e-05,625.3748414190686,625.598020330007,0.2231789109383726
fixed_AC0p38,1.0866047048300422,2507.343071321064,2507.341835929436,-0.0012353916281426791,0.2569917784688373,0.25696504553846394,-2.6732930373363217e-05,0.26701608529319837,0.266985619410397,-3.0465882801367083e-05,0.037555847180708576,0.03754226850213412,-1.3578678574453773e-05,0.7000503722596828,0.7000620877099017,1.1715450218940937e-05,94.06717101762374,94.10367029003538,0.03649927241164619,-0.07061448968823734,-0.07060576442982666,8.725258410682835e-06,715.4479338151782,715.58059458868,0.1326607735018115
fixed_AC0p38,1.122068893023244,2556.3237607816363,2556.322773804037,-0.0009869775994957308,0.26306114329422664,0.2630433358617141,-1.7807432512562116e-05,0.2709498286897713,0.2709358462611793,-1.3982428592018703e-05,0.03753568421314897,0.03753374468178816,-1.9395313608089326e-06,0.6959999105374676,0.6960060991448183,6.188607350687825e-06,120.60130063739028,120.59745549492007,-0.0038451424702117265,-0.0470133129541448,-0.04702019256191506,-6.879607770259033e-06,587.4449493694842,588.2352584217786,0.790309052294333
fixed_AC0p38,1.1575330812164457,2768.008205045455,2768.006372460177,-0.001832585277952603,0.2691693800435704,0.26911366366279094,-5.571638077944696e-05,0.2747675200272877,0.27470366441022454,-6.385561706317988e-05,0.030192976069623734,0.030167925534118536,-2.5050535505197896e-05,0.6919235071813958,0.6919546752637866,3.116808239078672e-05,110.70449268705131,110.77374625999553,0.06925357294421985,-0.05613393635480642,-0.05611597877114007,1.7957583666350363e-05,374.03956131056657,373.75123520732296,-0.2883261032436053
fixed_AC0p38,1.1929972694096473,2810.656810064104,2810.6553340822456,-0.0014759818582206208,0.27526072780501953,0.27520898320287374,-5.17446021457979e-05,0.28422243154056626,0.28416652675262655,-5.590478793970899e-05,0.03371971911136064,0.03369993190396366,-1.978720739697487e-05,0.6878583748892582,0.6878866730475008,2.8298158242678895e-05,83.66468994705272,83.71910176445735,0.05441181740462753,-0.07089726864261878,-0.07088604255625193,1.1226086366847299e-05,623.0879100921522,623.2442862816167,0.15637618946448129
