protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,dt_geom_fit_s,dt_resid_fit_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,fit_rmse_A
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.25,False,A_shared_prescribed_current,882.4600016178099,879.9874308225972,2.4725707952127323,882.3529411764799,880.5170216269897,1.8359195494901996,0.6366512457225326,0.298945279646432,2.1736255155663002,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.26,False,A_shared_prescribed_current,917.7578497628415,915.305173214174,2.452676548667455,917.6470588235358,915.6087251179534,2.0383337055823176,0.41434284308513725,0.24697294769123346,2.2057036009762214,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.27,False,A_shared_prescribed_current,953.0556717173773,950.9360163316215,2.1196553857557774,952.9411764705916,950.715240138516,2.2259363320755483,-0.10628094631977092,0.20101505615457427,1.9186403296012031,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.28,False,A_shared_prescribed_current,988.3536220785894,988.3997758073277,-0.04615372873831802,988.2352941176474,985.8417949135892,2.39349920405823,-2.439652932796548,0.17144671763162478,-0.2176004463699428,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.29,False,A_shared_prescribed_current,1023.6515289601605,1023.6004117709944,0.051117189166120625,1023.529411764703,1020.9952054512037,2.5342063134993396,-2.483089124333219,0.18247630600637876,-0.13135911684025814,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.3,False,A_shared_prescribed_current,1058.949342774838,1058.7342945472458,0.21504822759220588,1058.823529411759,1056.5991512991181,2.2243781126408066,-2.0093298850486008,0.20393000468288847,0.01111822290931741,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.31,False,A_shared_prescribed_current,1094.247089783935,1093.8261310474763,0.42095873645871507,1094.1176470588148,1094.2259253089617,-0.10827825014689552,0.5292369866056106,0.23515120426509384,0.18580753219362123,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.32,False,A_shared_prescribed_current,1129.54481205728,1128.892093274262,0.6527187830181447,1129.4117647058706,1129.4590905276843,-0.04732582181372891,0.7000446048318736,0.2860049040289141,0.3667138789892306,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.33,False,A_shared_prescribed_current,1164.842608314114,1163.9411603319593,0.9014479821546502,1164.7058823529267,1164.6373572100217,0.06852514290494582,0.8329228392497043,0.3498164934644592,0.551631488690191,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.33999999999999997,False,A_shared_prescribed_current,1200.1404797482885,1198.9810048071245,1.159474941164035,1199.9999999999823,1199.776715171432,0.22328482855027687,0.9361901126137582,0.41522917076008525,0.7442457704039498,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
