parameter_set,model_type,condition,reference_condition,Q_Ah,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,tau_factor_set,omega_tau_set,f_Hz,period_s
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.400346387589794,3360.8313302155057,2970.764353642453,390.06697657305267,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.4465135563432476,3471.6325352237945,3011.9083104086917,459.72422481510284,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.4926807250967011,3582.433740232083,3074.397946532608,508.0357936994751,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.5388478938501546,3693.234945240371,3546.3851519920277,146.8497932483433,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.5850150626036084,3804.03615024866,3580.646419676631,223.38973057202884,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.631182231357062,3914.8373552569487,3613.989263993049,300.84809126389973,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.6773494001105156,4025.638560265237,3648.752504598045,376.88605566719207,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.723516568863969,4136.439765273526,3688.374475306734,448.0652899667921,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.7696837376174228,4247.240970281815,3743.6758750484246,503.56509523339037,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.8158509063708765,4358.042175290104,4224.535614817662,133.5065604724423,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.86201807512433,4468.843380298392,4259.227151613557,209.61622868483482,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.9081852438777835,4579.644585306681,4292.564788473154,287.0797968335264,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,1.9543524126312373,4690.44579031497,4326.883847703202,363.56194261176734,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.000519581384691,4801.2469953232585,4365.245641904932,436.0013534183263,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.0466867501381447,4912.048200331547,4415.763257618209,496.28494271333875,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.092853918891598,5022.849405339836,4902.546533840857,120.30287149897958,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.1390210876450517,5133.650610348124,4937.766959207166,195.88365114095814,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.1851882563985057,5244.451815356414,4971.170016579606,273.2817987768076,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.231355425151959,5355.253020364702,5005.135224219371,350.11779614533134,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.2775225939054127,5466.054225372991,5042.446020888517,423.6082044844743,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.3236897626588666,5576.855430381281,5089.476923906322,487.37850647495907,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.36985693141232,5687.656635389569,5580.391420946185,107.26521444338414,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.4160241001657736,5798.457840397857,5616.251948182507,182.2058922153501,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.462191268919227,5909.259045406146,5649.792275368774,259.46677003737113,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.5083584376726806,6020.0602504144335,5683.486509671432,336.5737407430015,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.5545256064261346,6130.861455422723,5719.917864959954,410.94359046276895,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.600692775179588,6241.662660431011,5764.2739720112195,477.38868841979183,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.6468599439330416,6352.463865439299,6258.038696488096,94.42516895120298,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.6930271126864955,6463.265070447589,6294.667148527599,168.59792191998986,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.739194281439949,6574.066275455877,6328.419198968622,245.6470764872547,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.7853614501934025,6684.867480464166,6361.9199008199,322.9475796442657,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
Chen2020,SPM,Chen2020_SPM_hier_DC03_AC07_3p0tauSet,Chen2020_SPM_hier_DC03,2.831528618946856,6795.668685472454,6397.615796061622,398.052889410832,3.0,0.3333333333333333,0.001460812595183524,684.5505051757639
