condition,label,t_rel_s,Q_net_mAh,V_V,I_A
0.2+0.8C 10τ,baseline-init_DCAC,10766.920676795684,2769.4068363457422,3.7284954931115206,1.4177978262158337
0.2+0.8C 10τ,baseline-init_DCAC,10779.28620405638,2765.169279962703,3.7406933554825805,1.0495782358513814
0.2+0.8C 10τ,baseline-init_DCAC,10791.651731317075,2762.2399160366003,3.7551661168621067,0.6560845978702072
0.2+0.8C 10τ,baseline-init_DCAC,10804.017258577771,2760.697224088345,3.7718009613199293,0.2421692164044813
0.2+0.8C 10τ,baseline-init_DCAC,10816.382785838467,2760.602584114184,3.790241824133455,-0.18706377693583687
0.2+0.8C 10τ,baseline-init_DCAC,10828.748313099162,2761.9995196880486,3.8100508058876135,-0.6263213638494683
0.2+0.8C 10τ,baseline-init_DCAC,10841.113840359858,2764.913161257537,3.830670162421862,-1.0701869093559224
0.2+0.8C 10τ,baseline-init_DCAC,10853.479367620554,2769.3499362518,3.8514708943185556,-1.5131869561669755
0.2+0.8C 10τ,baseline-init_DCAC,10865.84489488125,2775.297489822721,3.872015765549819,-1.94985871975396
0.2+0.8C 10τ,baseline-init_DCAC,10878.210422141945,2782.7248371967617,3.8921809779089855,-2.3748174518047724
0.2+0.8C 10τ,baseline-init_DCAC,10890.57594940264,2791.5827457587575,3.911606586976,-2.7828228413905984
0.2+0.8C 10τ,baseline-init_DCAC,10902.941476663336,2801.804342156075,3.9301659745925592,-3.1688436350251714
0.2+0.8C 10τ,baseline-init_DCAC,10915.307003924032,2813.3059369367093,3.9477958584464536,-3.528119678766272
0.2+0.8C 10τ,baseline-init_DCAC,10927.672531184728,2825.9880565524327,3.964381309234971,-3.8562206172958358
0.2+0.8C 10τ,baseline-init_DCAC,10940.038058445423,2839.7366700010148,3.97989727428672,-4.149100526140904
0.2+0.8C 10τ,baseline-init_DCAC,10952.403585706119,2854.4245949813653,3.9941376502627977,-4.403147803347226
0.2+0.8C 10τ,baseline-init_DCAC,10964.769112966815,2869.913066221827,4.007311526978011,-4.615229705373302
0.2+0.8C 10τ,baseline-init_DCAC,10977.13464022751,2886.0534466420263,4.018845840288074,-4.782730978018721
0.2+0.8C 10τ,baseline-init_DCAC,10988.263614762136,2901.010135709499,4.028102654527147,-4.893646746699234
0.2+0.8C 10τ,baseline-init_DCAC,10999.392589296762,2916.249582168493,4.036173482405866,-4.965663665358042
0.2+0.8C 10τ,baseline-init_DCAC,11010.521563831388,2931.6504227379046,4.042851050040433,-4.998062260581095
0.2+0.8C 10τ,baseline-init_DCAC,11021.650538366013,2947.089681754795,4.048345419584049,-4.990518859426686
0.2+0.8C 10τ,baseline-init_DCAC,11032.779512900639,2962.443999742918,4.0523291309639395,-4.943108823027767
0.2+0.8C 10τ,baseline-init_DCAC,11043.908487435265,2977.590865815682,4.0549789382368395,-4.856305793708715
0.2+0.8C 10τ,baseline-init_DCAC,11055.03746196989,2992.4098416014044,4.056131767854449,-4.730976963138049
0.2+0.8C 10τ,baseline-init_DCAC,11066.166436504516,3006.7837644634496,4.055723389589234,-4.56837440878993
0.2+0.8C 10τ,baseline-init_DCAC,11077.295411039142,3020.599917994655,4.053877341182332,-4.370122585265923
0.2+0.8C 10τ,baseline-init_DCAC,11088.424385573768,3033.7511580924242,4.050441143752133,-4.138202095443372
0.2+0.8C 10τ,baseline-init_DCAC,11099.553360108393,3046.136983364611,4.045436764862902,-3.874929903581609
0.2+0.8C 10τ,baseline-init_DCAC,11110.68233464302,3057.6645391724687,4.038870230718182,-3.5829361880641684
0.2+0.8C 10τ,baseline-init_DCAC,11121.811309177645,3068.2495452799494,4.030750688726671,-3.265138065025558
0.2+0.8C 10τ,baseline-init_DCAC,11132.94028371227,3077.817137841813,4.021060941358351,-2.924710445373115
0.2+0.8C 10τ,baseline-init_DCAC,11144.069258246896,3086.3026173188014,4.009809576832794,-2.565054316351338
0.2+0.8C 10τ,baseline-init_DCAC,11166.327207316148,3099.8046583228006,3.9828570320603243,-1.8025850796383285
0.2+0.8C 10τ,baseline-init_DCAC,11186.359361478473,3107.847279381457,3.9540882145502434,-1.0881111057591089
0.2+0.8C 10τ,baseline-init_DCAC,11206.391515640798,3111.90629883625,3.922530010797426,-0.3707904101583639
0.2+0.8C 10τ,baseline-init_DCAC,11224.008458973862,3112.2165213279177,3.8943980572485035,0.24400326565895414
0.2+0.8C 10τ,baseline-init_DCAC,11239.863707973618,3109.9810387444495,3.8701658144117186,0.7711479061212578
0.2+0.8C 10τ,baseline-init_DCAC,11255.718956973375,3105.502907158073,3.847637594520063,1.2624087679117832
0.2+0.8C 10τ,baseline-init_DCAC,11271.574205973131,3098.9620849480216,3.8268330572530154,1.707832816631881
0.2+0.8C 10τ,baseline-init_DCAC,11285.843930072911,3091.4905446933067,3.809761172514391,2.06204314297245
0.2+0.8C 10τ,baseline-init_DCAC,11300.113654172692,3082.7146048323834,3.794314460574143,2.365986898590799
0.2+0.8C 10τ,baseline-init_DCAC,11314.383378272472,3072.8434014291693,3.7804669965697717,2.6146745357979704
0.2+0.8C 10τ,baseline-init_DCAC,11328.653102372253,3062.1040504191033,3.7683171348149465,2.804023592616846
0.2+0.8C 10τ,baseline-init_DCAC,11342.922826472033,3050.7379192687235,3.7579332324663026,2.9309257105719766
0.2+0.8C 10τ,baseline-init_DCAC,11357.192550571814,3038.9966646817807,3.749530168006194,2.9932976615737403
0.2+0.8C 10τ,baseline-init_DCAC,11371.462274671594,3027.138101396994,3.7431592124397017,2.9901155462387154
0.2+0.8C 10τ,baseline-init_DCAC,11385.731998771374,3015.4219698953666,3.739133684284516,2.9214316022454914
0.2+0.8C 10τ,baseline-init_DCAC,11398.574750461177,3005.2084977904815,3.737504061822569,2.8045219107825448
0.2+0.8C 10τ,baseline-init_DCAC,11411.41750215098,2995.502352194893,3.7379588713338694,2.6370104006866777
0.2+0.8C 10τ,baseline-init_DCAC,11424.260253840783,2986.480077529296,3.7405539006906583,2.42112504888941
0.2+0.8C 10τ,baseline-init_DCAC,11437.103005530586,2978.3091224295345,3.745375248584386,2.15973722574253
0.2+0.8C 10τ,baseline-init_DCAC,11449.945757220388,2971.1456126059215,3.752494959688943,1.8563235045264173
0.2+0.8C 10τ,baseline-init_DCAC,11462.788508910191,2965.1322743024675,3.7619815222331674,1.5149194214928676
0.2+0.8C 10τ,baseline-init_DCAC,11475.631260599994,2960.396535974912,3.7738745496599684,1.1400658014538134
0.2+0.8C 10τ,baseline-init_DCAC,11488.474012289797,2957.048833436087,3.788166012433124,0.7367483628096931
0.2+0.8C 10τ,baseline-init_DCAC,11501.3167639796,2955.18114101092,3.804762391442662,0.3103314052965014
0.2+0.8C 10τ,baseline-init_DCAC,11514.159515669402,2954.8657482373656,3.8233333052927785,-0.1335135375653661
0.2+0.8C 10τ,baseline-init_DCAC,11527.002267359205,2956.1542983836825,3.843359527258973,-0.5888831323672666
0.2+0.8C 10τ,baseline-init_DCAC,11539.845019049008,2959.0771015702003,3.864246365600565,-1.0497207627491814
0.2+0.8C 10τ,baseline-init_DCAC,11552.68777073881,2963.642731631352,3.8854586630791097,-1.509897085067129
0.2+0.8C 10τ,baseline-init_DCAC,11565.530522428613,2969.8379120799013,3.906510536305154,-1.963291551366086
0.2+0.8C 10τ,baseline-init_DCAC,11578.373274118416,2977.627692690074,3.9269769125741263,-2.4038738153657997
0.2+0.8C 10τ,baseline-init_DCAC,11591.216025808219,2986.955914350968,3.946709450742763,-2.825783938724892
0.2+0.8C 10τ,baseline-init_DCAC,11604.058777498021,2997.745956007487,3.965663089146385,-3.2234103308039472
0.2+0.8C 10τ,baseline-init_DCAC,11616.901529187824,3009.90175375415,3.983651587190587,-3.5914643852951866
0.2+0.8C 10τ,baseline-init_DCAC,11629.744280877627,3023.3090785273866,4.0006338231846925,-3.9250508210176314
0.2+0.8C 10τ,baseline-init_DCAC,11642.58703256743,3037.837055402437,4.016429816468886,-4.21973279131494
0.2+0.8C 10τ,baseline-init_DCAC,11655.429784257232,3053.3399042875494,4.031245437386861,-4.471590896071949
0.2+0.8C 10τ,baseline-init_DCAC,11668.272535947035,3069.658878863467,4.044461287197583,-4.677275311463944
0.2+0.8C 10τ,baseline-init_DCAC,11679.831012467857,3084.90629733132,4.055241980392067,-4.820638429224083
0.2+0.8C 10τ,baseline-init_DCAC,11690.233641336597,3098.971718442674,4.063888399080417,-4.9144999939171745
0.2+0.8C 10τ,baseline-init_DCAC,11700.636270205337,3113.2589908161153,4.071459541593168,-4.974188950652788
0.2+0.8C 10τ,baseline-init_DCAC,11711.038899074078,3127.66861578348,4.077932924437425,-4.99918422973592
0.2+0.8C 10τ,baseline-init_DCAC,11721.441527942818,3142.100026569,4.083231831060824,-4.989267628618558
0.2+0.8C 10τ,baseline-init_DCAC,11731.844156811558,3156.4524662121476,4.087391530427967,-4.9445257167534535
0.2+0.8C 10τ,baseline-init_DCAC,11742.246785680298,3170.625867150762,4.0902489761690095,-4.865349079864391
0.2+0.8C 10τ,baseline-init_DCAC,11752.649414549038,3184.5217247858864,4.091803072494607,-4.752428910230338
0.2+0.8C 10τ,baseline-init_DCAC,11763.052043417778,3198.043957402333,4.092050554240295,-4.606750972749365
0.2+0.8C 10τ,baseline-init_DCAC,11773.454672286518,3211.0997449380784,4.090952593567238,-4.429586999457019
0.2+0.8C 10τ,baseline-init_DCAC,11783.857301155258,3223.600339280236,4.088492652175553,-4.222483587623193
0.2+0.8C 10τ,baseline-init_DCAC,11794.259930023998,3235.4618390139344,4.084633106724414,-3.987248698343914
0.2+0.8C 10τ,baseline-init_DCAC,11804.662558892738,3246.605921860726,4.079362520661117,-3.7259358734920833
0.2+0.8C 10τ,baseline-init_DCAC,11815.065187761478,3256.9605284125328,4.072672169918668,-3.4408263088097133
0.2+0.8C 10τ,baseline-init_DCAC,11825.467816630218,3266.4604911922916,4.064554495884826,-3.134408939638129
0.2+0.8C 10τ,baseline-init_DCAC,11835.870445498958,3275.048103549765,4.055006879062583,-2.8093587131339284
0.2+0.8C 10τ,baseline-init_DCAC,11846.273074367698,3282.673623426197,4.04404407241762,-2.4685132366478015
0.2+0.8C 10τ,baseline-init_DCAC,11856.675703236438,3289.29570759007,4.031699602742314,-2.1148480061204156
0.2+0.8C 10τ,baseline-init_DCAC,11867.078332105179,3294.8817725531962,4.018028109322023,-1.7514504307457872
0.2+0.8C 10τ,baseline-init_DCAC,11877.480960973919,3299.4082790164393,4.003137682660903,-1.3814928806594369
0.2+0.8C 10τ,baseline-init_DCAC,11887.883589842659,3302.8609373619197,3.987210716506552,-1.0082049929386965
0.2+0.8C 10τ,baseline-init_DCAC,11898.286218711399,3305.234832397812,3.9705258787846605,-0.6348454776774212
0.2+0.8C 10τ,baseline-init_DCAC,11907.648584693265,3306.4523306421756,3.9551790547224526,-0.30145495924150967
0.2+0.8C 10τ,baseline-init_DCAC,11915.767055092883,3306.8105915035158,3.9418218294083784,-0.01627462215469766
0.2+0.8C 10τ,baseline-init_DCAC,11923.07367845254,3306.587655819084,3.929919843712934,0.23595707311753866
0.2+0.8C 10τ,baseline-init_DCAC,11930.380301812196,3305.858190016974,3.9182447364030244,0.4828638536860588
0.2+0.8C 10τ,baseline-init_DCAC,11937.686925171853,3304.634081147388,3.906900442175367,0.7233819629085425
0.2+0.8C 10τ,baseline-init_DCAC,11944.993548531509,3302.929347347603,3.89593778689644,0.9564751686663504
0.2+0.8C 10τ,baseline-init_DCAC,11952.300171891166,3300.7600774471666,3.8853809935893477,1.1811392277979724
0.2+0.8C 10τ,baseline-init_DCAC,11959.606795250822,3298.144361651859,3.8752469270828294,1.3964062127128654
0.2+0.8C 10τ,baseline-init_DCAC,11966.913418610478,3295.1022136050656,3.8655583677729695,1.6013486815457463
0.2+0.8C 10τ,baseline-init_DCAC,11981.526665329791,3287.839987731775,3.847529252483085,1.976776514861605
0.2+0.8C 10τ,baseline-init_DCAC,11993.63246019229,3280.734548180824,3.8339574346024445,2.2492297365190534
0.2+0.8C 10τ,baseline-init_DCAC,12005.738255054788,3272.777494614071,3.821626875215396,2.4832794734374377
0.2+0.8C 10τ,baseline-init_DCAC,12017.844049917287,3264.1026183658364,3.8105532882889057,2.6761594313782084
0.2+0.8C 10τ,baseline-init_DCAC,12042.055639642283,3245.2513260063165,3.792316986382189,2.9298047589206337
0.2+0.8C 10τ,baseline-init_DCAC,12066.26722936728,3225.317069003149,3.7796196074392654,2.9982095537714697
0.2+0.8C 10τ,baseline-init_DCAC,12090.478819092277,3205.5565145629243,3.7732013602383034,2.8781493960385833
0.2+0.8C 10τ,baseline-init_DCAC,12112.269249844774,3188.9364565156543,3.7732563350564883,2.613454661702844
0.2+0.8C 10τ,baseline-init_DCAC,12134.059680597271,3174.336429354671,3.7794712878911962,2.210690246356666
0.2+0.8C 10τ,baseline-init_DCAC,12155.850111349768,3162.5455789188863,3.7919771298425133,1.6852457313164377
0.2+0.8C 10τ,baseline-init_DCAC,12175.461499027015,3154.8938453747087,3.809062951180891,1.1239630011180468
0.2+0.8C 10τ,baseline-init_DCAC,12195.072886704262,3150.478922500122,3.83169378106788,0.49690367186618856
0.2+0.8C 10τ,baseline-init_DCAC,12214.684274381509,3149.606241095067,3.8592927257313967,-0.17651297744918215
0.2+0.8C 10τ,baseline-init_DCAC,12232.334523291032,3152.0123603129505,3.886962083425323,-0.8050062327083336
0.2+0.8C 10τ,baseline-init_DCAC,12248.219747309602,3156.8227028168035,3.912998493772146,-1.3752882338508887
0.2+0.8C 10τ,baseline-init_DCAC,12264.104971328172,3164.132611501877,3.9390769876816965,-1.937938099690475
0.2+0.8C 10τ,baseline-init_DCAC,12279.990195346742,3173.8831638169418,3.9645461122761354,-2.4815133720923903
0.2+0.8C 10τ,baseline-init_DCAC,12295.875419365311,3185.965802501418,3.989070247659038,-2.994959507769382
0.2+0.8C 10τ,baseline-init_DCAC,12311.760643383881,3200.224543285017,4.012321618468215,-3.46783469153822
0.2+0.8C 10τ,baseline-init_DCAC,12327.64586740245,3216.4591470976593,4.034225409519598,-3.8905221886910577
0.2+0.8C 10τ,baseline-init_DCAC,12340.87288760495,3231.3183805322515,4.051196244515809,-4.197957233820578
0.2+0.8C 10τ,baseline-init_DCAC,12354.09990780745,3247.224303849585,4.066969664392987,-4.460277661984907
0.2+0.8C 10τ,baseline-init_DCAC,12367.326928009948,3264.004359781822,4.081359210252618,-4.673782834065566
0.2+0.8C 10τ,baseline-init_DCAC,12380.553948212448,3281.4736593896187,4.09426756939046,-4.835460763549161
0.2+0.8C 10τ,baseline-init_DCAC,12393.780968414947,3299.4375903501873,4.105568250352341,-4.943030607595412
0.2+0.8C 10τ,baseline-init_DCAC,12407.007988617446,3317.6945624162754,4.115150978757492,-4.994974843624645
0.2+0.8C 10τ,baseline-init_DCAC,12420.235008819946,3336.0388513149815,4.122895053458798,-4.990560677499646
0.2+0.8C 10τ,baseline-init_DCAC,12433.462029022445,3354.2635009666064,4.12868339805976,-4.9298503812895484
0.2+0.8C 10τ,baseline-init_DCAC,12446.689049224944,3372.1632430810037,4.132411318219179,-4.813700414777614
0.2+0.8C 10τ,baseline-init_DCAC,12459.916069427443,3389.5373929437324,4.133990553539643,-4.643749343106082
0.2+0.8C 10τ,baseline-init_DCAC,12486.370109832442,3421.8572810363407,4.130414980813292,-4.152759269726034
0.2+0.8C 10τ,baseline-init_DCAC,12512.82415023744,3449.917845696707,4.117539389651439,-3.484488669022283
0.2+0.8C 10τ,baseline-init_DCAC,12539.278190642439,3472.5544330493403,4.095172952948349,-2.676514582041106
0.2+0.8C 10τ,baseline-init_DCAC,12565.732231047437,3488.9073809656725,4.063274118379461,-1.7742696155722573
0.2+0.8C 10τ,baseline-init_DCAC,12592.186271452436,3498.470358103752,4.022880771429398,-0.8284872540801279
0.2+0.8C 10τ,baseline-init_DCAC,12611.113502138985,3501.054724442164,3.9909094873676247,-0.1546168219847076
0.2+0.8C 10τ,baseline-init_DCAC,12630.040732825535,3500.1602899209256,3.9590145519150526,0.49486356275545296
0.2+0.8C 10τ,baseline-init_DCAC,12648.967963512085,3495.964545104205,3.9290772757576544,1.101215820471677
0.2+0.8C 10τ,baseline-init_DCAC,12666.00247112998,3489.5842193587937,3.9046866903602124,1.5955657007451287
