condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_min_ablation,window_exceeds_ablation_CC,n_valid_points,x_n_Q20,x_n_Q80_if_in_CC,Q80_in_CC,x_n_CC_end,sign,sign_baseline,flipped_vs_baseline
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,A1a,-7881.283639146819,-3.061350194852287,1025.0,3599.446939262072,3619.932657813218,True,80,0.23283252847993569,,False,0.6779944990893699,-,-,False
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,A1a,-537.5577524146036,-0.17475869714388934,1025.0,4101.0,4159.316472896289,False,80,0.22232445731084455,0.7493057028034406,True,0.7594225041379802,-,-,False
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,A1a,-937.6488399661775,-0.30784840633023725,1025.0,4070.813526025977,4120.595756170798,True,80,0.2218366007533738,0.7529055325992599,True,0.7553653022367638,-,-,False
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,A1a,-6636.538706758547,-2.3125922178861713,1025.0,3894.740136384566,3930.666791668209,True,80,0.2279237542101255,,False,0.7263487576835497,-,-,False
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,A1a,-571.6373499382062,-0.20434283665447003,1025.0,3822.4425690527455,3851.79259729949,True,80,0.22695220611373898,,False,0.7110079570344044,-,-,False
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,A1a,-1111.655999265071,-0.40046162552093506,1025.0,3800.936390456859,3844.0677394497607,True,80,0.22794872039676156,,False,0.7108117534160725,-,-,False
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,A1a,-1260.914056819155,-0.45640686558414084,1025.0,3787.6973910774777,3777.0277726945037,True,80,0.22878824192610756,,False,0.7005743716499192,-,-,False
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,A1a,-3444.564740350817,-1.2807684229533665,1025.0,3714.4516437310976,3758.655591072012,True,80,0.22798777436538123,,False,0.6980863740407948,-,-,False
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,A1a,-6534.107200318063,-2.5226312782323714,1025.0,3615.195109646213,3652.5419225034075,True,80,0.23303627712127573,,False,0.6826720738864,-,-,False
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,A1a,-564.6744452969405,-0.20948498202572807,1025.0,3720.536643421959,3764.434949110571,True,80,0.2219841238900368,,False,0.6977424438691783,-,-,False
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,A1a,-792.7869373113485,-0.3102307362267348,1025.0,3580.475150379469,3603.0777871236364,True,80,0.2335288544068259,,False,0.674953244276366,-,-,False
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,A1a,-81.98236258091687,-0.03265019364525552,1025.0,3535.9303629759615,3574.928182600301,True,80,0.23224691626915606,,False,0.6696536440722357,0,0,False
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,A1a,-537.7900273997194,-0.20995007648648184,1025.0,3586.513843670099,3603.0777871236364,True,80,0.23083303542576147,,False,0.6896502534137647,-,-,False
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,A1a,-52.382695235063416,-0.02050288539403627,1025.0,3579.8938224226777,3556.851325240659,True,80,0.23253698926078661,,False,0.6668416183535529,0,0,False
