param_set,Q_nom_Ah,tau95_eq_s,V_max_cutoff,V_min_cutoff,protocol_label,protocol_type,phase_label,current_formula,DC_C,AC_C,kappa,n_tau,T_period_s,f_anchor_Hz,I_DC_A,I_AC_A,I_peak_charge_A,I_peak_discharge_A,I_peak_charge_C,I_peak_discharge_C,peak_current_constraint_margin_C,dt_eval_max_s,est_t_total_s,est_output_points,est_wall_s,Q_sin_ripple_amp_Ah,Q_lobe_per_period_Ah,Q_lobe_Q_frac,smoke_member,feasibility_risk,compute_risk
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,1.0,262.1304001774818,0.0038148951793570128,0.1361232,0.2722464,-0.4083696,0.1361232,-0.6000000000000001,0.2,0.3999999999999999,2.6213040017748184,17000.0,6485,7.781999999999999,0.0031549840429456063,0.002160701095613879,0.0031746257737312656,False,low,low
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,10.0,2621.304001774818,0.00038148951793570126,0.1361232,0.2722464,-0.4083696,0.1361232,-0.6000000000000001,0.2,0.3999999999999999,10.0,17000.0,1700,2.04,0.031549840429456064,0.02160701095613879,0.031746257737312655,False,medium,low
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,0.1,26.213040017748177,0.038148951793570134,0.2722464,0.4083696,-0.680616,0.1361232,-1.0,0.19999999999999996,0.0,0.2621304001774818,8500.0,32426,38.911199999999994,0.0004732476064418409,0.0001747642318626902,0.000256773616639471,False,low,medium
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,262.1304001774818,0.0038148951793570128,0.2722464,0.4083696,-0.680616,0.1361232,-1.0,0.19999999999999996,0.0,2.6213040017748184,8500.0,3242,3.8903999999999996,0.004732476064418409,0.0017476423186269024,0.0025677361663947107,False,low,low
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,2621.304001774818,0.00038148951793570126,0.2722464,0.4083696,-0.680616,0.1361232,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,1.02,0.047324760644184095,0.017476423186269022,0.025677361663947105,False,medium,low
ORegan2022,5.0,47.72789653541888,4.4,2.5,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,1.0,0.0,-1.0,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,4.08,0.0,0.0,0.0,True,low,low
ORegan2022,5.0,47.72789653541888,4.4,2.5,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,2.0,0.0,-2.0,0.0,-0.4,0.0,0.6,10.0,8500.0,850,2.04,0.0,0.0,0.0,True,low,low
ORegan2022,5.0,47.72789653541888,4.4,2.5,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,0.1,29.988321825393136,0.03334631413596584,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,0.2998832182539314,17000.0,56688,136.0512,0.002651549807523271,0.0018159225201156033,0.00036318450402312067,True,low,high
ORegan2022,5.0,47.72789653541888,4.4,2.5,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,1.0,299.8832182539314,0.003334631413596584,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,2.9988321825393136,17000.0,5668,13.6032,0.026515498075232704,0.018159225201156037,0.003631845040231207,True,low,medium
ORegan2022,5.0,47.72789653541888,4.4,2.5,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,10.0,2998.8321825393136,0.0003334631413596584,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,10.0,17000.0,1700,4.08,0.2651549807523271,0.18159225201156035,0.03631845040231207,True,medium,low
ORegan2022,5.0,47.72789653541888,4.4,2.5,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,0.1,29.988321825393136,0.03334631413596584,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,0.2998832182539314,8500.0,28344,68.0256,0.003977324711284906,0.0014687746722320196,0.0002937549344464039,True,low,high
ORegan2022,5.0,47.72789653541888,4.4,2.5,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,299.8832182539314,0.003334631413596584,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,2.9988321825393136,8500.0,2834,6.8016,0.039773247112849054,0.014687746722320198,0.0029375493444640396,True,low,low
ORegan2022,5.0,47.72789653541888,4.4,2.5,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,2998.8321825393136,0.0003334631413596584,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,2.04,0.39773247112849064,0.146877467223202,0.029375493444640396,True,medium,low
