model_type,condition,feature_id,tau_factor_set,omega_tau_set,n_Q,window_valid_fraction,delta_x_inst_mean,delta_x_inst_abs_mean,delta_x_cycle_mean,delta_x_cycle_abs_mean,cycle_amp_mean,cycle_amp_max,cycle_count_min,cycle_count_max
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,neg_surface_sto_range,5.0,0.2,80,0.9375,0.05375394345640174,0.05375394345640174,0.04187339554599357,0.04187339554599357,0.056933539930076695,0.09131633506280235,0.18875586237596187,6.396810609826552
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,pos_avg_sto,5.0,0.2,80,0.9375,-3.5928313820202117e-05,3.5928313820202117e-05,0.0043827622089575805,0.010145752186019135,0.0710560909568243,0.07145371475572426,0.18875586237596187,6.396810609826552
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,pos_avg_surface_sto,5.0,0.2,80,0.9375,-0.026038764123394176,0.026038764123394183,0.0026521293758643414,0.010574660692220215,0.11905178060518962,0.12178762357648998,0.18875586237596187,6.396810609826552
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,pos_surface_minus_avg_sto,5.0,0.2,80,0.9375,-0.026002835809573972,0.026002835809573976,-0.0017306328330932586,0.0017306328330932586,0.06446053748846406,0.06489110979107293,0.18875586237596187,6.396810609826552
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,total_heating_mean,5.0,0.2,80,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.18875586237596187,6.396810609826552
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,cell_temperature_K,0.5,2.0,80,1.0,0.0,0.0,-1.0658141036401503e-14,3.765876499528531e-14,0.0,0.0,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,elyte_c_mean,0.5,2.0,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,elyte_c_range,0.5,2.0,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,eta_n_mean,0.5,2.0,80,1.0,-0.03789742064736947,0.038128896486226846,0.007622126873236613,0.007622126873236613,0.1272976250369774,0.16060609801615214,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,eta_p_mean,0.5,2.0,80,1.0,0.0067960699661815255,0.006825908993757906,0.00017419078523557763,0.00017876415243799152,0.01842111914819945,0.02130727144240284,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,j_n_mean_signed,0.5,2.0,80,1.0,-0.7777081894560101,0.7811475417523752,-0.02400019109017361,0.024073137417972127,2.0829001669588836,2.0835417111707795,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,j_p_mean_signed,0.5,2.0,80,1.0,0.8805357163514177,0.8844298151652454,0.027173463955598866,0.027256055148380576,2.358298415096437,2.3590247834179374,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_avg_sto,0.5,2.0,80,1.0,0.00010811642793206785,0.00010846142476178353,-0.000804428459489445,0.0015564068086936082,0.01067599059837982,0.010698471023215639,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_avg_surface_sto,0.5,2.0,80,1.0,0.005077214608458297,0.005077214608458297,-0.0006302632443221488,0.001499941718555714,0.020799531788736787,0.0210955101821918,3.4711332270637394,80.34763207657365
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_max_surface_sto,0.5,2.0,80,1.0,0.005077214608458295,0.005077214608458295,-0.0006302632443221436,0.0014999417185557267,0.020799531788736784,0.021095510182191912,3.4711332270637394,80.34763207657365
