condition,case_id,I_DC_Crate,A_Crate,f_Hz,kappa,status,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,pct_AC_reversals,wall_clock_s,CC_time_s,CV_time_s,total_time_s,n_AC_reversals_steps,CC_time_s_partial,T_max_charging_C_partial,V_min_phase2
0.3+0.7C 10τ,DC0.30C+AC0.70C_f0.00100Hz,0.3,0.7,0.001,2.3333333333333335,INFEASIBLE_MIN_V: V_min=1.500V in Phase 2,,,,,,,0.8391549587249756,,,,,310.7839819263336,21.015623955476144,1.4999999999999072
0.3+0.4C 0.1τ,DC0.30C+AC0.40C_f0.14300Hz,0.3,0.4,0.143,1.3333333333333335,ok,170.12810093716038,68.95967905904915,239.08777999620952,5128.139901067608,23.49203000403577,22.53260095889123,25.670467853546143,10207.686056229622,4137.580743542949,14345.266799772571,16778.0,,,
0.3+0.4C 1τ,DC0.30C+AC0.40C_f0.01400Hz,0.3,0.4,0.014,1.3333333333333335,ok,168.73170729047195,69.83284014828332,238.56454743875526,5125.676596765589,23.606302555429295,23.17194377395996,3.1178650856018066,10123.902437428316,4189.970408896999,14313.872846325316,1632.0,,,
0.3+0.4C 10τ,DC0.30C+AC0.40C_f0.00100Hz,0.3,0.4,0.001,1.3333333333333335,ok,162.92140172920878,74.3344067616464,237.25580849085517,5124.993264746226,24.39686088954494,18.243243243243242,1.481557846069336,9775.284103752527,4460.064405698784,14235.34850945131,108.0,,,
0.4+0.6C 0.5τ,DC0.40C+AC0.60C_f0.02900Hz,0.4,0.6,0.029,1.4999999999999998,ok,118.83426978866679,74.73033020773421,193.564599996401,5123.836667906233,25.430803296116892,26.529953172937187,5.380096912384033,7130.056187320008,4483.819812464053,11613.87599978406,3286.0,,,
0.4+0.5C 1.67τ,DC0.40C+AC0.50C_f0.00900Hz,0.4,0.5,0.009,1.25,ok,119.8465624074904,74.5182475545386,194.364809962029,5124.0430105326905,25.05343883916379,19.457780288054224,2.1121630668640137,7190.793744449424,4471.094853272316,11661.88859772174,689.0,,,
0.4+0.6C 1.67τ,DC0.40C+AC0.60C_f0.00900Hz,0.4,0.6,0.009,1.4999999999999998,ok,118.0117285750789,75.57708654193712,193.58881511701603,5124.667131443918,25.62356821422071,26.26880897730171,2.3591160774230957,7080.703714504734,4534.625192516227,11615.328907020961,1030.0,,,
0.4+0.6C 5τ,DC0.40C+AC0.60C_f0.00300Hz,0.4,0.6,0.003,1.4999999999999998,ok,115.2231974848131,77.72308503978253,192.94628252459563,5126.090655986776,26.221122271376032,22.491103202846976,1.3489630222320557,6913.391849088786,4663.385102386952,11576.776951475738,316.0,,,
0.4+0.6C 10τ,DC0.40C+AC0.60C_f0.00100Hz,0.4,0.6,0.001,1.4999999999999998,ok,113.25803857647219,79.51183652182347,192.76987509829567,5126.669235647546,27.15761723928449,19.652173913043477,1.127899169921875,6795.482314588331,4770.710191309408,11566.19250589774,113.0,,,
0.5+0.5C 1τ,DC0.50C+AC0.50C_f0.01400Hz,0.5,0.5,0.014,1.0,ok,93.69801722923678,76.13367215701295,169.83168938624974,5124.789966817218,26.012923018800166,0.0,2.1711509227752686,5621.881033754207,4568.020329420777,10189.901363174984,0.0,,,
