case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_rest_end,V_init_phase2,actual_phase2_start_s,phase_offset_vs_est_s,sin_at_phase2_start,CC_time_s,CV_time_s,CC_time_min,CV_time_min,Q_net_final_mAh,status,condition,tau_label,batch
DC0.40C+AC0.60C_f0.00286Hz_X5beta_phase0,0.4,0.6,0.00286,1.4999999999999998,2.00622296333313,2.512422948941947,2.601000463682229,8118.77614690114,13.776146901140237,0.24503531678137266,6890.99125070359,4670.639024711423,114.84985417839316,77.84398374519039,5125.458170715944,ok,0.4+0.6C 5τ,5τ,X5beta-phase0
DC0.40C+AC0.60C_f0.00143Hz_X5beta_phase0,0.4,0.6,0.00143,1.4999999999999998,1.2003610134124756,2.512422948941947,2.616206434770004,8118.77614690114,13.776146901140237,0.12346223442476417,6818.815935309178,4740.2695315785295,113.64693225515296,79.00449219297549,5124.551175072785,ok,0.4+0.6C 10τ,10τ,X5beta-phase0
DC0.50C+AC0.50C_f0.01430Hz_X5beta_phase0,0.5,0.5,0.0143,1.0,2.2557790279388428,2.512422948941947,2.5255542268413085,8118.77614690114,13.776146901140237,0.9450608172789904,5564.007249927057,4600.318301404284,92.73345416545095,76.6719716900714,5125.699818642706,ok,0.5+0.5C 1τ,1τ,X5beta-phase0
DC0.90C+AC0.10C_f0.00086Hz_X5beta_phase0,0.9,0.1,0.00086,0.11111111111111112,1.2104792594909668,2.512422948941947,2.691229104933565,8118.77614690114,13.776146901140237,0.07437122201451442,2987.3954521732467,4795.044907619849,49.78992420288744,79.91741512699748,5125.301373678409,ok,0.9+0.1C 16.7τ,16.7τ,X5beta-phase0
DC0.90C+AC0.10C_f0.00860Hz_X5beta_phase0,0.9,0.1,0.0086,0.11111111111111112,1.0683619976043701,2.512422948941947,2.685068756949152,8118.77614690114,13.776146901140237,0.6775302831608585,2963.0564593211584,4783.276596647831,49.38427432201931,79.72127661079718,5124.820614092518,ok,0.9+0.1C 1.67τ,1.67τ,X5beta-phase0
DC0.90C+AC0.10C_f0.00143Hz_X5beta_phase0,0.9,0.1,0.00143,0.11111111111111112,1.157639741897583,2.512422948941947,2.690737067901691,8118.77614690114,13.776146901140237,0.12346223442476417,3059.37710418574,4703.13657214655,50.98961840309566,78.38560953577583,5125.130922926327,ok,0.9+0.1C 10τ,10τ,X5beta-phase0
DC0.90C+AC0.10C_f0.01430Hz_X5beta_phase0,0.9,0.1,0.0143,0.11111111111111112,1.1090590953826904,2.512422948941947,2.6822520364890314,8118.77614690114,13.776146901140237,0.9450608172789904,2964.6232478875263,4780.284424005638,49.4103874647921,79.67140706676064,5124.78602209794,ok,0.9+0.1C 1τ,1τ,X5beta-phase0
DC0.10C+AC0.00C_f0.00000Hz_X5beta_phase0,0.1,0.0,0.0,0.0,1.0313291549682617,2.512422948941947,2.556491674889169,8118.77614690114,13.776146901140237,0.0,36025.57172325896,2104.0155463891715,600.4261953876493,35.06692577315286,5126.313074640761,ok,0.1C_DC,baseline,X5beta-phase0
DC0.20C+AC0.00C_f0.00000Hz_X5beta_phase0,0.2,0.0,0.0,0.0,1.0675456523895264,2.512422948941947,2.58801840587698,8118.77614690114,13.776146901140237,0.0,17512.350031736467,2872.6155004180728,291.8725005289411,47.87692500696788,5126.330541890452,ok,0.2C_DC,baseline,X5beta-phase0
DC0.30C+AC0.00C_f0.00000Hz_X5beta_phase0,0.3,0.0,0.0,0.0,1.0018303394317627,2.512422948941947,2.6110933741628157,8118.77614690114,13.776146901140237,0.0,11345.449198764976,3315.7676974956994,189.09081997941627,55.26279495826166,5125.988242972963,ok,0.3C_DC,baseline,X5beta-phase0
DC0.40C+AC0.00C_f0.00000Hz_X5beta_phase0,0.4,0.0,0.0,0.0,1.1442410945892334,2.512422948941947,2.629437139578683,8118.77614690114,13.776146901140237,0.0,8245.777916981073,3650.013876587511,137.42963194968453,60.83356460979185,5125.895173088575,ok,0.4C_DC,baseline,X5beta-phase0
DC0.50C+AC0.00C_f0.00000Hz_X5beta_phase0,0.5,0.0,0.0,0.0,1.0090112686157227,2.512422948941947,2.644888842297262,8118.77614690114,13.776146901140237,0.0,6332.408742196827,3964.6545512499742,105.54014570328044,66.07757585416624,5125.986010082342,ok,0.5C_DC,baseline,X5beta-phase0
DC0.90C+AC0.00C_f0.00000Hz_X5beta_phase0,0.9,0.0,0.0,0.0,1.1485579013824463,2.512422948941947,2.6919715328414564,8118.77614690114,13.776146901140237,0.0,2976.8591136879877,4770.210812004494,49.61431856146646,79.50351353340824,5125.246538546686,ok,0.9C_DC,baseline,X5beta-phase0
DC0.20C+AC0.80C_f0.00143Hz_X5beta_phase0,0.2,0.8,0.00143,4.0,0.8478949069976807,,2.5569534151527784,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.2+0.8C 10τ,10τ,X5beta-phase0
