parameter_set,model_type,condition,feature_id,delta_x_mean,delta_x_median,delta_x_abs_mean,delta_x_max_abs,delta_x_std,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s
Chen2020,DFN,DC03_AC07_0p1tau,neg_min_surface_sto,-0.0027116073814947026,-0.0015837971023032749,0.0028398308615681434,0.00850403576524772,0.0027901814181390144,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,neg_surface_minus_avg_sto,0.000788994586942196,0.000954996543443323,0.0008316585948753132,0.001415317245889225,0.0005422786922348769,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,neg_surface_sto_range,0.010538727325721736,0.006464102428111407,0.010538727325721736,0.0289196173843856,0.008533664214795808,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,pos_avg_sto,-0.0001643137901398535,-0.0001725587955958563,0.0001643137901398535,0.00040644583852222915,0.00011709349252313725,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,pos_avg_surface_sto,-0.0005485916869140906,-0.0006172814432565676,0.0006695645023926333,0.0015448351672046612,0.0005842707955739033,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,pos_surface_minus_avg_sto,-0.0003842778967742406,-0.00045365776475644187,0.0005856238354255462,0.0011546336884492095,0.0005673076342183108,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,total_heating_mean,0.0,0.0,0.0,0.0,0.0,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_10tau,cell_temperature_K,0.0,0.0,0.0,0.0,0.0,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,elyte_c_mean,-25.525452502654275,-27.97162702433269,25.554293251015963,32.14007936972996,6.5361702718891115,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,elyte_c_range,587.9031333962278,640.8206596279862,588.2270580837039,745.041108130758,153.2472460201011,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,eta_n_mean,-0.045575184825227696,-0.05217916212015547,0.04627219286220989,0.062011269192976566,0.016183675916397272,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,eta_p_mean,0.005824418939688136,0.006783320534727617,0.0059091167147149164,0.00832934268098205,0.00231358579088583,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,j_n_mean_signed,-0.7926048073153741,-0.9121411608822871,0.8024173232024655,1.0417223382945144,0.3074791082037084,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,j_p_mean_signed,0.8974019456747685,1.0327430786301712,0.9085118591599791,1.179457459506366,0.3481335754187862,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,neg_avg_sto,6.890725222767277e-06,7.900125028215133e-06,7.837499291988084e-06,1.8196627040403812e-05,6.582132041742041e-06,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,neg_avg_surface_sto,0.008713890087220741,0.009529391725011369,0.008720554775137307,0.010806262605237427,0.00232562196309242,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,neg_max_surface_sto,0.04201745522707177,0.03878130985503417,0.04201745522707177,0.07858652871780714,0.017223242318061695,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,neg_min_surface_sto,-0.007035880875212347,-0.005694883377458465,0.008554591118376548,0.025110940731494225,0.00852256401491806,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,neg_surface_minus_avg_sto,0.008706999361997975,0.0095160820744772,0.008713627115960307,0.010792289157740404,0.00232510280597577,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,neg_surface_sto_range,0.04905333610228412,0.046003591353535114,0.04905333610228413,0.09172923994707317,0.0239458761469664,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,pos_avg_sto,-4.598606206668993e-06,-5.272240994030897e-06,5.230446973503861e-06,1.2143732240121885e-05,4.392662931332263e-06,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,pos_avg_surface_sto,-0.020699645398153423,-0.022581808968630435,0.020699645398153423,0.02658643777427594,0.005757897261167107,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,pos_surface_minus_avg_sto,-0.020695046791946746,-0.022581107335022596,0.020695046791946746,0.026584913436706176,0.005758003512477657,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_10tau,total_heating_mean,0.0,0.0,0.0,0.0,0.0,331.5325647811462,100.07212435343081,517.9802193416099
Chen2020,DFN,DC03_AC07_1tau,cell_temperature_K,0.0,0.0,0.0,0.0,0.0,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,elyte_c_mean,-7.007437341571143,-8.116152430806096,7.599251091406403,12.994450405833959,5.18047796342997,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,elyte_c_range,128.99482715217835,145.90869050403592,149.23517357359847,268.0790016507827,115.17174307651374,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,eta_n_mean,-0.04074948523204659,-0.04583231116024534,0.04151552778147729,0.05430308725200455,0.01449120691654563,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,eta_p_mean,0.006472658361701973,0.007470260967609066,0.006572314837908352,0.009603966957469123,0.002606258797573117,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,j_n_mean_signed,-0.7961717310379036,-0.9080982644551545,0.80688525774599,1.0415271015792378,0.3070746138836592,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,j_p_mean_signed,0.9014354040791053,1.028162790977436,0.9135653643101695,1.1792364091669238,0.3476842297466668,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,neg_avg_sto,-0.00014598765551847773,-0.00014112721320067023,0.00014598765551847773,0.0002479108071005154,5.311307269388568e-05,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,neg_avg_surface_sto,0.0036650139693729586,0.004041065010855369,0.0036650139693729586,0.004962327280257112,0.0012189529576437969,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,neg_max_surface_sto,0.013968415821237683,0.010899183179714694,0.013968415821237683,0.03282343182882852,0.008187454517661149,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,neg_min_surface_sto,-0.00043635650600393466,0.00034607327873815985,0.0025374628740684134,0.006493493746411172,0.0029903299642138597,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,neg_surface_minus_avg_sto,0.00381100162489144,0.004201054343085657,0.00381100162489144,0.005058660687962662,0.0012183568453804884,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,neg_surface_sto_range,0.014404772327241622,0.010408897137706152,0.014404772327241622,0.03690482752660017,0.010258982139874587,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,pos_avg_sto,9.742657223686252e-05,9.418289911278244e-05,9.742657223686252e-05,0.00016544618153124802,3.5445631311541364e-05,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,pos_avg_surface_sto,-0.004950428174571415,-0.005819183265399264,0.0050761712325883305,0.008130376457845756,0.002918843172250214,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,pos_surface_minus_avg_sto,-0.005047854746808278,-0.005902718300383289,0.005155358998532954,0.00820759263427771,0.0029185865843670963,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_1tau,total_heating_mean,0.0,0.0,0.0,0.0,0.0,31.81029020989613,8.191941801036592,51.52480135325595
Chen2020,DFN,DC03_AC07_5tau,cell_temperature_K,0.0,0.0,0.0,0.0,0.0,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,elyte_c_mean,-23.465487965858962,-25.191626004757325,23.465487965858962,30.011524667824233,5.601211246616246,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,elyte_c_range,527.6785935434533,572.8727362110592,527.6785935434533,681.5823311153983,132.28530498488772,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,eta_n_mean,-0.044495828460179174,-0.05101878438772742,0.045720056318543936,0.06049985013671519,0.017148324576468837,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,eta_p_mean,0.005900335625752248,0.0070077631895645726,0.0060548559077348175,0.008650252216062707,0.0025452641936240376,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,j_n_mean_signed,-0.7893119356921126,-0.9249631210651498,0.8067143044962244,1.0415988036112085,0.326861022744046,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,j_p_mean_signed,0.8936736879054678,1.0472605935960069,0.9133769751552325,1.1793175984428952,0.3700781618901293,164.54938638320064,50.18605753294287,258.9325296316547
Chen2020,DFN,DC03_AC07_5tau,neg_avg_sto,-1.858289518576334e-05,-2.770372249955022e-05,4.274517623361201e-05,7.87199173115094e-05,4.356373555157904e-05,164.54938638320064,50.18605753294287,258.9325296316547
