parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,delta_t_model_s,delta_t_model_min,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.206288180921441,0.44125763618428826,0.49125763618428825,244.7890151966867,4.079816919944778,244.79092371593833,4.079848728598972,-0.0019085192516286043,-3.180865419381007e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.2413929839367985,0.4482785967873597,0.4982785967873597,303.69457846558726,5.061576307759788,303.6973727755503,5.061622879592505,-0.002794309963064734,-4.6571832717745566e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.276497786952156,0.45529955739043115,0.5052995573904312,361.8622312906964,6.031037188178273,361.8659510442412,6.031099184070687,-0.0037197535448285635,-6.199589241380939e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.311602589967513,0.46232051799350266,0.5123205179935026,418.04886864187483,6.967481144031248,418.053651304278,6.9675608550713,-0.004782662403158611,-7.971104005264352e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.3467073929828706,0.4693414785965741,0.5193414785965741,470.0021351289379,7.833368918815632,470.00815212338784,7.833469202056464,-0.006016994449964841,-0.00010028324083274734,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.381812195998228,0.4763624391996456,0.5263624391996456,511.146075673978,8.519101261232967,511.1614216743228,8.51935702790538,-0.015346000344834465,-0.00025576667241390775,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.4169169990135853,0.48338339980271705,0.5333833998027171,113.16390999613577,1.8860651666022628,113.1633376583186,1.8860556276386433,0.0005723378171751392,9.538963619585653e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.4520218020289426,0.4904043604057885,0.5404043604057885,169.9734655170605,2.832891091951008,169.9738109705986,2.832896849509977,-0.00034545353810244706,-5.7575589683741175e-06,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.4871266050443,0.49742532100886,0.54742532100886,228.4137644631337,3.8068960743855618,228.4152989473714,3.806921649122857,-0.0015344842377089662,-2.557473729514944e-05,0.1,4.277471558827524,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.5222314080596573,0.5044462816119315,0.5544462816119315,287.3504773547502,4.78917462257917,287.3528228404093,4.789213714006822,-0.002345485659134283,-3.909142765223805e-05,0.1,4.277471558827524,0.1,0.25
