condition,kappa,tau_label,DC,AC,f_Hz,ablation,alpha,A_dt,avg_dt,Q_window_lo,Q_window_hi_strict,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,status,infeasible_reason
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,asymBV_alpha_down,0.4,-1833.738678335598,-0.6313193393067963,1025.0,3929.613504077171,4073.970317626074,144.35681354890312,0.22602910645801857,0.7026712447934848,0.7493022213435746,0.35733959044373353,-,valid,
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,asymBV_alpha_down,0.4,-9548.699019613468,-3.6579638338400624,1025.0,3635.3863934568817,3760.974251103427,125.58785764654522,0.23272908437468012,0.6847112307151381,0.7023200442845059,0.37003791988656737,-,valid,
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,asymBV_alpha_down,0.4,-650.1539329709215,-0.22501623776120255,1025.0,3914.3645162661296,4057.6259609051117,143.26144463898208,0.22295191185088378,0.704662520598157,0.7440855197873996,0.35696593227364476,-,valid,
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,asymBV_alpha_down,0.4,-1283.6178538442398,-0.452585289239281,1025.0,3861.189961016593,3998.5058562753716,137.3158952587787,0.2250686190898786,0.7028826315059119,0.7365890876015185,0.3600423997955549,-,valid,
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,asymBV_alpha_down,0.4,-7924.634471127769,-3.139626846527522,1025.0,3549.0688968794307,3839.827799181832,290.7589023024011,0.23280607484860258,0.6803697996112934,0.7138683999556863,0.3686508882513483,-,valid,
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,asymBV_alpha_down,0.4,-609.5642090607108,-0.1981678182902181,1025.0,4101.0,4329.922772640174,228.92277264017412,0.22214479924689357,0.7052415474269857,0.7885778218371209,0.32723166789613234,-,valid,
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,asymBV_alpha_down,0.4,-949.2519411061836,-0.31165793079418075,1025.0,4070.813526025977,4266.72832471163,195.9147986856533,0.22178625839676028,0.7070683144625379,0.7808399404983322,0.3312723393784297,-,valid,
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,asymBV_alpha_down,0.4,-6825.098542597909,-2.383068569856101,1025.0,3888.995870253131,4181.030033835797,292.0341635826662,0.22801195619839404,0.6932998798793774,0.768039464546074,0.3374773152807214,-,valid,
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,asymBV_alpha_down,0.4,-573.1965580866099,-0.2049472585738468,1025.0,3821.800318654056,3967.7021566248686,145.90183797081272,0.22693144959392048,0.69376502966608,0.7307414938948964,0.3597200071480472,-,valid,
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,asymBV_alpha_down,0.4,-1091.5897380595218,-0.39353933882217,1025.0,3798.7754028010454,3971.4428761468125,172.66747334576712,0.22795655303571988,0.6899022330824514,0.7324112499800202,0.35677276902435456,-,valid,
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,asymBV_alpha_down,0.4,-1241.7849786046033,-0.45852587951308293,1025.0,3733.2113226046863,3904.259421378751,171.04809877406478,0.22884368641260494,0.6882720764633659,0.7216755668943245,0.3634049885962404,-,valid,
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,asymBV_alpha_down,0.4,-3390.6942872640543,-1.2621229044403355,1025.0,3711.5008751010614,3783.8162897934953,72.31541469243393,0.22791348971474826,0.6942341517951365,0.7039837482960347,0.3706435716974296,-,valid,
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,asymBV_alpha_down,0.4,-6746.788641213714,-2.6215034284874057,1025.0,3598.6333463834444,3703.690434125007,105.05708774156255,0.23293297851222708,0.6762795984718042,0.6921184301748873,0.3723154724871181,-,valid,
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,asymBV_alpha_down,0.4,-550.1553092900537,-0.20427665472543013,1025.0,3718.187383695517,3862.9764992032487,144.78911550773182,0.22181839977775808,0.6967636803178714,0.7149204818746521,0.3629508267398067,-,valid,
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,asymBV_alpha_down,0.4,-778.3203992969267,-0.30725576536755994,1025.0,3558.1352151060455,3673.7082397849263,115.57302467888076,0.23354396137231587,0.6610793742340223,0.6869160364382582,0.35921025296612547,-,valid,
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,asymBV_alpha_down,0.4,-87.20469584309215,-0.03489530217131406,1025.0,3524.0382778453027,3705.772968474425,181.73469062912227,0.23229771102930216,0.6637854184415148,0.6916959821035475,0.3558008542404533,0,valid,
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,asymBV_alpha_down,0.4,-534.2268545386673,-0.20855903467350972,1025.0,3586.513843670099,3793.3154121434127,206.80156847331364,0.23080229187239637,0.6665708694244891,0.7056576984038693,0.34854301901416485,-,valid,
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,asymBV_alpha_down,0.4,-52.43031743194761,-0.021137395024440463,1025.0,3505.4531197588058,3644.7193104639387,139.26619070513289,0.23254394938600623,0.664113984158764,0.6821023662312677,0.3612918502787793,0,valid,
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,asymBV_alpha_up,0.6,,,,4006.807365761156,3956.0469556867265,-50.760410074429274,,,,,invalid,invalid_window,Q_hi_exceeds_CC_end
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,asymBV_alpha_up,0.6,-906.8757224326641,-0.29482305670762815,1025.0,4101.0,4733.158333964644,632.158333964644,0.2201243276158434,0.7176966686930726,0.8561302986183374,0.2937061865230358,-,valid,
