#Device,NGU201,,,
#Device Name,RS-NGU201-00000.local,,,
#Format,LOG,,,
#Date,20/11/2025,,,
#Version,04.013 0092C027A93,,,
#Serial No.,101322,,,
#Logging Interval[s],1,,,
#Mode,Unlimited,,,
#Start Time,10:44:25,,,
#Stop Time,XX:XX:XX,,,
#Actual Count,0000000000,,,
#Calibration Ch1,factory,,,
#Calibration Date Ch1,none,,,
Timestamp,U1[V],I1[A],P1[W],DVM1[V]
55:41.0,3.430778E+00,1.019897E+00,3.499039E+00,nan
55:42.0,3.430951E+00,1.019895E+00,3.499211E+00,nan
55:43.0,3.431095E+00,1.019888E+00,3.499332E+00,nan
55:44.0,3.431286E+00,1.019893E+00,3.499544E+00,nan
55:45.0,3.431439E+00,1.019889E+00,3.499687E+00,nan
55:46.0,3.431605E+00,1.019899E+00,3.499891E+00,nan
55:47.0,3.431746E+00,1.019893E+00,3.500014E+00,nan
55:48.0,3.431902E+00,1.019894E+00,3.500177E+00,nan
55:49.0,3.432098E+00,1.019900E+00,3.500398E+00,nan
55:50.0,3.432287E+00,1.019899E+00,3.500586E+00,nan
55:51.0,3.432440E+00,1.019904E+00,3.500760E+00,nan
55:52.0,3.432626E+00,1.019899E+00,3.500932E+00,nan
55:53.0,3.432762E+00,1.019894E+00,3.501054E+00,nan
55:54.0,3.432911E+00,1.019895E+00,3.501210E+00,nan
55:55.0,3.433109E+00,1.019898E+00,3.501420E+00,nan
55:56.0,3.433257E+00,1.019894E+00,3.501559E+00,nan
55:57.0,3.433416E+00,1.019892E+00,3.501712E+00,nan
55:58.0,3.433579E+00,1.019892E+00,3.501878E+00,nan
55:59.0,3.433733E+00,1.019895E+00,3.502048E+00,nan
56:00.0,3.433862E+00,1.019902E+00,3.502201E+00,nan
56:01.0,3.434057E+00,1.019900E+00,3.502397E+00,nan
56:02.0,3.434218E+00,1.019894E+00,3.502539E+00,nan
56:03.0,3.434374E+00,1.019900E+00,3.502720E+00,nan
56:04.0,3.434558E+00,1.019895E+00,3.502889E+00,nan
56:05.0,3.434701E+00,1.019895E+00,3.503036E+00,nan
56:06.0,3.434902E+00,1.019893E+00,3.503232E+00,nan
56:07.0,3.435051E+00,1.019899E+00,3.503405E+00,nan
56:08.0,3.435231E+00,1.019889E+00,3.503555E+00,nan
56:09.0,3.435380E+00,1.019899E+00,3.503741E+00,nan
56:10.0,3.435549E+00,1.019899E+00,3.503913E+00,nan
56:11.0,3.435714E+00,1.019898E+00,3.504078E+00,nan
56:12.0,3.435868E+00,1.019897E+00,3.504230E+00,nan
56:13.0,3.436027E+00,1.019889E+00,3.504366E+00,nan
56:14.0,3.436205E+00,1.019899E+00,3.504582E+00,nan
56:15.0,3.436361E+00,1.019894E+00,3.504724E+00,nan
56:16.0,3.436519E+00,1.019893E+00,3.504881E+00,nan
56:17.0,3.436668E+00,1.019895E+00,3.505042E+00,nan
56:18.0,3.436831E+00,1.019890E+00,3.505191E+00,nan
56:19.0,3.437005E+00,1.019894E+00,3.505381E+00,nan
56:20.0,3.437154E+00,1.019892E+00,3.505524E+00,nan
56:21.0,3.437342E+00,1.019890E+00,3.505711E+00,nan
56:22.0,3.437483E+00,1.019894E+00,3.505869E+00,nan
56:23.0,3.437666E+00,1.019894E+00,3.506056E+00,nan
56:24.0,3.437815E+00,1.019892E+00,3.506198E+00,nan
56:25.0,3.437968E+00,1.019889E+00,3.506346E+00,nan
56:26.0,3.438127E+00,1.019893E+00,3.506521E+00,nan
56:27.0,3.438295E+00,1.019889E+00,3.506680E+00,nan
56:28.0,3.438449E+00,1.019893E+00,3.506849E+00,nan
56:29.0,3.438650E+00,1.019897E+00,3.507067E+00,nan
56:30.0,3.438786E+00,1.019900E+00,3.507219E+00,nan
56:31.0,3.438929E+00,1.019889E+00,3.507326E+00,nan
56:32.0,3.439080E+00,1.019889E+00,3.507480E+00,nan
56:33.0,3.439232E+00,1.019898E+00,3.507665E+00,nan
56:34.0,3.439403E+00,1.019892E+00,3.507817E+00,nan
56:35.0,3.439574E+00,1.019893E+00,3.507996E+00,nan
56:36.0,3.439720E+00,1.019897E+00,3.508158E+00,nan
56:37.0,3.439878E+00,1.019897E+00,3.508320E+00,nan
56:38.0,3.440056E+00,1.019893E+00,3.508489E+00,nan
56:39.0,3.440185E+00,1.019893E+00,3.508620E+00,nan
56:40.0,3.440344E+00,1.019895E+00,3.508791E+00,nan
56:41.0,3.440537E+00,1.019892E+00,3.508974E+00,nan
56:42.0,3.440686E+00,1.019890E+00,3.509122E+00,nan
56:43.0,3.440832E+00,1.019892E+00,3.509275E+00,nan
56:44.0,3.440993E+00,1.019893E+00,3.509444E+00,nan
56:45.0,3.441159E+00,1.019898E+00,3.509630E+00,nan
56:46.0,3.441329E+00,1.019894E+00,3.509792E+00,nan
56:47.0,3.441491E+00,1.019895E+00,3.509960E+00,nan
56:48.0,3.441644E+00,1.019895E+00,3.510117E+00,nan
56:49.0,3.441785E+00,1.019892E+00,3.510248E+00,nan
56:50.0,3.441951E+00,1.019893E+00,3.510421E+00,nan
56:51.0,3.442110E+00,1.019888E+00,3.510566E+00,nan
56:52.0,3.442263E+00,1.019888E+00,3.510722E+00,nan
56:53.0,3.442417E+00,1.019897E+00,3.510909E+00,nan
56:54.0,3.442620E+00,1.019899E+00,3.511125E+00,nan
56:55.0,3.442749E+00,1.019895E+00,3.511243E+00,nan
56:56.0,3.442902E+00,1.019889E+00,3.511378E+00,nan
56:57.0,3.443073E+00,1.019903E+00,3.511601E+00,nan
56:58.0,3.443217E+00,1.019897E+00,3.511725E+00,nan
56:59.0,3.443371E+00,1.019893E+00,3.511869E+00,nan
57:00.0,3.443529E+00,1.019900E+00,3.512057E+00,nan
57:01.0,3.443690E+00,1.019897E+00,3.512208E+00,nan
57:02.0,3.443858E+00,1.019895E+00,3.512375E+00,nan
57:03.0,3.444022E+00,1.019900E+00,3.512559E+00,nan
57:04.0,3.444146E+00,1.019893E+00,3.512659E+00,nan
57:05.0,3.444302E+00,1.019895E+00,3.512827E+00,nan
57:06.0,3.444483E+00,1.019899E+00,3.513025E+00,nan
57:07.0,3.444639E+00,1.019900E+00,3.513189E+00,nan
57:08.0,3.444790E+00,1.019898E+00,3.513333E+00,nan
57:09.0,3.444968E+00,1.019894E+00,3.513503E+00,nan
57:10.0,3.445129E+00,1.019893E+00,3.513662E+00,nan
57:11.0,3.445285E+00,1.019889E+00,3.513808E+00,nan
57:12.0,3.445424E+00,1.019894E+00,3.513968E+00,nan
57:13.0,3.445592E+00,1.019900E+00,3.514161E+00,nan
57:14.0,3.445734E+00,1.019894E+00,3.514283E+00,nan
57:15.0,3.445917E+00,1.019893E+00,3.514466E+00,nan
57:16.0,3.446075E+00,1.019894E+00,3.514632E+00,nan
57:17.0,3.446199E+00,1.019894E+00,3.514758E+00,nan
57:18.0,3.446360E+00,1.019892E+00,3.514913E+00,nan
57:19.0,3.446516E+00,1.019889E+00,3.515064E+00,nan
57:20.0,3.446690E+00,1.019894E+00,3.515258E+00,nan
57:21.0,3.446833E+00,1.019889E+00,3.515387E+00,nan
57:22.0,3.447009E+00,1.019885E+00,3.515553E+00,nan
57:23.0,3.447163E+00,1.019895E+00,3.515745E+00,nan
57:24.0,3.447314E+00,1.019898E+00,3.515908E+00,nan
57:25.0,3.447475E+00,1.019894E+00,3.516059E+00,nan
57:26.0,3.447616E+00,1.019889E+00,3.516185E+00,nan
57:27.0,3.447764E+00,1.019889E+00,3.516337E+00,nan
57:28.0,3.447930E+00,1.019893E+00,3.516519E+00,nan
57:29.0,3.448097E+00,1.019888E+00,3.516672E+00,nan
57:30.0,3.448242E+00,1.019890E+00,3.516829E+00,nan
57:31.0,3.448391E+00,1.019894E+00,3.516994E+00,nan
57:32.0,3.448532E+00,1.019893E+00,3.517133E+00,nan
57:33.0,3.448691E+00,1.019889E+00,3.517282E+00,nan
57:34.0,3.448847E+00,1.019890E+00,3.517445E+00,nan
57:35.0,3.449005E+00,1.019895E+00,3.517624E+00,nan
