phase,fp_mode,Q_mAh,Q_Ah,t_DC_s,t_DCAC_s,dt_geom_s,I_nom_A,I_DC_A,I_AC_A,DC_C,AC_C,kappa,f_Hz,T_AC_s,tau_label_s,n_tau,dt_eval_s,t_max_s,Q_ref_Ah,Q_4p2V_DC_Ah,Q_4p2V_DCAC_10tau_Ah,q_lo_Ah,q_hi_Ah,Q_DC_final_mAh,Q_DCAC_final_mAh,Q_grid_max_mAh,n_t_points
charge_first,raw,1909.610430379747,1.909610430379747,6739.801518978287,6460.129425280747,279.67209369754073,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,1938.2439620253167,1.9382439620253167,6840.861042432836,6491.032580405554,349.8284620272825,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,1966.8774936708862,1.9668774936708862,6941.920565887384,6524.38087112562,417.5396947617646,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,1995.5110253164557,1.9955110253164556,7042.9800893419315,6563.943070111449,479.03701923048266,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2024.1445569620255,2.0241445569620256,7144.03961279648,6626.041550840208,517.9980619562712,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2052.7780886075952,2.052778088607595,7245.0991362510285,7098.747670678111,146.35146557291773,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2081.4116202531645,2.0814116202531645,7346.158659705576,7130.173388093109,215.98527161246693,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2110.0451518987343,2.1100451518987344,7447.218183160124,7160.56715930433,286.65102385579394,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2138.678683544304,2.138678683544304,7548.277706614671,7191.612154346835,356.66555226783566,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2167.3122151898738,2.167312215189874,7649.33723006922,7225.351983889092,423.98524618012834,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2195.9457468354435,2.1959457468354433,7750.396753523768,7265.935649545138,484.4611039786296,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2224.579278481013,2.224579278481013,7851.456276978315,7334.940256187679,516.5160207906365,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2253.212810126582,2.2532128101265823,7952.515800432862,7799.3856436055285,153.13015682733385,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2281.846341772152,2.2818463417721517,8053.57532388749,7830.626724407566,222.94859947992427,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,2310.479873417722,2.310479873417722,8154.6348473424005,7861.011007040428,293.62384030197245,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
