condition,reference_condition,feature_id,Q_Ah,t_DCAC_s,t_DC_s,period_s,phase_rad,phase_norm,cycle_count,x_DCAC_inst,x_DC_inst,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_min,x_DCAC_cycle_max,x_DCAC_cycle_amp,ac_window_n_points,dc_window_n_points,ac_window_covered_s,dc_window_covered_s,window_valid
DC03_AC07_10tau,DC03,pos_surface_minus_avg_sto,1.449584098135742,3045.9182283019463,3479.001835525779,697.4335690969341,2.3079635307586486,0.36732380439606255,4.3673238043960625,-0.04808862226048419,-0.02162395594354747,-0.026464666316936718,-0.021796418270978554,-0.021623884942993953,-0.0001725333279846003,-0.04821688702727722,0.004961035349424603,0.053177922376701825,1072,727,696.3411622761523,696.542563691024,True
DC03_AC07_10tau,DC03,neg_surface_sto_range,1.449584098135742,3045.9182283019463,3479.001835525779,697.4335690969341,2.3079635307586486,0.36732380439606255,4.3673238043960625,0.07119018324438989,0.029724468347024725,0.04146571489736516,0.05275510598567116,0.0302155415728602,0.02253956441281096,0.03111580299135397,0.07269326721599978,0.04157746422464581,1072,727,696.3411622761523,696.542563691024,True
DC03_AC07_10tau,DC03,neg_avg_sto,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,0.32601823492021714,0.326004140540812,1.4094379405138469e-05,0.30889316120309696,0.32601886727064944,-0.017125706067552482,0.2682618299557563,0.33371200175416615,0.06545017179840984,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,neg_avg_surface_sto,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,0.3382352467512656,0.33095387335581855,0.007281373395447044,0.31397253449890156,0.330968600085658,-0.016996065586756426,0.2660018316047475,0.33980779560256547,0.07380596399781797,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,neg_max_surface_sto,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,0.3882820836903253,0.3515874001113823,0.03669468357894301,0.35053409134669294,0.35192995333085403,-0.0013958619841610842,0.2862818709809027,0.38924420690164063,0.10296233592073795,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,neg_min_surface_sto,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,0.31559014068235236,0.32055661897854953,-0.004966478296197174,0.296937129813847,0.3204174946670885,-0.02348036485324151,0.25491903227646007,0.3176893867465279,0.06277035447006785,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,pos_avg_sto,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,0.6539847578634461,0.6539941639126667,-9.406049220617163e-06,0.6654133764383502,0.6539843358569783,0.011429040581371841,0.6488502324300442,0.6925291713649534,0.04367893893490915,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,pos_avg_surface_sto,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,0.6083755490906598,0.6323701162992598,-0.023994567208599937,0.643562876259292,0.6323603413833452,0.011202534875946801,0.6083728929927036,0.6948172185136132,0.08644432552090964,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,elyte_c_mean,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,962.079435285049,983.258582250952,-21.179146965902987,984.3507404049981,983.2573042480827,1.0934361569153452,952.3449110332967,1020.6511987689004,68.30628773560363,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,elyte_c_range,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,842.8410107065231,349.75778551423025,493.08322519229284,517.7622722875534,349.78305762896497,167.97921465858843,4.920763873744022,1072.6578201295806,1067.7370562558367,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,eta_n_mean,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,-0.06780515837634205,-0.03561613290268189,-0.032189025473660156,-0.03129822715642761,-0.03563440055228639,0.004336173395858775,-0.0929836551387273,0.04018505753820545,0.13316871267693275,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,eta_p_mean,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,0.007243980048526014,0.003745117711122039,0.0034988623374039747,0.003470903871208827,0.0037459890407420117,-0.0002750851695331848,-0.005664801645031137,0.011386844471542368,0.017051646116573504,1070,725,696.675215055548,694.2226921944643,True
DC03_AC07_10tau,DC03,j_n_mean_signed,1.488633601202484,3084.609469698747,3572.7206428859618,697.4335690969341,2.656533273072167,0.4228004018975272,4.422800401897527,-0.9322103135512052,-0.4464741494496798,-0.4857361641015254,-0.4604756034549265,-0.4464741496291346,-0.014001453825791876,-1.4882430530310358,0.59529871933927,2.083541772370306,1070,725,696.675215055548,694.2226921944643,True
