model_type,condition,feature_id,tau_factor_set,omega_tau_set,delta_x_mean,delta_x_abs_mean,delta_x_max_abs,delta_x_std,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_avg_surface_sto,1.5,0.6666666666666666,0.0075595113871939346,0.0075595113871939346,0.00940545061404141,0.0017914520745491217,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_max_surface_sto,1.5,0.6666666666666666,0.03518972271761458,0.03518972271761458,0.06956460157622024,0.015633819529063318,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_min_surface_sto,1.5,0.6666666666666666,-0.00533864061819341,0.006860156415475284,0.018178143138732172,0.00710434982539129,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_surface_minus_avg_sto,1.5,0.6666666666666666,0.007545124593715484,0.007545124593715484,0.009363944892132037,0.0017911045340145676,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_surface_sto_range,1.5,0.6666666666666666,0.04052836333580799,0.04052836333580799,0.08156458365100665,0.021148581786227343,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,pos_avg_sto,1.5,0.6666666666666666,-9.601195177636607e-06,1.9960560832821968e-05,4.453333052550912e-05,2.1345622996163253e-05,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,pos_avg_surface_sto,1.5,0.6666666666666666,-0.014398007391892795,0.014398007391892795,0.019440419464562042,0.004717121265265637,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,pos_surface_minus_avg_sto,1.5,0.6666666666666666,-0.014388406196715168,0.014388406196715168,0.01940383659543929,0.004717965941497629,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,total_heating_mean,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,cell_temperature_K,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,elyte_c_mean,3.0,0.3333333333333333,-25.46478538114434,25.46478538114434,32.16574440031775,6.7445733638808125,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,elyte_c_range,3.0,0.3333333333333333,586.8106867238093,586.8106867238093,745.8616059173604,157.65183762206368,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,eta_n_mean,3.0,0.3333333333333333,-0.045246286260376474,0.046063452577013365,0.061903236275708574,0.01712416778515397,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,eta_p_mean,3.0,0.3333333333333333,0.00579717723774323,0.005901962244741941,0.008298363450096248,0.002418201961669505,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,j_n_mean_signed,3.0,0.3333333333333333,-0.7904073737768477,0.8015973737409634,1.041738307539811,0.32079920800118417,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,j_p_mean_signed,3.0,0.3333333333333333,0.8949139747159279,0.9075834998372617,1.1794755400414605,0.3632148527371174,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,neg_avg_sto,3.0,0.3333333333333333,-7.710332416681516e-06,1.7409776165852424e-05,2.6708770099193035e-05,1.6882319989590413e-05,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,neg_avg_surface_sto,3.0,0.3333333333333333,0.008676236011611256,0.008676236011611254,0.0107749982150529,0.002405184764202938,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,neg_max_surface_sto,3.0,0.3333333333333333,0.0423108098303158,0.0423108098303158,0.07867077293581792,0.017146292321376724,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,neg_min_surface_sto,3.0,0.3333333333333333,-0.007069402096642391,0.008499807610121994,0.024596822391139916,0.008506506244204088,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,neg_surface_minus_avg_sto,3.0,0.3333333333333333,0.00868394634402794,0.008683946344027938,0.010766837487596163,0.002404476190415545,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,neg_surface_sto_range,3.0,0.3333333333333333,0.04938021192695819,0.0493802119269582,0.09169960316725072,0.02378069710276409,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,pos_avg_sto,3.0,0.3333333333333333,5.145580668584199e-06,1.161861808930756e-05,1.782441063158391e-05,1.1266614030823574e-05,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,pos_avg_surface_sto,3.0,0.3333333333333333,-0.020549084364456408,0.020549084364456405,0.026385741577977018,0.0055304906665032405,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,pos_surface_minus_avg_sto,3.0,0.3333333333333333,-0.020554229945124996,0.020554229945124996,0.026378002435680878,0.005529438869482328,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_3p0tauSet,total_heating_mean,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,326.8227009797692,98.33165229766746,508.41679867143307
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,cell_temperature_K,5.0,0.2,0.0,0.0,0.0,0.0,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,elyte_c_mean,5.0,0.2,-26.234573347523412,26.2995858994881,32.90357489710027,6.976539494384176,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,elyte_c_range,5.0,0.2,608.6552871453842,609.8156180264996,767.5553247176422,164.65995564537496,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,eta_n_mean,5.0,0.2,-0.04687658353288264,0.04769332683841414,0.0618406054082621,0.01557040139054727,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,eta_p_mean,5.0,0.2,0.005957113924432976,0.006047798494251444,0.008207415096466381,0.0021536178821012337,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,j_n_mean_signed,5.0,0.2,-0.8158648081906856,0.825951161867325,1.0417391668692302,0.28794900335734885,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,j_p_mean_signed,5.0,0.2,0.9237373320713811,0.9351572897772957,1.1794765132528517,0.3260212154320132,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,neg_avg_sto,5.0,0.2,5.383634239397462e-05,5.383634239397462e-05,6.67281825658117e-05,1.514299843534845e-05,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,neg_avg_surface_sto,5.0,0.2,0.00920073519113242,0.00922327851036175,0.011303513039546909,0.0025233396357576634,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,neg_max_surface_sto,5.0,0.2,0.04569692974070229,0.04569692974070229,0.08143336095649811,0.018081384570029883,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,neg_min_surface_sto,5.0,0.2,-0.008057013715699453,0.009564870842529724,0.02810331088939655,0.008993489205895988,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,neg_surface_minus_avg_sto,5.0,0.2,0.009146898848738453,0.00917044624745532,0.011238257208718511,0.0025205607687583224,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,neg_surface_sto_range,5.0,0.2,0.05375394345640174,0.05375394345640174,0.09467203893353392,0.025344445719664755,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,pos_avg_sto,5.0,0.2,-3.5928313820202117e-05,3.5928313820202117e-05,4.453183439301345e-05,1.0105857414608033e-05,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,pos_avg_surface_sto,5.0,0.2,-0.026038764123394176,0.026038764123394183,0.03279777064056155,0.006439674170851157,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,pos_surface_minus_avg_sto,5.0,0.2,-0.026002835809573972,0.026002835809573976,0.03278649771665852,0.006440328977190549,530.9933962403567,157.4961156561517,844.8784382870554
DFN,Chen2020_DFN_hier_DC03_AC07_5p0tauSet,total_heating_mean,5.0,0.2,0.0,0.0,0.0,0.0,530.9933962403567,157.4961156561517,844.8784382870554
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,cell_temperature_K,0.5,2.0,0.0,0.0,0.0,0.0,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,elyte_c_mean,0.5,2.0,0.0,0.0,0.0,0.0,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,elyte_c_range,0.5,2.0,0.0,0.0,0.0,0.0,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,eta_n_mean,0.5,2.0,-0.03789742064736947,0.038128896486226846,0.04861150949934981,0.012315880831776078,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,eta_p_mean,0.5,2.0,0.0067960699661815255,0.006825908993757906,0.00926556123064763,0.0024630542036572886,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,j_n_mean_signed,0.5,2.0,-0.7777081894560101,0.7811475417523752,1.0417541965543238,0.2865094419475164,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,j_p_mean_signed,0.5,2.0,0.8805357163514177,0.8844298151652454,1.1794935300433056,0.32439133357097183,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_avg_sto,0.5,2.0,0.00010811642793206785,0.00010846142476178353,0.0002761763933153416,8.882956686443831e-05,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_avg_surface_sto,0.5,2.0,0.005077214608458297,0.005077214608458297,0.006529974589851273,0.0012987050779148758,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_max_surface_sto,0.5,2.0,0.005077214608458295,0.005077214608458295,0.006529974589851162,0.0012987050779148619,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_min_surface_sto,0.5,2.0,0.005077214608458295,0.005077214608458295,0.006529974589851162,0.0012987050779148619,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_surface_minus_avg_sto,0.5,2.0,0.004969098180526224,0.004969098180526224,0.006255651320660469,0.0013093499388985067,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,neg_surface_sto_range,0.5,2.0,0.0,0.0,0.0,0.0,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,pos_avg_sto,0.5,2.0,-7.215276482448255e-05,7.2383002500543e-05,0.0001843095516392279,5.9281452134522364e-05,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,pos_avg_surface_sto,0.5,2.0,-0.007875908083751583,0.007890815706236726,0.011238898185605972,0.003473751305553757,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,pos_surface_minus_avg_sto,0.5,2.0,-0.007803755318927104,0.007823619674096192,0.011070709119204717,0.0034795376689015643,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_0p5tauSet,total_heating_mean,0.5,2.0,0.0,0.0,0.0,0.0,55.93381831675325,15.265545686250334,84.61110598267805
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,cell_temperature_K,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,158.52087493259984,48.82036040303774,254.07481445077337
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,elyte_c_mean,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,158.52087493259984,48.82036040303774,254.07481445077337
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,elyte_c_range,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,158.52087493259984,48.82036040303774,254.07481445077337
SPM,Chen2020_SPM_hier_DC03_AC07_1p5tauSet,eta_n_mean,1.5,0.6666666666666666,-0.03915627727288577,0.03967716069980189,0.05130317650945364,0.013078069199331209,158.52087493259984,48.82036040303774,254.07481445077337
