parameter_set,model_type,condition,keyword,variable_key
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Negative current collector temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Negative current collector temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Negative electrode temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Negative electrode temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Positive current collector temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Positive current collector temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Positive electrode temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Positive electrode temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Separator temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Separator temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Surface temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Volume-averaged ambient temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Volume-averaged ambient temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Volume-averaged cell temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Volume-averaged cell temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,Volume-averaged surface temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged cell temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged cell temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged negative electrode temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged negative electrode temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged positive electrode temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged positive electrode temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged separator temperature [C]
Chen2020,DFN,DC03_AC07_0p1tau,temperature,X-averaged separator temperature [K]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Irreversible electrochemical heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Irreversible electrochemical heating [W]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Irreversible electrochemical heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Negative current collector Ohmic heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Ohmic heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Ohmic heating [W]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Ohmic heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Positive current collector Ohmic heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Reversible heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Reversible heating [W]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Reversible heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Total heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Total heating [W]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Total heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Volume-averaged Ohmic heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Volume-averaged irreversible electrochemical heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Volume-averaged reversible heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,Volume-averaged total heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,X-averaged Ohmic heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,X-averaged irreversible electrochemical heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,X-averaged reversible heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,heat,X-averaged total heating [W.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Loss of capacity to negative lithium plating [A.h]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Loss of capacity to positive lithium plating [A.h]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Loss of lithium to negative lithium plating [mol]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Loss of lithium to positive lithium plating [mol]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Negative electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Negative lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Negative lithium plating thickness [m]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Positive electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Positive lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Positive lithium plating thickness [m]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Volume-averaged negative lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Volume-averaged negative lithium plating thickness [m]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Volume-averaged positive lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,Volume-averaged positive lithium plating thickness [m]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged negative lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged negative lithium plating thickness [m]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged positive lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03_AC07_0p1tau,lithium plating,X-averaged positive lithium plating thickness [m]
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Average negative particle stoichiometry
Chen2020,DFN,DC03_AC07_10tau,stoichiometry,Average positive particle stoichiometry
