condition,kappa,tau_label,DC,AC,f_Hz,ablation,A_dt,avg_dt,Q_window_lo,Q_window_hi,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,dtQ_min,dtQ_max,dtQ_range,dtQ_n_cross,dtQ_fraction_positive,dtQ_mean_early,dtQ_mean_mid,dtQ_mean_late,status,infeasible_reason,trajectory_class,trajectory_class_robust
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,PE_A1a,-7903.076457237487,-3.1310858697273507,1025.0,3549.0688968794307,3632.8038309439703,83.73493406453963,0.2328809502802432,0.6802712897933851,0.6802779017540553,0.3827187591398879,-,-7.021771510888175,-0.0100156413552061,7.011755869532968,0.0,0.0,-3.379395749843682,-2.904682524758448,-3.1714553296685044,valid,,upward_drift,upward_drift
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,PE_A1a,-533.3542076957119,-0.1733921351416488,1025.0,4101.0,4168.162469054862,67.16246905486241,0.2223601518838079,0.7050819916711315,0.7610368907145469,0.3456132729019577,-,-0.2642598174971681,-0.0800019435733702,0.1842578739237978,0.0,0.0,-0.1180026388833638,-0.173796629871639,-0.2266818640586481,valid,,downward_drift,flat
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,PE_A1a,-904.0816551630668,-0.2968276447122706,1025.0,4070.813526025977,4121.453435833474,50.63990980749713,0.2217700354645505,0.7071111417968439,0.7558567606107937,0.3479922715483018,-,-0.5636042832380553,-0.0500619590152382,0.5135423242228171,0.0,0.0,-0.2797039370017635,-0.3066544899474632,-0.3046508897299117,valid,,weak_drift,weak_drift
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,PE_A1a,-6740.809052497855,-2.353637839534341,1025.0,3888.995870253131,3943.937562522892,54.94169226976055,0.2279143175979221,0.6934045284978453,0.72872834824806,0.3587737379768651,-,-4.896258074913203,0.0166198431617431,4.912877918074947,0.0,0.0625,-2.287448411116304,-2.153328223673767,-2.6473452136131668,valid,,downward_drift,downward_drift
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,PE_A1a,-580.6227471300708,-0.2076025032096292,1025.0,3821.800318654056,3872.187097826865,50.38677917280893,0.226932359853107,0.6938198927220828,0.7149538084347288,0.3697329406153907,-,-0.3801152001718643,-0.0476097682207561,0.3325054319511082,0.0,0.0,-0.1769445716546542,-0.2015170914034581,-0.239072207203248,valid,,weak_drift,weak_drift
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,PE_A1a,-1131.721117178863,-0.4080074818011637,1025.0,3798.7754028010454,3850.8924175863986,52.11701478535315,0.2279717608668618,0.6898958231309883,0.7128297740829078,0.3680047086097248,-,-0.8204604527181194,-0.0306607975148798,0.7897996552032396,0.0,0.0,-0.3753700487840511,-0.4211676103054686,-0.4154741519655062,valid,,weak_drift,weak_drift
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,PE_A1a,-1243.723232760635,-0.4592415748282356,1025.0,3733.2113226046863,3837.804180080039,104.5928574753525,0.2287138862978472,0.6883961054054203,0.7101569246331567,0.3714961623153208,-,-0.9479244626526604,-0.0244920944255606,0.9234323682270996,0.0,0.0,-0.4516675720422331,-0.4350782729341573,-0.4786444186717592,valid,,weak_drift,weak_drift
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,PE_A1a,-3492.8730053400573,-1.3001570324106675,1025.0,3711.5008751010614,3763.20964998279,51.70877488172846,0.2279538396442915,0.6941658568527116,0.6993125241569719,0.3765200999104121,-,-2.764060986268805,-0.0145267404054114,2.749534245863394,0.0,0.0,-1.3157956136894668,-1.2998710776935096,-1.3274431205164343,valid,,weak_drift,weak_drift
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,PE_A1a,-6771.508206139352,-2.631108357239349,1025.0,3598.6333463834444,3659.188931985536,60.55558560209147,0.233035040397434,0.67614504238033,0.684035196401574,0.3813493743147096,-,-5.5194856245198105,-0.0271696639309463,5.492315960588864,0.0,0.0,-2.649734387332099,-2.404527874561728,-2.860489152041243,valid,,downward_drift,downward_drift
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,PE_A1a,-563.2483061787202,-0.2091381793887087,1025.0,3718.187383695517,3811.2894365452944,93.10205284977746,0.2219845776512444,0.6967469470345818,0.7055154876039715,0.3699737141047886,-,-0.4022244757719667,-0.0247645904212125,0.3774598853507541,0.0,0.0,-0.2038681669512387,-0.2140786176121826,-0.2122243329509802,valid,,weak_drift,weak_drift
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,PE_A1a,-775.716055119234,-0.3062276543681305,1025.0,3558.1352151060455,3629.759419263,71.62420415695442,0.233526938684334,0.6610862094429991,0.6790820022998395,0.3650748264803906,-,-0.6810575882334395,-0.0011406433595842,0.6799169448738553,0.0,0.0,-0.1575913876527484,-0.4948109330872891,-0.2693306201952313,valid,,downward_drift,weak_drift
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,PE_A1a,-83.40459429620904,-0.0333746765848346,1025.0,3524.0382778453027,3585.254302882742,61.21602503743998,0.2322516222201405,0.6638281930301165,0.6718738967404819,0.3681060033301694,0,-0.0673219591412513,0.0002626803588517,0.067584639500103,0.0,0.025,-0.0338482020480298,-0.0326302888389553,-0.03315345974385,valid,,flat,flat
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,PE_A1a,-541.317783701712,-0.2113272918822565,1025.0,3586.513843670099,3739.884092330073,153.3702486599741,0.2308352063515232,0.6665477222510174,0.696345110118769,0.3544782227402053,-,-0.4122390401322945,-0.0028610495600067,0.4093779905722878,0.0,0.0,-0.2116398390770651,-0.2083542378535504,-0.209411390877224,valid,,weak_drift,weak_drift
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,PE_A1a,-52.16805262090042,-0.0210316624028649,1025.0,3505.4531197588058,3629.9482554244346,124.49513566562882,0.2325530753073816,0.6641043395359599,0.6787896307972641,0.3641678375862119,0,-0.0415676576180999,-0.0007186599083145,0.0408489977097853,0.0,0.0,-0.0215641800331191,-0.021251082928399,-0.0200071875367383,valid,,flat,flat
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,PE_A2a,-3233.7236344218245,-1.0844844209432567,1025.0,4006.807365761156,4056.807365761156,50.0,0.2250644818129891,0.70865501801089,0.7460293055131677,0.3645209543412452,-,-1.867139095546736,-0.4017945485243217,1.4653445470224142,0.0,0.0,-0.8591598461842516,-1.063511823166475,-1.319716396358977,valid,,downward_drift,downward_drift
