parameter_set,model_type,condition,reference_condition,Q_Ah,feature_id,x_DC,x_DCAC,delta_x,t_DC_s,t_DCAC_s,delta_t_raw_s,tau_factor_set,omega_tau_set,f_Hz,period_s
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.0714987054425755,neg_surface_sto_range,0.0,0.0,0.0,4971.596893062192,4932.890584048267,38.70630901392542,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,neg_avg_sto,0.43285475066113616,0.43286507235477517,1.0321693639014917e-05,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,neg_avg_surface_sto,0.4378044834761624,0.4410407672713307,0.003236283795168271,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,neg_max_surface_sto,0.43780448347616235,0.44104076727133074,0.003236283795168382,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,neg_min_surface_sto,0.43780448347616235,0.44104076727133074,0.003236283795168382,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,pos_avg_sto,0.5826861574344248,0.5826792691312518,-6.888303172969401e-06,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,pos_avg_surface_sto,0.5610618255822281,0.5584250827191888,-0.0026367428630392764,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,elyte_c_mean,983.0036964463766,979.7288398579716,-3.2748565884049867,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,elyte_c_range,354.8521534060638,398.02853780745613,43.17638440139234,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,eta_n_mean,-0.034089027564393685,-0.08024860694719158,-0.04615957938279789,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,eta_p_mean,0.003637299695190442,0.01125161027697791,0.007614310581787468,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,j_n_mean_signed,-0.4464741494515072,-1.4058822576334622,-0.959408108181955,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,j_p_mean_signed,0.5055063587470554,1.5917661117815074,1.086259753034452,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,cell_temperature_K,298.15,298.15,0.0,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,total_heating_mean,0.0,0.0,0.0,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,neg_surface_minus_avg_sto,0.004949732815026243,0.008175694916555485,0.0032259621015292422,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,pos_surface_minus_avg_sto,-0.021624331852196765,-0.024254186412062933,-0.0026298545598661682,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.111317826834971,neg_surface_sto_range,0.0,0.0,0.0,5067.162784403937,5041.291056158523,25.87172824541358,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,neg_avg_sto,0.4396875838052129,0.4396944931423556,6.909337142702032e-06,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,neg_avg_surface_sto,0.44463731662023903,0.44801455597324147,0.003377239353002437,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,neg_max_surface_sto,0.4446373166202391,0.44801455597324147,0.0033772393530023814,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,neg_min_surface_sto,0.4446373166202391,0.44801455597324147,0.0033772393530023814,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,pos_avg_sto,0.5781261861852769,0.5781215751581892,-4.6110270877086634e-06,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,pos_avg_surface_sto,0.556501853471904,0.5480373908696252,-0.008464462602278733,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,elyte_c_mean,983.0036964463768,967.6040085732951,-15.399687873081689,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,elyte_c_range,354.85215340606345,711.1223031665651,356.2701497605016,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,eta_n_mean,-0.03404045959730212,-0.031995293271346446,0.002045166325955673,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,eta_p_mean,0.00363335387158933,0.0029900461485998786,-0.0006433077229894514,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,j_n_mean_signed,-0.4464741494515072,-0.38490930697802517,0.06156484247348204,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,j_p_mean_signed,0.5055063587470554,0.4358014959149328,-0.06970486283212263,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,cell_temperature_K,298.15,298.15,0.0,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,total_heating_mean,0.0,0.0,0.0,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,neg_surface_minus_avg_sto,0.0049497328150261335,0.008320062830885855,0.003370330015859721,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,pos_surface_minus_avg_sto,-0.021624332713372992,-0.03008418428856405,-0.008459851575191059,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.1511369482273657,neg_surface_sto_range,0.0,0.0,0.0,5162.728675745681,5078.1588179187,84.5698578269812,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,SPMe,Chen2020_SPMe_hier_DC03_AC07_0p5tauSet,Chen2020_SPMe_hier_DC03,2.190956069619761,neg_avg_sto,0.4465204169492898,0.446528272788836,7.855839546211385e-06,5258.294567087429,5180.574629691975,77.7199373954536,0.5,2.0,0.008764875571101144,114.09175086262731
