case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,status,condition,tau_label,batch,CC_time_s_partial,V_min_phase2
DC0.30C+AC0.70C_f0.00143Hz_X6alphaNS,0.3,0.7,0.00143,2.3333333333333335,0.442857027053833,,,,,,,,,INFEASIBLE_MIN_V: V_min=1.500V,0.3+0.7C 10τ,10τ,X6alpha-NS,169.33241940357638,1.4999999999992235
DC0.30C+AC0.40C_f0.14300Hz_X6alphaNS,0.3,0.4,0.143,1.3333333333333335,9.010071992874146,2.901353735030768,11921.292431756669,3778.7307993016675,15700.023231058336,198.68820719594447,62.978846655027795,261.66705385097225,5820.51392131356,ok,0.3+0.4C 0.1τ,0.1τ,X6alpha-NS,,
DC0.30C+AC0.40C_f0.01430Hz_X6alphaNS,0.3,0.4,0.0143,1.3333333333333335,1.445439100265503,2.901353735030768,11869.35711653383,3814.9784978517873,15684.335614385618,197.8226186088972,63.58297496419645,261.40559357309365,5820.829115226628,ok,0.3+0.4C 1τ,1τ,X6alpha-NS,,
DC0.30C+AC0.40C_f0.00143Hz_X6alphaNS,0.3,0.4,0.00143,1.3333333333333335,0.6558640003204346,2.901353735030768,11690.806168885929,4033.157268443916,15723.963437329845,194.84676948143215,67.2192878073986,262.06605728883073,5822.160941455687,ok,0.3+0.4C 10τ,10τ,X6alpha-NS,,
DC0.40C+AC0.60C_f0.02860Hz_X6alphaNS,0.4,0.6,0.0286,1.4999999999999998,2.124377727508545,2.9200520856860797,8487.003234425167,4143.413173943727,12630.416408368894,141.4500539070861,69.05688623239546,210.50694013948157,5815.26242481913,ok,0.4+0.6C 0.5τ,0.5τ,X6alpha-NS,,
DC0.40C+AC0.50C_f0.00860Hz_X6alphaNS,0.4,0.5,0.0086,1.25,1.1260418891906738,2.9200520856860797,8460.924772331593,4191.772620157277,12652.69739248887,141.01541287219322,69.86287700262127,210.8782898748145,5823.752829743419,ok,0.4+0.5C 1.67τ,1.67τ,X6alpha-NS,,
DC0.40C+AC0.60C_f0.00860Hz_X6alphaNS,0.4,0.6,0.0086,1.4999999999999998,1.0483500957489014,2.9200520856860797,8345.433860105872,4262.390440805733,12607.824300911605,139.09056433509787,71.03984068009555,210.13040501519342,5819.816203261812,ok,0.4+0.6C 1.67τ,1.67τ,X6alpha-NS,,
DC0.40C+AC0.60C_f0.00286Hz_X6alphaNS,0.4,0.6,0.00286,1.4999999999999998,0.7556841373443604,2.9200520856860797,8293.755879097083,4360.693642305427,12654.44952140251,138.22926465161805,72.67822737175712,210.90749202337517,5821.459758049498,ok,0.4+0.6C 5τ,5τ,X6alpha-NS,,
DC0.40C+AC0.60C_f0.00143Hz_X6alphaNS,0.4,0.6,0.00143,1.4999999999999998,0.6575889587402344,2.9200520856860797,8211.195569638208,4460.148517450782,12671.34408708899,136.85325949397014,74.33580862417969,211.18906811814983,5822.494023259271,ok,0.4+0.6C 10τ,10τ,X6alpha-NS,,
DC0.50C+AC0.50C_f0.01430Hz_X6alphaNS,0.5,0.5,0.0143,1.0,1.1038999557495117,2.9362122937495934,6627.269793878786,4309.170588732514,10936.440382611301,110.45449656464643,71.81950981220857,182.27400637685503,5821.279339268187,ok,0.5+0.5C 1τ,1τ,X6alpha-NS,,
