protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.07,False,A_shared_prescribed_current,7306.6487519101265,7287.843160665902,18.80559124422416,7305.882352940246,7273.4563510030575,32.42600193718863,-13.62041069296447,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.08,False,A_shared_prescribed_current,7341.9464272337755,7298.745187285445,43.20123994833011,7341.1764705872965,7289.7839583365685,51.39251225072803,-8.19127230239792,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.09,False,A_shared_prescribed_current,7377.244227422372,7358.0011243949175,19.24310302745471,7376.470588234344,7343.459889534779,33.01069869956518,-13.767595672110474,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.0999999999999996,False,A_shared_prescribed_current,7412.541797251904,7368.906695299709,43.63510195219533,7411.764705881393,7361.372170994801,50.39253488659142,-6.757432934396093,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.11,False,A_shared_prescribed_current,7447.839565779507,7428.158714921042,19.68085085846542,7447.058823528442,7413.464663130635,33.59416039780717,-13.913309539341753,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.1199999999999997,False,A_shared_prescribed_current,7483.137449559974,7439.069009885481,44.068439674492765,7482.352941175491,7472.4588395125475,9.894101662943285,34.17433801154948,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.13,False,A_shared_prescribed_current,7518.435263191749,7498.315810787105,20.119452404644107,7517.64705882254,7483.470793976679,34.176264845861624,-14.056812441217517,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.1399999999999997,False,A_shared_prescribed_current,7553.733233519037,7509.231944476558,44.501289042478675,7552.941176469588,7542.497533084119,10.443643385468931,34.05764565700974,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.15,False,A_shared_prescribed_current,7589.0310736028705,7568.470484073408,20.56058952946205,7588.235294116638,7553.478409323787,34.75688479285145,-14.196295263389402,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.1599999999999997,False,A_shared_prescribed_current,7624.328807104732,7579.3955250957115,44.93328200902033,7623.529411763686,7612.5326361292855,10.996775634400365,33.93650637461997,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.17,False,A_shared_prescribed_current,7659.626626619976,7638.622527871662,21.00409874831439,7658.823529410735,7623.487642009526,35.33588740120922,-14.33178865289483,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.1799999999999997,False,A_shared_prescribed_current,7694.924547071986,7649.566235926223,45.358311145762855,7694.117647057784,7682.564380602234,11.55326645554942,33.805044690213435,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.19,False,A_shared_prescribed_current,7730.222554182689,7708.774062549515,21.448491633173944,7729.411764704833,7693.498631018107,35.913133686726724,-14.46464205355278,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.1999999999999997,False,A_shared_prescribed_current,7765.520620143234,7719.737735874539,45.78288426869494,7764.705882351882,7752.592984495657,12.112897856224663,33.66998641247028,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.21,False,A_shared_prescribed_current,7800.818570428517,7778.9251103382085,21.89346009030851,7799.999999998931,7763.511522083044,36.488477915887415,-14.595017825578907,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
0.3C DC vs 0.3C+0.7C 1tau,0.3C+0.7C 1tau,MJ1_0p3C_0p7C_1tau_NGU201_raw.csv,SegmentA_grid,2.2199999999999998,False,A_shared_prescribed_current,7836.116433293249,7789.909906480961,46.20652681228876,7835.294117645979,7822.618653019253,12.675464626726352,33.531062185562405,0.012566370614359279,0.13948671381938813,verified,0.045504564328720895,348.7167845484674
