condition,ablation,Q_mAh,delta_t_min,t_DC_min,t_DCAC_min,Q_window_lo,Q_window_hi,status
0.4+0.5C 1.67τ,PE_A2a,3236.9981060312134,-0.8113913934533684,97.1099431809364,97.92133457438976,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3272.109187079328,-0.30036164018815725,98.16327561237985,98.463637252568,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3307.2202681274425,-0.7612378114151397,99.21660804382329,99.97784585523843,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3342.331349175557,-0.212431763628562,100.26994047526672,100.48237223889528,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3377.4424302236716,-0.6860318277118647,101.32327290671014,102.009304734422,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3412.553511271786,-0.13481322989061179,102.3766053381536,102.5114185680442,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3447.6645923199003,-0.6009461351571947,103.42993776959702,104.03088390475422,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3482.775673368015,-0.07406893127848282,104.48327020104044,104.55733913231893,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3517.8867544161294,-0.5096888223983418,105.53660263248389,106.04629145488224,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3552.997835464244,-0.06323181707728812,106.58993506392731,106.65316688100461,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3588.1089165123585,-0.4163237497856092,107.64326749537075,108.05959124515635,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3623.219997560473,-0.820978747631322,108.69659992681419,109.51757867444552,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3658.3310786085876,-0.32369625769001686,109.74993235825764,110.07362861594765,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3693.4421596567017,-0.777649953171643,110.80326478970105,111.5809147428727,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3728.5532407048163,-0.23441577618720355,111.85659722114448,112.09101299733169,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3763.664321752931,-0.7071483158139472,112.90992965258792,113.61707796840187,1025.0,3798.7754028010454,valid
0.4+0.5C 1.67τ,PE_A2a,3798.7754028010454,-0.15262587727250623,113.96326208403137,114.11588796130387,1025.0,3798.7754028010454,valid
0.4+0.6C 1.67τ,PE_A2a,1025.0,-0.0857880754030551,30.75,30.835788075403055,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1059.2811559823379,-0.5995494677647002,31.778434679470134,32.377984147234834,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1093.5623119646757,-0.04187255942291586,32.80686935894027,32.84874191836319,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1127.8434679470133,-0.5291105579385317,33.8353040384104,34.36441459634894,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1162.1246239293512,-0.017967603535885245,34.86373871788054,34.881706321416424,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1196.405779911689,-0.45895742733563716,35.892173397350675,36.35113082468631,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1230.6869358940269,-0.9317564690954668,36.920608076820805,37.852364545916274,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1264.9680918763647,-0.38807282967354695,37.94904275629094,38.33711558596449,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1299.2492478587023,-0.8933355899684936,38.977477435761074,39.87081302572957,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1333.5304038410402,-0.31880862647748626,40.00591211523121,40.324720741708695,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1367.811559823378,-0.8410984653047687,41.03434679470135,41.87544526000612,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1402.0927158057157,-0.2508573651311508,42.06278147417147,42.31363883930262,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1436.3738717880537,-0.7806837047670114,43.09121615364162,43.871899858408625,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1470.6550277703914,-0.1863296734113419,44.11965083311174,44.30598050652308,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1504.9361837527292,-0.7161712970857782,45.14808551258188,45.86425680966765,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1539.217339735067,-0.12628359473012551,46.17652019205202,46.30280378678214,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1573.4984957174047,-0.6481526057414005,47.20495487152213,47.853107477263535,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1607.7796516997428,-0.07296541951299483,48.23338955099228,48.306354970505275,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1642.0608076820804,-0.5780150027621402,49.26182423046241,49.83983923322455,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1676.3419636644182,-0.03437811004691108,50.29025890993254,50.324637019979455,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1710.623119646756,-0.5069642130074877,51.31869358940268,51.82565780241017,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1744.9042756290937,-0.028844041734115915,52.34712826887281,52.375972310606926,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1779.1854316114316,-0.43589990350581803,53.375562948342946,53.811462851848766,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1813.4665875937694,-0.9227793186029961,54.403997627813084,55.32677694641608,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1847.7477435761073,-0.36648585999447125,55.432432307283214,55.798918167277684,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1882.0288995584451,-0.8791275436653146,56.46086698675335,57.33999453041867,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1916.3100555407827,-0.29664816649887293,57.48930166622348,57.78594983272236,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1950.5912115231206,-0.8228556100995926,58.51773634569362,59.340591955793215,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,1984.8723675054584,-0.22953488072986752,59.54617102516376,59.77570590589362,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2019.153523487796,-0.7606514242456797,60.57460570463389,61.33525712887957,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2053.434679470134,-0.16544752110449584,61.60304038410403,61.768487905208524,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2087.7158354524718,-0.692595650327659,62.63147506357415,63.32407071390181,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2121.9969914348094,-0.10801332326976383,63.65990974304428,63.76792306631405,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2156.2781474171475,-0.6242313779143464,64.68834442251442,65.31257580042877,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2190.5593033994855,-0.060838430635696265,65.71677910198457,65.77761753262027,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2224.840459381823,-0.554692901670281,66.7452137814547,67.29990668312499,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2259.121615364161,-0.03741168401415204,67.77364846092482,67.81106014493898,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2293.4027713464984,-0.4845524841790393,68.80208314039494,69.28663562457399,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2327.6839273288365,-0.07456730132030316,69.8305178198651,69.90508512118541,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2361.965083311174,-0.41369713520442325,70.85895249933522,71.27264963453965,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2396.246239293512,-0.9139570319183955,71.88738717880535,72.80134421072376,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2430.52739527585,-0.34411632441594214,72.91582185827549,73.25993818269144,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2464.8085512581874,-0.8634560109654558,73.94425653774562,74.80771254871108,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2499.0897072405255,-0.2755375735590102,74.97269121721577,75.24822879077479,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2533.370863222863,-0.8043030005120878,76.00112589668589,76.80542889719798,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2567.652019205201,-0.20893676992730736,77.02956057615603,77.23849734608334,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2601.933175187539,-0.7389681542652852,78.05799525562617,78.79696340989146,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2636.2143311698765,-0.14915601160690434,79.08642993509629,79.2355859467032,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2670.4954871522145,-0.6720926325312878,80.11486461456643,80.78695724709772,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2704.776643134552,-0.0921605210827238,81.14329929403657,81.2354598151193,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2739.0577991168902,-0.6026936873059185,82.1717339735067,82.77442766081262,1025.0,3733.2113226046863,valid
0.4+0.6C 1.67τ,PE_A2a,2773.338955099228,-0.05148793014852041,83.20016865297684,83.25165658312537,1025.0,3733.2113226046863,valid
