protocol_pair,Q_Ah,dt_resid_s,fp_err_DC_s,fp_err_DCAC_s,residual_reconstructed_s,reconstruction_error_s
0.3C DC vs 0.3C+0.7C 0.1tau,0.53,2.04207983362744,0.20920886713065556,-1.8328709664967846,2.04207983362744,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.54,2.0973910560637705,0.212607900721423,-1.8847831553423475,2.0973910560637705,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.55,2.1446605058879413,0.21608807944699038,-1.928572426440951,2.1446605058879413,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.56,2.1803902292524526,0.2195567845117239,-1.9608334447407287,2.1803902292524526,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.5700000000000001,2.202347376069156,0.22327150536807494,-1.979075870701081,2.202347376069156,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.5800000000000001,2.2058737949987517,0.22707321200709885,-1.9788005829916528,2.2058737949987517,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.5900000000000001,2.1876123819452005,0.23070882316824282,-1.9569035587769577,2.1876123819452005,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.6000000000000001,2.112448549027249,0.23444268179628125,-1.8780058672309679,2.112448549027249,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.6100000000000001,1.9149365748262424,0.23801952278472527,-1.6769170520415173,1.9149365748262426,-2.220446049250313e-16
0.3C DC vs 0.3C+0.7C 0.1tau,0.6200000000000001,-2.139071401761157,0.24163199882059416,2.3807034005817513,-2.139071401761157,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.63,-2.1286375351023707,0.24524524808157366,2.3738827831839444,-2.1286375351023707,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.64,-3.2959929290982473,0.24865061400259947,3.5446435431008467,-3.2959929290982473,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.65,0.7106034461789932,0.2521543978891714,-0.4584490482898218,0.7106034461789932,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.66,0.7750064176934757,0.25551244607413537,-0.5194939716193403,0.7750064176934757,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.67,0.8229905017337842,0.25908101830555097,-0.5639094834282332,0.8229905017337842,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.68,0.8521419100156891,0.2624548667408817,-0.5896870432748074,0.8521419100156891,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.6900000000000001,0.8559241720940918,0.2659509088093728,-0.589973263284719,0.8559241720940918,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.7000000000000001,0.8287778462463393,0.26931062694984576,-0.5594672192964936,0.8287778462463393,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.7100000000000001,0.7437314475719177,0.2728070204125288,-0.47092442715938887,0.7437314475719177,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.7200000000000001,0.535227645489158,0.2763186585252697,-0.2589089869638883,0.535227645489158,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,0.7300000000000001,-3.5017382802207067,0.279942014828066,3.7816802950487727,-3.5017382802207067,0.0
