condition,kappa,tau_label,DC,AC,f_Hz,X5A_avg_dt,X5A_A_dt,X5A_n_cross,X5A_range,X5A_CC_max_dcac,X5A_CC_max_dc,X5A_window_hi,pl_avg_dt,pl_A_dt,pl_n_cross,pl_range,pl_CC_max_dcac,pl_CC_max_dc,pl_window_hi,avg_dt_diff_pl_minus_X5A,meaningful_flip
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,-0.20370163595289623,-569.8436278003171,0,0.3283258170053614,3872.4425690527455,4496.585384983203,3822.4425690527455,-0.19392783119801463,-546.172874330081,0,0.3259707951341018,3891.3717964359544,4505.971628614397,3841.3717964359544,0.009773804754881599,False
0.4+0.5C 1.67τ,1.25,1.67τ,0.4,0.5,0.0086,-0.41172642322064623,-1142.9263611308338,0,0.7846986110254004,3850.936390456859,4496.585384983203,3800.936390456859,-0.4128153376513339,-1168.4259179107844,0,0.7829920261313532,3905.383978847325,4505.971628614397,3855.383978847325,-0.0010889144306876486,False
0.4+0.6C 1.67τ,1.4999999999999998,1.67τ,0.4,0.6,0.0086,-0.4529107733454528,-1251.2554119123652,0,0.9155859014270542,3837.6973910774773,4496.585384983203,3787.6973910774773,-0.4635069632801685,-1280.9013636281275,0,0.9518339291305287,3838.4997208313393,4505.971628614397,3788.4997208313393,-0.010596189934715672,False
0.4+0.6C 5τ,1.4999999999999998,5τ,0.4,0.6,0.00286,-1.282274859706657,-3448.6162291531314,0,2.740780963476277,3764.4516437310976,4496.585384983203,3714.4516437310976,-1.2646003999168505,-3403.919530700166,0,2.7361602150929913,3766.6957569553033,4505.971628614397,3716.6957569553033,0.01767445978980664,False
0.4+0.6C 10τ,1.4999999999999998,10τ,0.4,0.6,0.00143,-2.529852794818139,-6552.812337262748,0,5.488022630546015,3665.195109646213,4496.585384983203,3615.195109646213,-2.5479812988542085,-6613.375796365146,0,5.4762780478476625,3670.535453631111,4505.971628614397,3620.535453631111,-0.018128504036069693,False
0.5+0.5C 1τ,1.0,1τ,0.5,0.5,0.0143,-0.2119786296773107,-571.3961639175646,0,0.3751685425844168,3770.5366434219595,4313.089524582575,3720.5366434219595,-0.2155411739355862,-590.0694473458426,0,0.37065765309694143,3812.6182312256637,4331.796279022645,3762.6182312256637,-0.003562544258275485,False
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,-0.3093798193944736,-790.6124404914655,0,0.6797013896269012,3630.475150379469,3636.513843670099,3580.475150379469,-0.312159567305696,-799.920762493602,0,0.6831173925851393,3637.5380295015734,3646.8755671899885,3587.5380295015734,-0.0027797479112223744,False
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,-0.03261668177745121,-81.898216614527,6,0.06824904863196934,3585.9303629759615,3636.513843670099,3535.9303629759615,-0.03389723547938494,-85.24157970279528,0,0.06787241205682903,3589.705948649886,3646.8755671899885,3539.705948649886,-0.0012805537019337301,False
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,-0.2106072902037757,-539.4734894348175,0,0.40748237153400546,3739.6220303939554,3636.513843670099,3586.513843670099,-0.20847358693988238,-536.1681246551414,0,0.40848562631489355,3750.5145216873707,3646.8755671899885,3596.8755671899885,0.0021337032638933107,False
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,-0.020963087532365223,-53.558462835345765,0,0.04109809966066678,3629.8938224226777,3636.513843670099,3579.8938224226777,-0.019768017163031712,-50.5508133907892,5,0.04113196055273155,3632.2020184869416,3646.8755671899885,3582.2020184869416,0.0011950703693335112,False
