parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_s,t_DCAC_s,t_DC_min,t_DCAC_min,delta_t_full_s,delta_t_full_min,control_state_DC_Qbased,control_state_DCAC_Qbased,segment_label_Qbased,control_state_DC_timebased,control_state_DCAC_timebased,segment_label_timebased
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.0548222301157275,0.4109644460231455,0.4609644460231455,4931.5733522777455,4463.357079460164,82.1928892046291,74.38928465766939,468.21627281758174,7.803604546959695,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.089117356959863,0.41782347139197257,0.46782347139197256,5013.88165670367,4504.552239749759,83.5646942783945,75.07587066249599,509.3294169539113,8.488823615898522,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.1234124838039987,0.4246824967607997,0.4746824967607997,5096.189961129597,4987.6091679982765,84.93649935215994,83.12681946663794,108.5807931313202,1.8096798855220035,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.157707610648134,0.4315415221296268,0.4815415221296268,5178.498265555521,5014.640821292941,86.30830442592536,83.57734702154902,163.85744426258043,2.7309574043763405,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.19200273749227,0.438400547498454,0.48840054749845396,5260.806569981448,5039.977260433326,87.6801094996908,83.99962100722209,220.82930954812218,3.680488492468703,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.2262978643364053,0.4452595728672811,0.49525957286728106,5343.114874407373,5064.717767977254,89.05191457345622,84.4119627996209,278.3971064301186,4.6399517738353095,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.260592991180541,0.4521185982361082,0.5021185982361083,5425.423178833299,5089.755460702939,90.42371964722165,84.82925767838232,335.6677181303603,5.594461968839338,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.2948881180246765,0.4589776236049353,0.5089776236049354,5507.731483259224,5116.083047665181,91.79552472098706,85.26805079441968,391.6484355940429,6.527473926567382,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.329183244868812,0.46583664897376237,0.5158366489737624,5590.039787685148,5145.22018488281,93.16732979475248,85.75366974804683,444.8196028023385,7.413660046705642,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.3634783717129477,0.4726956743425895,0.5226956743425896,5672.348092111075,5180.48002690245,94.53913486851792,86.3413337817075,491.868065208625,8.197801086810417,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.397773498557083,0.4795546997114166,0.5295546997114167,5754.656396537,5237.104887810453,95.91093994228332,87.28508146350755,517.5515087265467,8.625858478775777,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.432068625401219,0.4864137250802438,0.5364137250802438,5836.964700962925,5699.574305861741,97.28274501604875,94.99290509769568,137.39039510118437,2.289839918353073,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.4663637522453543,0.4932727504490709,0.5432727504490709,5919.27300538885,5725.548337898299,98.65455008981417,95.42580563163831,193.72466749055093,3.2287444581758487,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.50065887908949,0.500131775817898,0.5501317758178981,6001.581309814776,5750.454869628071,100.02635516357961,95.84091449380118,251.12644018670562,4.185440669778427,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.5349540059336255,0.5069908011867251,0.5569908011867252,6083.889614240701,5775.24163303278,101.39816023734502,96.254027217213,308.6479812079215,5.144133020132025,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.569249132777761,0.5138498265555522,0.5638498265555523,6166.197918666626,5800.8161045883435,102.76996531111043,96.68026840980572,365.38181407828233,6.0896969013047055,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.6035442596218967,0.5207088519243793,0.5707088519243794,6248.506223092552,5828.369955455356,104.14177038487587,97.13949925758926,420.1362676371964,7.0022711272866065,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.637839386466032,0.5275678772932064,0.5775678772932065,6330.814527518477,5860.0755064949,105.51357545864128,97.66792510824833,470.73902102357715,7.845650350392953,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.672134513310168,0.5344269026620336,0.5844269026620337,6413.122831944403,5902.2033313606635,106.88538053240671,98.37005552267773,510.91950058373914,8.515325009728986,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.7064296401543033,0.5412859280308606,0.5912859280308607,6495.431136370328,6383.981403804126,108.25718560617214,106.3996900634021,111.44973256620233,1.8574955427700388,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.7407247669984387,0.5481449533996877,0.5981449533996878,6577.739440796253,6410.885326804687,109.62899067993754,106.84808878007811,166.854113991566,2.7809018998594337,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.7750198938425745,0.5550039787685149,0.605003978768515,6660.047745222179,6436.165838860206,111.00079575370299,107.2694306476701,223.88190636197305,3.731365106032884,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.80931502068671,0.561863004137342,0.6118630041373421,6742.356049648104,6460.90021051546,112.3726008274684,107.68167017525766,281.45583913264454,4.690930652210742,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.8436101475308457,0.5687220295061691,0.6187220295061692,6824.66435407403,6485.978776314417,113.74440590123383,108.09964627190695,338.6855777596129,5.644759629326882,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.877905274374981,0.5755810548749962,0.6255810548749963,6906.972658499954,6512.4110407360395,115.11621097499923,108.54018401226732,394.5616177639149,6.576026962731915,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.912200401219117,0.5824400802438234,0.6324400802438235,6989.280962925881,6541.760068051889,116.48801604876468,109.02933446753148,447.5208948739919,7.458681581233198,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.9464955280632523,0.5892991056126504,0.6392991056126505,7071.589267351806,6577.533866168187,117.8598211225301,109.62556443613646,494.0554011836184,8.23425668639364,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.9807906549073877,0.5961581309814775,0.6461581309814776,7153.89757177773,6637.370777374792,119.23162619629551,110.62284628957987,516.5267944029383,8.608779906715638,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,3.0150857817515235,0.6030171563503047,0.6530171563503048,7236.205876203656,7095.868271318447,120.60343127006094,118.26447118864078,140.33760488520875,2.338960081420146,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
