t_s,I_charge_A,I_py_A,Q_geom_Ah,AC_C_scheduled,condition
69.5,1.5,-1.5,0.028958333333333332,0.0,Chen2020_DFN_Day34_DC03
70.0,1.5,-1.5,0.029166666666666667,0.0,Chen2020_DFN_Day34_DC03
70.5,1.5,-1.5,0.029375,0.0,Chen2020_DFN_Day34_DC03
71.0,1.5,-1.5,0.029583333333333333,0.0,Chen2020_DFN_Day34_DC03
71.5,1.5,-1.5,0.029791666666666668,0.0,Chen2020_DFN_Day34_DC03
72.0,1.5,-1.5,0.03,0.0,Chen2020_DFN_Day34_DC03
72.5,1.5,-1.5,0.030208333333333334,0.0,Chen2020_DFN_Day34_DC03
73.0,1.5,-1.5,0.030416666666666668,0.0,Chen2020_DFN_Day34_DC03
73.5,1.5,-1.5,0.030625,0.0,Chen2020_DFN_Day34_DC03
74.0,1.5,-1.5,0.030833333333333334,0.0,Chen2020_DFN_Day34_DC03
74.5,1.5,-1.5,0.031041666666666665,0.0,Chen2020_DFN_Day34_DC03
75.0,1.5,-1.5,0.03125,0.0,Chen2020_DFN_Day34_DC03
75.5,1.5,-1.5,0.03145833333333333,0.0,Chen2020_DFN_Day34_DC03
76.0,1.5,-1.5,0.03166666666666667,0.0,Chen2020_DFN_Day34_DC03
76.5,1.5,-1.5,0.031875,0.0,Chen2020_DFN_Day34_DC03
77.0,1.5,-1.5,0.03208333333333333,0.0,Chen2020_DFN_Day34_DC03
77.5,1.5,-1.5,0.03229166666666667,0.0,Chen2020_DFN_Day34_DC03
78.0,1.5,-1.5,0.0325,0.0,Chen2020_DFN_Day34_DC03
78.5,1.5,-1.5,0.03270833333333333,0.0,Chen2020_DFN_Day34_DC03
79.0,1.5,-1.5,0.032916666666666664,0.0,Chen2020_DFN_Day34_DC03
79.5,1.5,-1.5,0.033125,0.0,Chen2020_DFN_Day34_DC03
80.0,1.5,-1.5,0.03333333333333333,0.0,Chen2020_DFN_Day34_DC03
80.5,1.5,-1.5,0.033541666666666664,0.0,Chen2020_DFN_Day34_DC03
81.0,1.5,-1.5,0.03375,0.0,Chen2020_DFN_Day34_DC03
81.5,1.5,-1.5,0.03395833333333333,0.0,Chen2020_DFN_Day34_DC03
82.0,1.5,-1.5,0.034166666666666665,0.0,Chen2020_DFN_Day34_DC03
82.5,1.5,-1.5,0.034375,0.0,Chen2020_DFN_Day34_DC03
83.0,1.5,-1.5,0.034583333333333334,0.0,Chen2020_DFN_Day34_DC03
83.5,1.5,-1.5,0.034791666666666665,0.0,Chen2020_DFN_Day34_DC03
84.0,1.5,-1.5,0.035,0.0,Chen2020_DFN_Day34_DC03
84.5,1.5,-1.5,0.035208333333333335,0.0,Chen2020_DFN_Day34_DC03
85.0,1.5,-1.5,0.035416666666666666,0.0,Chen2020_DFN_Day34_DC03
85.5,1.5,-1.5,0.035625,0.0,Chen2020_DFN_Day34_DC03
86.0,1.5,-1.5,0.035833333333333335,0.0,Chen2020_DFN_Day34_DC03
86.5,1.5,-1.5,0.036041666666666666,0.0,Chen2020_DFN_Day34_DC03
87.0,1.5,-1.5,0.03625,0.0,Chen2020_DFN_Day34_DC03
87.5,1.5,-1.5,0.036458333333333336,0.0,Chen2020_DFN_Day34_DC03
88.0,1.5,-1.5,0.03666666666666667,0.0,Chen2020_DFN_Day34_DC03
88.5,1.5,-1.5,0.036875,0.0,Chen2020_DFN_Day34_DC03
89.0,1.5,-1.5,0.037083333333333336,0.0,Chen2020_DFN_Day34_DC03
89.5,1.5,-1.5,0.03729166666666667,0.0,Chen2020_DFN_Day34_DC03
90.0,1.5,-1.5,0.0375,0.0,Chen2020_DFN_Day34_DC03
90.5,1.5,-1.5,0.03770833333333334,0.0,Chen2020_DFN_Day34_DC03
91.0,1.5,-1.5,0.03791666666666667,0.0,Chen2020_DFN_Day34_DC03
91.5,1.5,-1.5,0.038125,0.0,Chen2020_DFN_Day34_DC03
92.0,1.5,-1.5,0.03833333333333333,0.0,Chen2020_DFN_Day34_DC03
92.5,1.5,-1.5,0.03854166666666667,0.0,Chen2020_DFN_Day34_DC03
93.0,1.5,-1.5,0.03875,0.0,Chen2020_DFN_Day34_DC03
93.5,1.5,-1.5,0.03895833333333333,0.0,Chen2020_DFN_Day34_DC03
94.0,1.5,-1.5,0.03916666666666667,0.0,Chen2020_DFN_Day34_DC03
94.5,1.5,-1.5,0.039375,0.0,Chen2020_DFN_Day34_DC03
95.0,1.5,-1.5,0.03958333333333333,0.0,Chen2020_DFN_Day34_DC03
95.5,1.5,-1.5,0.03979166666666667,0.0,Chen2020_DFN_Day34_DC03
96.0,1.5,-1.5,0.04,0.0,Chen2020_DFN_Day34_DC03
96.5,1.5,-1.5,0.04020833333333333,0.0,Chen2020_DFN_Day34_DC03
97.0,1.5,-1.5,0.04041666666666666,0.0,Chen2020_DFN_Day34_DC03
97.5,1.5,-1.5,0.040625,0.0,Chen2020_DFN_Day34_DC03
98.0,1.5,-1.5,0.04083333333333333,0.0,Chen2020_DFN_Day34_DC03
98.5,1.5,-1.5,0.041041666666666664,0.0,Chen2020_DFN_Day34_DC03
99.0,1.5,-1.5,0.04125,0.0,Chen2020_DFN_Day34_DC03
99.5,1.5,-1.5,0.04145833333333333,0.0,Chen2020_DFN_Day34_DC03
100.0,1.5,-1.5,0.041666666666666664,0.0,Chen2020_DFN_Day34_DC03
100.5,1.5,-1.5,0.041875,0.0,Chen2020_DFN_Day34_DC03
101.0,1.5,-1.5,0.042083333333333334,0.0,Chen2020_DFN_Day34_DC03
101.5,1.5,-1.5,0.042291666666666665,0.0,Chen2020_DFN_Day34_DC03
102.0,1.5,-1.5,0.0425,0.0,Chen2020_DFN_Day34_DC03
102.5,1.5,-1.5,0.042708333333333334,0.0,Chen2020_DFN_Day34_DC03
103.0,1.5,-1.5,0.042916666666666665,0.0,Chen2020_DFN_Day34_DC03
103.5,1.5,-1.5,0.043125,0.0,Chen2020_DFN_Day34_DC03
104.0,1.5,-1.5,0.043333333333333335,0.0,Chen2020_DFN_Day34_DC03
