condition,Q_Ah,t_q_s,neg_avg_sto,neg_avg_surface_sto,neg_max_surface_sto,neg_min_surface_sto,pos_avg_sto,pos_avg_surface_sto,elyte_c_mean,elyte_c_range,eta_n_mean,eta_p_mean,j_n_rms,j_p_rms,cell_temperature_K,total_heating_mean,neg_surface_minus_avg_sto,pos_surface_minus_avg_sto,neg_surface_sto_range
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.2399769861697409,506.73053999886787,0.11176951073463476,0.12303069446761165,0.12892177055670473,0.12007658218839964,0.7969661539919063,0.7684252974717766,964.7666624211074,730.478396431193,-0.1062557359627833,0.013268376065580102,-1.4705881917649613,1.665027377170087,298.15,0.0,0.011261183732976899,-0.02854085652012974,0.008845188368305078
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.27995397233948177,536.6293955741168,0.11862809940359371,0.13172062841310317,0.1400699960415503,0.12751881099172913,0.7923889944914879,0.7567007247211369,956.5322379149258,944.6386777361234,-0.100727024948362,0.011175520441661636,-1.2824470373158303,1.4520102607572554,298.15,0.0,0.013092529009509461,-0.03568826977035097,0.012551185049821176
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.3199309585092226,723.5320911596482,0.12549822046377204,0.13483165344896833,0.14001979377764223,0.13229200907184596,0.7878041387146815,0.7629233287773489,971.9148054117445,570.2765020545783,-0.09848921036728388,0.012438088574592082,-1.361612243748609,1.541642776425814,298.15,0.0,0.009333432985196292,-0.024880809937332573,0.007727784705796258
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.3599079446789635,752.9709145548117,0.13235683366398093,0.1453567932753013,0.15499559664657545,0.1408147180833585,0.7832269628430449,0.7484156152063123,958.1030566435616,897.0030172197245,-0.10348812658927384,0.012404824173982419,-1.4372079667692046,1.6272337179396434,298.15,0.0,0.012999959611320359,-0.03481134763673265,0.014180878563216953
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.39988493084870436,791.7982823314719,0.13921546001518004,0.14944698463847852,0.1601639932180904,0.14437797998101212,0.7786497781949423,0.7444145872250829,963.7553404960139,801.3966796989549,-0.06363787316433686,0.0056353838083730776,-0.6416052093812031,0.7264372146061234,298.15,0.0,0.0102315246232985,-0.034235190969859414,0.015786013237078286
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.43986191701844524,970.1336484173028,0.14608530397465785,0.1582400047982123,0.16933706593259165,0.15326624617267467,0.7740651073445333,0.741726532687585,961.8702868180172,802.0534982064635,-0.10202325550741854,0.012845546934664321,-1.4881953145457358,1.6849624899526032,298.15,0.0,0.012154700823554463,-0.032338574656948296,0.01607081975991699
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.4798389031881861,1001.685948867422,0.15294385893939827,0.1655540083585101,0.18124826588854717,0.15865635628196298,0.7694879703370203,0.7323468949027251,958.3076681312016,916.354566027243,-0.08803874201032971,0.009444379787181857,-1.1113292683499538,1.2582677235125193,298.15,0.0,0.012610149419111835,-0.03714107543429517,0.02259190960658419
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.519815889357927,1187.3211068005712,0.15979876474649782,0.170448162716338,0.18358208388804723,0.16478148139326998,0.7649132686376104,0.7362791803858564,967.5114667043316,669.6042322841682,-0.09737599668715609,0.012569067220957965,-1.443735331931007,1.6346240684494027,298.15,0.0,0.010649397969840187,-0.028634088251754005,0.018800602494777247
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.5597928755276679,1216.7974152614943,0.1666573404530673,0.179816942331285,0.19976354550411107,0.17136809237221165,0.760336117787794,0.7236179236322539,957.9574146746605,912.1317742482204,-0.095622324047899,0.011325049389435217,-1.3512611951926294,1.529923126168428,298.15,0.0,0.013159601878217703,-0.036718194155540146,0.02839545313189942
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,0.5997698616974088,1403.7470865002667,0.1735224258018698,0.18199744480751337,0.19829883959971809,0.17515059399058863,0.7557546226519697,0.7319034532842479,975.3328647207551,496.60399893612635,-0.08903149663021459,0.011489170496698614,-1.2962595832851898,1.4676492754110158,298.15,0.0,0.008475019005643592,-0.023851169367721803,0.02314824560912945
