condition,ablation,valid_grid_n,valid_grid_total,L2_rel,MARD,sign_concordance,max_abs_dev_min,mard_valid_n,sign_grid_n,baseline_max_abs,baseline_norm,status
0.4+0.6C 10τ,asymBV_alpha_up_v2,80,80,0.0028795785897178772,0.004909955283685677,1.0,0.057124459031250296,68,80,5.468582839733656,27.308124142599215,ok
0.4+0.6C 10τ,asymBV_alpha_down_v2,80,80,0.004183874963071391,0.006499647382087103,1.0,0.0642246847365299,68,80,5.468582839733656,27.308124142599215,ok
0.4+0.6C 5τ,asymBV_alpha_up_v2,80,80,0.0069918645939365635,0.010957710531924679,1.0,0.04021185160925719,69,80,2.7512519923251375,13.998576004191023,ok
0.4+0.6C 5τ,asymBV_alpha_down_v2,80,80,0.003317288774149193,0.004142461401858955,1.0,0.0251094638984099,69,80,2.7512519923251375,13.998576004191023,ok
0.5+0.5C 1τ,asymBV_alpha_up_v2,80,80,0.06913117074777021,0.05440845622782329,1.0,0.10591540327575896,80,80,0.4030020660578515,2.2351763598590706,ok
0.5+0.5C 1τ,asymBV_alpha_down_v2,80,80,0.0769471844014786,0.06949915692533584,1.0,0.1261926854842308,80,80,0.4030020660578515,2.2351763598590706,ok
0.9+0.1C 1.67τ,asymBV_alpha_up_v2,80,80,0.01124050452452493,0.009670412773990228,1.0,0.0019922792804223004,64,80,0.0676118261601086,0.3716350069408284,ok
0.9+0.1C 1.67τ,asymBV_alpha_down_v2,80,80,0.010544645579578765,0.010092182546713757,1.0,0.0015840620972688998,64,80,0.0676118261601086,0.3716350069408284,ok
0.9+0.1C 10τ,asymBV_alpha_up_v2,76,80,0.011029840837678445,0.013135004961214867,1.0,0.007396479293689084,68,76,0.4106072075832152,2.3427144333284176,ok
0.9+0.1C 10τ,asymBV_alpha_down_v2,80,80,0.009367361159582971,0.011184485627365105,1.0,0.005751500669060106,72,80,0.4106072075832152,2.350142835993749,ok
0.9+0.1C 16.7τ,asymBV_alpha_up_v2,80,80,0.0025030384057007087,0.004214948210309693,1.0,0.0026116602582532678,65,80,0.68384042563153,3.1814179483125193,ok
0.9+0.1C 16.7τ,asymBV_alpha_down_v2,80,80,0.0020360896127358313,0.003205547711186736,1.0,0.0022086285556319994,65,80,0.68384042563153,3.1814179483125193,ok
0.9+0.1C 1τ,asymBV_alpha_up_v2,80,80,0.013368992996517535,0.0176427935380603,0.975,0.0008808316190709008,71,80,0.0411023622073685,0.22417718642058007,ok
0.9+0.1C 1τ,asymBV_alpha_down_v2,80,80,0.024390998463719542,0.049997495117952435,1.0,0.0015949161308234996,71,80,0.0411023622073685,0.22417718642058007,ok
