Q_Ah,t_full_s,t_even_s,t_odd_s,dt_even_minus_odd_s,dt_full_minus_even_s,dt_full_minus_odd_s
0.26,688.4786370448588,688.5997501938624,689.3573960615669,-0.7576458677044684,-0.12111314900357684,-0.8787590167080452
0.27,714.9518441345848,715.0729430901602,715.8306095998324,-0.7576665096722763,-0.12109895557534855,-0.8787654652476249
0.28,741.4249636915151,741.546076494559,742.3037073587195,-0.7576308641605465,-0.12111280304384309,-0.8787436672043896
0.29,767.897867826572,768.0189773399953,768.7766076590523,-0.7576303190569433,-0.12110951342333465,-0.878739832480278
0.3,794.3707402016129,794.4918459537148,795.2494870878497,-0.7576411341349285,-0.12110575210192565,-0.8787468862368542
0.31,820.843705522221,820.9647993252316,821.7224659528774,-0.75766662764579,-0.1210938030106945,-0.8787604306564845
0.32,847.3166851058679,847.4377788857217,848.1954501733971,-0.7576712876754073,-0.12109377985382253,-0.8787650675292298
0.33,873.7895740211628,873.9106627256656,874.6683305267325,-0.7576678010668729,-0.12108870450276754,-0.8787565055696405
0.33999999999999997,900.2625035021497,900.3835968000135,901.1412610455544,-0.7576642455409228,-0.1210932978638084,-0.8787575434047312
0.35,926.7355112002692,926.8565791500761,927.614293514328,-0.7577143642519104,-0.12106794980684299,-0.8787823140587534
0.36,953.2083956549171,953.3294832415479,954.0871574981072,-0.7576742565593122,-0.12108758663077879,-0.878761843190091
0.37,979.6811194128352,979.8022121617787,980.5598687986447,-0.7576566368660451,-0.12109274894351074,-0.8787493858095559
0.38,1006.1538084246329,1006.2748848622647,1007.0325775990204,-0.7576927367557573,-0.12107643763181386,-0.8787691743875712
0.39,1032.6265403331508,1032.747638322616,1033.505287556134,-0.7576492335178955,-0.12109798946517003,-0.8787472229830655
0.4,1059.099310457413,1059.2204063488932,1059.9780636185205,-0.757657269627316,-0.12109589148030864,-0.8787531611076247
0.41,1085.5721237421794,1085.6932320310966,1086.4508616686405,-0.7576296375439142,-0.12110828891718484,-0.878737926461099
0.42,1112.0448103295944,1112.1658984717974,1112.9235631038607,-0.7576646320633245,-0.12108814220300701,-0.8787527742663315
0.43,1138.5174678437766,1138.638547315135,1139.3962342473171,-0.757686932182196,-0.12107947135837094,-0.8787664035405669
0.44,1164.9902098591172,1165.1112841645784,1165.8689827853711,-0.7576986207927803,-0.12107430546120668,-0.878772926253987
0.45,1191.4630575107878,1191.584122922159,1192.3418396742366,-0.7577167520776129,-0.12106541137109161,-0.8787821634487045
0.46,1217.935892693789,1218.0569439531841,1218.8146910843986,-0.7577471312145008,-0.12105125939524441,-0.8787983906097452
0.47,1244.4087481662057,1244.529785628774,1245.2875588744628,-0.7577732456886679,-0.12103746256843806,-0.8788107082571059
0.48,1270.8815148364292,1271.0025468943659,1271.7603287614006,-0.7577818670347369,-0.12103205793664529,-0.8788139249713822
0.49,1297.3542859474992,1297.4753273436156,1298.2330933500687,-0.7577660064530392,-0.12104139611642495,-0.8788074025694641
0.5,1323.8270109306923,1323.9480522250042,1324.7058135973532,-0.7577613723490231,-0.12104129431190813,-0.8788026666609312
0.51,1350.2997828489665,1350.4208452047546,1351.178574443535,-0.7577292387802572,-0.1210623557881263,-0.8787915945683835
0.52,1376.7726126771395,1376.8936658544653,1377.6514071221416,-0.7577412676762378,-0.12105317732584808,-0.8787944450020859
0.53,1403.24541468243,1403.3664684150463,1404.1242125787371,-0.7577441636908588,-0.12105373261624663,-0.8787978963071055
0.54,1429.7182181112655,1429.839244315268,1430.5970353094986,-0.7577909942306178,-0.12102620400241904,-0.8788171982330368
0.55,1456.19091066857,1456.3119333862298,1457.0697279134165,-0.7577945271866611,-0.12102271765979822,-0.8788172448464593
0.56,1482.6635742531132,1482.7845906032173,1483.5424014654113,-0.7578108621939919,-0.12101635010412792,-0.8788272122981198
0.5700000000000001,1509.1363032505537,1509.2573152554141,1510.0151369830514,-0.7578217276372925,-0.12101200486040398,-0.8788337324976965
0.5800000000000001,1535.6090484057015,1535.730080164602,1536.4878615862185,-0.757781421616528,-0.12103175890047169,-0.8788131805169996
0.5900000000000001,1562.081792370937,1562.202824970099,1562.9605998535906,-0.7577748834914928,-0.12103259916216302,-0.8788074826536558
0.6000000000000001,1588.5543765375764,1588.675431539718,1589.4331586999438,-0.7577271602258406,-0.12105500214147469,-0.8787821623673153
0.6100000000000001,1615.0269568337856,1615.1480031826122,1615.9057524053367,-0.757749222724442,-0.12104634882666687,-0.8787955715511089
0.6200000000000001,1641.4995773209316,1641.6206302680896,1642.378366822437,-0.7577365543475025,-0.12105294715797754,-0.8787895015054801
