protocol_pair,Q_Ah,dt_raw_s,dt_geom_s,dt_resid_s,abs_resid_s,t_DCAC_s,t_geom_DCAC_s,T_AC_s,geometry_phase_offset_rad,geom_prev_max_Q_Ah,geom_prev_max_time_s,geom_prev_max_deficit_mAh,geom_prev_max_lead_time_s,near_miss_deficit_le_1mAh,branch_jump_time_ge_0p25TAC,branch_jump_artifact_candidate
0.3C DC vs 0.3C+0.7C 0.1tau,2.05,-2.3467362846258766,0.962410408514188,-3.3091466931400646,3.3091466931400646,7238.400165114621,7234.331707237635,6.974335690969341,0.1162389281828226,2.0491837748299644,7233.4,0.8162251700354339,0.9317072376352371,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.64,-0.7947406169159876,2.5012523121822596,-3.2959929290982473,3.2959929290982473,2259.866920642672,2256.3222770995712,6.974335690969341,0.1162389281828226,0.6398075249181328,2255.6,0.19247508186726048,0.722277099571329,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.95,-0.8772063313808758,2.4174014626187272,-3.294607793999603,3.294607793999603,6883.953840468567,6879.935539713042,6.974335690969341,0.1162389281828226,1.9498044308943923,6879.4,0.1955691056076958,0.5355397130424535,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.06,-2.0380303088404617,1.2436633714323762,-3.281693680272838,3.281693680272838,7273.389115103482,7269.344571921766,6.974335690969341,0.1162389281828226,2.059170368627649,7268.4,0.8296313723512583,0.9445719217665101,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.07,-1.7419442704913308,1.513028188151111,-3.254972458642442,3.254972458642442,7308.390696180618,7304.369324752095,6.974335690969341,0.1162389281828226,2.06995640244998,7304.299999999999,0.043597550019924824,0.06932475209578115,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.33,1.0317675821145258,4.226229302554657,-3.194461720440131,3.194461720440131,1163.8108407319994,1160.479653050372,6.974335690969341,0.1162389281828226,0.3295410716339799,1159.8000000000002,0.4589283660201282,0.6796530503718259,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.08,-1.4171861161703418,1.7713963668529686,-3.1885824830233105,3.1885824830233105,7343.363613349946,7339.405074220444,6.974335690969341,0.1162389281828226,2.0799400354660813,7339.299999999999,0.059964533918765994,0.10507422044429404,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.79,-0.6545802190148606,2.5024880057549126,-3.1570682247697732,3.1570682247697732,2789.1912836914553,2785.732806111938,6.974335690969341,0.1162389281828226,0.7899610839676189,2785.6000000000004,0.038916032381153265,0.13280611193749792,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.3399999999999999,1.3363856501105147,4.440729426545204,-3.104343776434689,3.104343776434689,1198.804094098178,1195.559270573437,6.974335690969341,0.1162389281828226,0.33952852581715515,1194.8000000000002,0.4714741828447666,0.7592705734368792,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.09,-1.088987057556551,2.010149609788641,-3.099136667345192,3.099136667345192,7378.333214479929,7374.4604386245555,6.974335690969341,0.1162389281828226,2.089918392881063,7374.299999999999,0.08160711893667738,0.16043862455626368,True,False,False
