condition,ablation,L2_rel,MARD,sign_concordance,max_abs_dev_min,mard_valid_n,sign_grid_n,baseline_max_abs,baseline_norm,status
0.4+0.6C 0.5τ,B_Dsn_up,0.12396373433652626,0.03926946988430745,1.0,0.2431371903281919,80.0,80.0,0.3766593131952049,1.9716551609928012,ok
0.4+0.6C 0.5τ,PE_A1a,0.1247467212817761,0.045917327015004825,1.0,0.2434159535552529,80.0,80.0,0.3766593131952049,1.9716551609928012,ok
0.4+0.6C 0.5τ,PE_A2a,0.01798643015141979,0.01935258087776979,1.0,0.025787777941695803,80.0,80.0,0.3766593131952049,1.9716551609928012,ok
0.4+0.6C 1.67τ,B_Dsn_down,0.1699701705769931,0.03796028499740804,1.0,0.845755312182473,78.0,80.0,0.9621235562627892,4.983609853714106,ok
0.4+0.6C 1.67τ,B_Dsn_up,0.17199455221546278,0.02650646355335205,1.0,0.8566391051308074,78.0,80.0,0.9621235562627892,4.983609853714106,ok
0.4+0.6C 1.67τ,PE_A1a,0.17021777167327834,0.030275042943388095,1.0,0.8475750036630264,78.0,80.0,0.9621235562627892,4.983609853714106,ok
0.4+0.6C 1.67τ,PE_A2a,0.1786618574498763,0.05277753684366248,1.0,0.8875562549424861,78.0,80.0,0.9621235562627892,4.983609853714106,ok
0.4+0.6C 10τ,B_Dsn_down,0.00493789312212239,0.007512250271695442,1.0,0.046383394758762096,70.0,80.0,5.5168534593227,28.830377405369422,ok
0.4+0.6C 10τ,B_Dsn_up,0.0036353529930384576,0.006042443042243842,1.0,0.047295413429583294,70.0,80.0,5.5168534593227,28.830377405369422,ok
0.4+0.6C 10τ,PE_A1a,0.0014966112726061624,0.002540158121883226,1.0,0.0160083902428748,70.0,80.0,5.5168534593227,28.830377405369422,ok
0.4+0.6C 10τ,PE_A2a,0.001098159100267074,0.0010327782838795714,1.0,0.0191545148869409,70.0,80.0,5.5168534593227,28.830377405369422,ok
0.4+0.6C 5τ,B_Dsn_down,0.003206418043596842,0.004787019879438393,1.0,0.016585617542386896,70.0,80.0,2.769945270482443,14.290229727387901,ok
0.4+0.6C 5τ,B_Dsn_up,0.1737747139764205,0.02200461804250654,1.0,2.481518299621894,70.0,80.0,2.769945270482443,14.290229727387901,ok
0.4+0.6C 5τ,PE_A1a,0.0024603338969214337,0.002731462525168904,1.0,0.015515856966703701,70.0,80.0,2.769945270482443,14.290229727387901,ok
0.4+0.6C 5τ,PE_A2a,0.0024128632168706186,0.002755206096839323,1.0,0.0190588373079967,70.0,80.0,2.769945270482443,14.290229727387901,ok
