param_set,chem_tag,condition,pair_role,DC_C,AC_C,tau_label,phase,evidence_type,N_Q,n_finite,n_nonfinite,Q_nom_Ah,Q_low_Ah,Q_hi_Ah,window_compatibility_refined,capacity_scale_warning,I_DC_A_used,I_AC_A_used,f_Hz_used,kappa_used,dt_model_mean_s,dt_model_median_s,dt_model_min_s,dt_model_max_s,dt_model_sign_topology,dt_geom_mean_s,dt_geom_median_s,dt_geom_min_s,dt_geom_max_s,dt_geom_sign_topology,dt_resid_mean_s,dt_resid_median_s,dt_resid_min_s,dt_resid_max_s,dt_resid_mean_abs_s,dt_resid_median_abs_s,dt_resid_p95_abs_s,dt_resid_max_abs_s,dt_resid_sign_topology,resid_over_geom_median,resid_over_geom_p95,resid_over_geom_max,resid_over_model_median,resid_over_model_p95,resid_over_model_max,residual_class,taxonomy,stable_p95_abs_s,stable_max_abs_s,stable_frac_gt_10s,stable_region_verdict,t_max_s_geom,Q_DC_final_mAh_geom,Q_DCAC_final_mAh_geom,n_t_points_geom,fp_mode,dt_eval_geom_s
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.15625,0.0078125,0.1531774211695701,compatible,False,0.03125,0.078125,0.014338283161432014,2.5,-20.316410206010072,-19.585127843707596,-44.93480647007527,0.8408940205440558,negative_only,-19.17338082782652,-18.19268581076676,-43.206557243916905,-0.00026300858189642895,negative_only,-1.143029378183553,-0.1879094641899428,-44.79649045815677,1.2949374977265506,1.2965202743409805,0.32716371084234197,1.3232692862470679,44.79649045815677,mixed,0.01580144012895501,3.0184035718101625,5899.731591205472,0.015555495703059098,0.9897374083194198,5.2545988969103155,inspect_residual,isolated_spike,1.3052539254426847,43.489320322283675,0.011111111111111112,stable_weak,26469.058378101712,229.7664930555556,229.28691006048794,264692.0,raw,0.1
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.15625,0.0078125,0.1539835988555628,compatible,False,0.03125,0.078125,0.0014338283161432013,2.5,-190.59463908922615,-187.86401427481223,-427.77486936712194,-0.3326740140146285,negative_only,-190.13816205117553,-187.88652528758894,-428.17742578577963,-0.03032717961423259,negative_only,-0.4564770380506411,-0.22180384285820764,-6.818155810524331,0.5163436277125584,0.5661750476053578,0.26180393324193574,1.8755883111301792,6.818155810524331,negative_only,0.001237880160640295,0.7425636845848587,29.425533793054058,0.001239415355420621,0.424122054743827,0.9671328691617469,small_residual,weak_distributed_residual,1.6778203043188504,6.818155810524331,0.0,stable_weak,26608.365882241247,230.97569444444446,229.95964353784174,266085.0,raw,0.1
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.15625,0.0078125,0.1492627781344361,compatible,False,0.03125,0.15625,0.014338283161432014,5.0,-26.403131336757742,-26.389913488400907,-54.01165597919953,-0.1156529268162103,negative_only,-24.317299559542867,-23.768546519338997,-51.38536925971539,-0.13282822155451868,negative_only,-2.0858317772148722,-0.44567806104350893,-53.86422953856891,0.17573107898442686,2.1013249050313116,0.44567806104350893,1.468676118780603,53.86422953856891,negative_only,0.015584662325649135,0.8441552500247033,405.51796077809115,0.015345367824049785,0.5277541544037452,0.9975400840885702,inspect_residual,isolated_spike,1.4056863878106012,53.86422953856891,0.03333333333333333,stable_weak,25792.608061630563,223.89496527777777,223.6266022321694,257928.0,raw,0.1
Ecker2015,Kokam-Ecker Co-rich Mn-free,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.15625,0.0078125,0.1471794926170158,compatible,False,0.03125,0.15625,0.0014338283161432013,5.0,-236.68114179632056,-230.32842309710804,-509.8632994701293,-2.4363782660864217,negative_only,-235.74844726070398,-229.32260273856855,-509.55796977495265,-1.1628992035177816,negative_only,-0.9326945356165822,-0.6086623991677698,-9.314531832105786,-0.021202113483923313,0.9326945356165822,0.6086623991677698,2.677397775630288,9.314531832105786,negative_only,0.0025662296874682296,0.2847359352938936,6.182469772293633,0.0025596609848503793,0.21129213928975457,0.8607721255079278,small_residual,weak_distributed_residual,2.7689507563610274,9.314531832105786,0.0,stable_weak,25432.61632422033,220.76996527777777,211.24326140172022,254328.0,raw,0.1
Marquis2019,Kokam-Marquis LCO/graphite,DC_0p2C,DC_sanity,0.2,0.0,0.0,dc_sanity_no_ac,stored_first_passage_residual_audit,100,100,0,0.680616,0.0340308,0.7911801425811928,compatible_with_capacity_scale_warning,True,0.1361232,0.0,,0.0,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_zero,,,,,,,dc_sanity_reference,null_residual,0.0,0.0,0.0,stable_null,,,,,raw,0.1
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_1tau,DCAC,0.2,0.5,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.680616,0.0340308,0.7695755964673379,compatible_with_capacity_scale_warning,True,0.1361232,0.340308,0.014338283161432014,2.5,-32.06019796565434,-31.542249046908182,-59.631159887154354,-3.0283697992056204,negative_only,-19.382438957109812,-18.706703962988286,-43.39441760807313,-0.015952569210639922,negative_only,-12.677759008544527,-4.889043975259483,-54.26905180765243,-0.553147275111769,12.677759008544527,4.889043975259483,52.77324466851296,54.26905180765243,negative_only,0.20640049426942234,97.5786533420966,3173.4634904789195,0.1710828520070531,0.9898521169369185,0.9996849861392328,inspect_residual,edge_or_boundary_artifact,52.659090707262294,53.90450207089816,0.2,stable_distributed_nonzero,30529.022392388837,1154.366329205129,1153.2175231583885,305292.0,raw,0.1
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC0p5_10tau,DCAC,0.2,0.5,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.680616,0.0340308,0.7615450380126656,compatible_with_capacity_scale_warning,True,0.1361232,0.340308,0.0014338283161432013,2.5,-205.96976320488574,-197.2717510839525,-441.7714195246863,-6.168972112834126,negative_only,-193.7029512320796,-187.01977953015694,-429.5749327600679,-0.17237285418013926,negative_only,-12.266811972806158,-3.615339398150361,-434.6851746864322,0.01696447644064847,12.267151262334973,3.615339398150361,10.985385439595847,434.6851746864322,negative_only,0.014816892250151606,2.332096874023873,64.11534937152788,0.014600532998885191,0.6910549669773458,0.9846426378779861,inspect_residual,mixed_or_intermediate,11.020311928191221,434.6851746864322,0.06666666666666667,stable_intermediate_or_spiky,30210.450571749665,1142.3194260051353,1127.5585570175108,302106.0,raw,0.1
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_1tau,DCAC,0.2,1.0,1.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.680616,0.0340308,0.7548440086769249,compatible_with_capacity_scale_warning,True,0.1361232,0.680616,0.014338283161432014,5.0,-42.546437042608915,-42.2815768079015,-82.50587188356076,-3.061962801103391,negative_only,-23.570716828847118,-23.263932568660948,-51.80844486233764,-0.028276313199967262,negative_only,-18.9757202137618,-5.100560220083935,-63.13077378694652,-0.36204868417416947,18.9757202137618,5.100560220083935,61.93979693205129,63.13077378694652,negative_only,0.18873525406841962,58.27148206973582,2006.742941269042,0.1587690519235716,0.9830253897677671,0.9995019282700763,inspect_residual,distributed_residual_requires_inspection,61.91729482801129,63.03781709561372,0.28888888888888886,stable_distributed_nonzero,29944.62109952891,1132.268996405067,1128.878112251726,299448.0,raw,0.1
Marquis2019,Kokam-Marquis LCO/graphite,DC0p2_AC1p0_10tau,DCAC,0.2,1.0,10.0,discharge_first,stored_first_passage_residual_audit,100,100,0,0.680616,0.0340308,0.7431145236058962,compatible_with_capacity_scale_warning,True,0.1361232,0.680616,0.0014338283161432013,5.0,-246.6626359308499,-239.35143188192342,-528.0109381774673,-5.0204311365655485,negative_only,-238.79769972391662,-230.63981863600202,-517.6785093444014,-0.329189071777364,negative_only,-7.864936206933266,-2.1483220703103143,-527.5091227793346,-0.12498932700043497,7.864936206933266,2.1483220703103143,6.425091149547183,527.5091227793346,negative_only,0.008528296587804594,0.6100133340179335,1051.201546907871,0.008456133302242036,0.3787489646135209,0.9990496117374673,inspect_residual,isolated_spike,6.2948301920696395,527.5091227793346,0.011111111111111112,stable_weak,29479.313059580138,1114.675072804841,1091.2688517596987,294795.0,raw,0.1
Mohtat2020,graphite/NMC532,DC_0p2C,DC_sanity,0.2,0.0,0.0,dc_sanity_no_ac,stored_first_passage_residual_audit,100,100,0,5.0,0.25,4.500067034976744,compatible,False,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,near_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_zero,,,,,,,dc_sanity_reference,null_residual,0.0,0.0,0.0,stable_null,,,,,raw,0.1
